vrai_hop;rdrg;SI;cat;NAB;totalEUR;p5;p25;p50;p75;p95
0;001;1;B-107a;2;8.5;3.5;3.5;4.3;5;5
0;001;1;B-110;1;0.8;0.8;0.8;0.8;0.8;0.8
0;001;1;B-112ap;2;14.3;3.3;3.3;7.2;11;11
0;001;1;B-131;2;8.5;1;1;4.3;7.5;7.5
0;001;1;B-134o;1;59;59;59;59;59;59
0;001;1;B-134p;1;9;9;9;9;9;9
0;001;2;B-105;3;0.8;0.3;0.3;0.3;0.3;0.3
0;001;2;B-106;1;4.8;4.8;4.8;4.8;4.8;4.8
0;001;2;B-107a;9;44.8;2.8;3.5;4;5.3;11.8
0;001;2;B-109;1;8;8;8;8;8;8
0;001;2;B-111;1;0.3;0.3;0.3;0.3;0.3;0.3
0;001;2;B-112ap;9;43.3;2;4;5;5.3;8
0;001;2;B-112b;1;0.4;0.4;0.4;0.4;0.4;0.4
0;001;2;B-114;1;5;5;5;5;5;5
0;001;2;B-124p;1;5.3;5.3;5.3;5.3;5.3;5.3
0;001;2;B-131;8;48.5;0.5;5;5.3;8.5;10.5
0;001;2;B-134o;8;195;2;6.5;27;35;56
0;001;2;B-134p;5;43;4;6;6;9;18
0;001;3;B-105;3;0.8;0.3;0.3;0.3;0.3;0.3
0;001;3;B-106;5;9;0.3;0.5;1.5;2.3;4.5
0;001;3;B-107a;26;111.9;1.4;2.6;3.9;5.7;7.5
0;001;3;B-107b;4;21.4;0.6;0.7;3;10;14.9
0;001;3;B-108b;3;32;4.6;4.6;11.4;16;16
0;001;3;B-109;17;55.5;1;2;3;4.5;7
0;001;3;B-110;5;7.2;0.4;0.8;0.8;1.2;4
0;001;3;B-111;9;19.3;0.3;0.3;2;2.3;7
0;001;3;B-112ap;21;98;2.7;3;4;5.7;7.7
0;001;3;B-114;2;12;3;3;6;9;9
0;001;3;B-116p;24;90.7;0.5;0.8;2.3;5;11.7
0;001;3;B-119a;1;10;10;10;10;10;10
0;001;3;B-121;1;2;2;2;2;2;2
0;001;3;B-124p;13;104.8;2;4;5;9.8;28
0;001;3;B-125o;4;42.5;6.5;7.8;10.5;13.5;15
0;001;3;B-125p;5;17;1;1;2;5;8
0;001;3;B-126b;1;5.5;5.5;5.5;5.5;5.5;5.5
0;001;3;B-127;1;1.1;1.1;1.1;1.1;1.1;1.1
0;001;3;B-131;18;111.8;1.5;4;6;10;11.3
0;001;3;B-132;5;12.3;0.3;1.3;2;2.7;6
0;001;3;B-134o;24;717;3;11;27;47;70
0;001;3;B-134p;28;166;1;1.5;3;7.5;22
0;001;4;B-105;4;1;0.3;0.3;0.3;0.3;0.3
0;001;4;B-106;35;146.3;0.3;1;2;4;18.3
0;001;4;B-107a;94;440.9;1;2.3;3.3;5.3;12.6
0;001;4;B-107b;32;160.6;0.3;1.1;2.6;8.3;14.3
0;001;4;B-108b;42;378.3;0.3;3.7;6.7;10.9;27.4
0;001;4;B-109;69;366.5;1;3;4;6;14.5
0;001;4;B-110;36;45.2;0.4;0.4;0.8;2;2.8
0;001;4;B-111;43;85.2;0.3;0.3;1;2.3;7.5
0;001;4;B-112ap;74;309;0.7;3;3.3;5.3;9.7
0;001;4;B-112b;25;222.8;0.4;3.2;5.2;8.8;32.8
0;001;4;B-112c;5;35.5;0.5;2.5;6;7.5;19
0;001;4;B-114;36;336.7;0.3;2.3;5.3;9;43.3
0;001;4;B-115;1;10;10;10;10;10;10
0;001;4;B-116o;1;0.7;0.7;0.7;0.7;0.7;0.7
0;001;4;B-116p;123;697.3;0.5;0.8;1.7;5.7;21.3
0;001;4;B-119a;6;28.1;0.8;0.8;2.4;5.7;16
0;001;4;B-119b;4;34.1;3.7;4.6;6.9;12.4;16.6
0;001;4;B-121;11;81.1;0.4;1.3;2;6;52
0;001;4;B-124p;88;537.3;0.5;2;4.4;8;17
0;001;4;B-125o;53;722.5;1;4.5;10;16;48
0;001;4;B-125p;29;242.3;0.5;1;3;12;29.5
0;001;4;B-126b;5;15;1.5;2;2.5;4;5
0;001;4;B-127;1;2.6;2.6;2.6;2.6;2.6;2.6
0;001;4;B-131;102;772.5;1.5;3;5.4;9;15
0;001;4;B-132;40;210.7;0.3;0.3;1;7;22.5
0;001;4;B-134o;132;3796.5;4;14.3;22.5;37.5;74
0;001;4;B-134p;136;1371;1;1;3;8;40
0;001;4;B-259;4;33;1.5;5;9.3;11.5;13
0;002;2;B-108b;1;16.9;16.9;16.9;16.9;16.9;16.9
0;002;2;B-110;3;5.2;0.8;0.8;2;2.4;2.4
0;002;2;B-112b;1;5.6;5.6;5.6;5.6;5.6;5.6
0;002;2;B-119b;1;4.7;4.7;4.7;4.7;4.7;4.7
0;002;2;B-131;1;9;9;9;9;9;9
0;002;2;B-134o;1;56;56;56;56;56;56
0;002;2;B-134p;1;7;7;7;7;7;7
0;002;3;B-106;2;31.8;10.3;10.3;15.9;21.5;21.5
0;002;3;B-107a;2;4.8;0.5;0.5;2.4;4.3;4.3
0;002;3;B-107b;3;13.1;1.7;1.7;3.7;7.7;7.7
0;002;3;B-108b;2;12.9;4.3;4.3;6.4;8.6;8.6
0;002;3;B-110;10;23.2;0.8;1.6;2.2;2.8;4
0;002;3;B-111;8;36;1;1.3;2.3;6.3;15
0;002;3;B-112b;9;186.4;4.8;16.8;19.2;21.6;45.2
0;002;3;B-112c;3;46;1;1;10.5;34.5;34.5
0;002;3;B-114;4;30;4;5.7;8;9.3;10
0;002;3;B-116p;8;110;1.3;2.2;7.8;23.8;41
0;002;3;B-119a;2;28;3;3;14;25;25
0;002;3;B-119b;2;7.3;3.7;3.7;3.7;3.7;3.7
0;002;3;B-120;3;2.3;0.3;0.3;0.7;1.3;1.3
0;002;3;B-121;3;72.8;1.3;1.3;4.7;66.8;66.8
0;002;3;B-124p;6;59.3;0.5;1;7.9;21;21
0;002;3;B-125o;8;73;1;3;6.5;9.5;34
0;002;3;B-125p;1;6;6;6;6;6;6
0;002;3;B-131;19;132;0.5;5;6.5;8.5;12.5
0;002;3;B-132;2;7.7;3.3;3.3;3.8;4.3;4.3
0;002;3;B-134o;9;462.5;13.3;18;24;82.5;127.5
0;002;3;B-134p;14;306;2;6;17;26;91
0;002;3;B-259;1;25.5;25.5;25.5;25.5;25.5;25.5
0;002;4;B-106;11;350.5;4.5;10;21.8;34.5;87.8
0;002;4;B-107a;6;16.6;0.3;0.3;0.6;2.6;12.3
0;002;4;B-107b;43;295.9;1.1;1.7;3.7;8.3;24.6
0;002;4;B-108b;31;354;0.6;6;10;16;26.6
0;002;4;B-109;1;9;9;9;9;9;9
0;002;4;B-110;90;286.8;1.6;2.4;3;3.6;6.4
0;002;4;B-111;31;167.3;0.5;1.5;3.7;6.5;18.3
0;002;4;B-112ap;13;114.7;0.3;3;10.3;13.7;16
0;002;4;B-112b;34;422.4;1.2;3.2;8.8;18.8;35.2
0;002;4;B-112c;19;166.5;0.5;2;8;14.5;26
0;002;4;B-114;57;965.3;2;7.3;12.3;21.3;38.7
0;002;4;B-115;3;20.4;4.8;4.8;4.8;10.8;10.8
0;002;4;B-116p;94;1208;1.3;3.7;7.7;15;43
0;002;4;B-118;1;21;21;21;21;21;21
0;002;4;B-119a;28;316.5;0.4;2;8;15.5;36.5
0;002;4;B-119b;8;22.7;0.3;1.2;2.7;3.7;7.3
0;002;4;B-120;5;62;0.3;0.7;17.3;20.7;23
0;002;4;B-121;57;866.9;0.7;2.7;3.3;14.7;60
0;002;4;B-124p;52;498.5;0.5;1.1;3.5;14;45.8
0;002;4;B-125o;31;466;2.5;6;10.5;17;46
0;002;4;B-125p;37;455.8;1;3.6;10;18;32
0;002;4;B-131;103;1197.3;3;6;9;13.5;22.3
0;002;4;B-132;12;91.7;1;2.7;6;10.7;22.3
0;002;4;B-134o;103;9249.1;13.3;46.3;90;120;165
0;002;4;B-134p;88;2264.7;2;7;11.5;25;92
0;002;4;B-258;1;5.5;5.5;5.5;5.5;5.5;5.5
0;002;4;B-259;3;42;4;4;15;23;23
0;003;1;B-105;1;7;7;7;7;7;7
0;003;1;B-107b;2;18.8;5.4;5.4;9.4;13.3;13.3
0;003;1;B-110;8;11.1;0.8;0.9;1.4;1.6;2.5
0;003;1;B-112b;1;8.8;8.8;8.8;8.8;8.8;8.8
0;003;1;B-112c;4;81;12;13;16.3;27.5;36.5
0;003;1;B-114;2;18.3;5.7;5.7;9.2;12.7;12.7
0;003;1;B-119b;5;14;0.3;0.7;1;4.7;7.3
0;003;1;B-120;1;0.3;0.3;0.3;0.3;0.3;0.3
0;003;1;B-124p;2;3.5;0.5;0.5;1.8;3;3
0;003;1;B-125o;14;203;1;9.5;13.8;19;30
0;003;1;B-125p;1;3;3;3;3;3;3
0;003;1;B-126b;5;60;6;12;13.5;14;14.5
0;003;1;B-131;4;12;1;1.3;2.5;4.8;6
0;003;1;B-134o;20;528;2.5;9.8;22.8;41;55
0;003;1;B-134p;13;323;3;9;20;41;56
0;003;2;B-105;3;22;0.3;0.3;9;12.8;12.8
0;003;2;B-106;1;0.5;0.5;0.5;0.5;0.5;0.5
0;003;2;B-107a;1;1.1;1.1;1.1;1.1;1.1;1.1
0;003;2;B-107b;4;8.1;0.9;1.1;2.1;2.9;3.1
0;003;2;B-108b;5;64.9;4.6;5.7;11.1;17.7;25.7
0;003;2;B-110;13;17.4;0.4;0.8;1.2;1.6;3.2
0;003;2;B-111;1;4.5;4.5;4.5;4.5;4.5;4.5
0;003;2;B-112b;5;53.2;2.4;7.6;11.6;13.6;18
0;003;2;B-112c;27;269.5;1.5;5;8;9.5;25.5
