vrai_hop;rdrg;SI;cat;NAB;totalEUR;p5;p25;p50;p75;p95
0;001;1;1;1;57;57;57;57;57;57
0;001;2;28;28;721.2;6;13.5;20.2;32;72.2
0;001;3;41;41;1626.3;8.1;16.5;33;59;79.1
0;001;4;136;136;12030.4;13.2;24.1;46.8;96.1;314.5
0;002;1;1;1;111.1;111.1;111.1;111.1;111.1;111.1
0;002;2;14;14;652.4;1.9;10.8;28;72.6;165.7
0;002;3;26;26;1558.5;1.6;14.5;58.6;91;144.4
0;002;4;114;114;18823.6;16;84.8;127.6;191.2;403.7
0;003;1;60;53;1607.9;0.4;1.1;4.4;55.3;106.3
0;003;2;166;155;8374.1;1.2;34.7;55;73.5;104.1
0;003;3;258;255;16960.1;26;47.7;63.3;80.5;118.2
0;003;4;239;239;28568.5;31.9;63.9;88.6;135.9;326.3
0;004;1;6;5;30.5;0.7;2.3;4.3;5.1;18.1
0;004;2;63;55;1527.4;2.3;6.9;12.8;32.2;61.5
0;004;3;223;210;8487.9;4.6;15.8;26.3;51.3;122.6
0;004;4;2065;2052;164936.7;13.5;32.8;58.7;103.4;216.2
0;005;1;33;27;280.5;0.6;3.4;7.8;16.6;25.1
0;005;2;125;111;2057.4;1.4;5.4;12.5;23.1;50.2
0;005;3;126;118;2943.7;2.6;8;15.9;28.4;87.2
0;005;4;171;167;8112.9;6.9;18.9;34.3;62.3;132.4
0;020;1;131;109;319.6;0.4;0.4;0.8;2.8;14.5
0;020;2;195;172;804.4;0.4;0.6;1.1;5.6;20.7
0;020;3;171;148;1392.3;0.4;1;4.7;11.5;32.8
0;020;4;280;271;6628.3;0.7;5.1;14;29.5;89.6
0;021;1;1157;1019;2054.7;0.4;0.4;0.8;1.6;7.7
0;021;2;1842;1444;4223.9;0.4;0.7;0.8;1.9;11.8
0;021;3;743;661;5830.6;0.4;0.8;1.6;7.8;33.6
0;021;4;738;715;19527.7;0.7;5.3;14.1;35.3;97.4
0;022;1;145;127;191.6;0.4;0.4;0.7;1.2;4.4
0;022;2;347;310;758.7;0.4;0.4;0.8;1.6;12.3
0;022;3;125;117;1140.1;0.4;0.8;2;9.1;44.7
0;022;4;118;112;2716.1;0.4;5.6;15;30.4;75.2
0;023;1;624;506;784.4;0.4;0.4;0.8;1.2;5.9
0;023;2;343;284;1481.8;0.4;0.7;1.2;4.1;25.8
0;023;3;196;179;2069.5;0.4;1.1;3.5;16.7;46.3
0;023;4;73;69;3014.3;0.4;11.7;26.4;60;128
0;024;1;1111;885;997.7;0.4;0.4;0.8;1.5;2.7
0;024;2;2455;2019;3029.2;0.4;0.4;0.8;1.6;4.3
0;024;3;594;521;1786.4;0.4;0.4;1.2;2.5;13.1
0;024;4;96;92;2477.8;0.8;6.1;14.1;34.8;104.6
0;025;1;2005;629;785.7;0.3;0.4;0.7;1;4.8
0;025;2;261;129;239.3;0.4;0.4;0.8;1.6;5.7
0;025;3;48;24;264.9;0.4;0.6;3;14;38.5
0;025;4;5;5;67.6;0.8;6.1;13.4;17.4;29.9
0;026;1;594;166;521.7;0.4;0.4;1.1;2.3;10.6
0;026;2;398;221;1095.4;0.4;0.4;0.8;4.8;19
0;026;3;217;178;1992.8;0.4;0.8;5.5;13;48.2
0;026;4;104;98;3692.4;0.4;10.6;21.8;46.1;126.6
0;040;1;165;11;33.8;0.3;0.4;1.4;7;8
0;040;2;188;37;158.8;0.4;1;3.1;6.7;11.6
0;040;3;143;66;870.1;0.5;5;10.3;16.7;35
0;040;4;44;30;835.1;0.8;12.9;22.1;45.6;72
0;041;1;328;82;317.5;0.4;0.4;0.8;1.6;21.5
0;041;2;1282;321;2480.9;0.4;0.8;5;10.5;25.4
0;041;3;1083;446;6047.3;0.8;4.5;9.1;18;40.1
0;041;4;237;171;4300.9;0.6;7;13.5;32.7;83.1
0;042;1;2166;199;1503;0.4;1.4;4.6;9.1;25.1
0;042;2;5947;1277;11350.2;0.6;3.1;6;11.3;26.3
0;042;3;3219;1759;21977.8;1;5;8.6;15.5;35
0;042;4;480;397;9306.5;2;8.4;16.3;32.1;62.6
0;043;1;1182;71;341.2;0.4;1;5;5.5;13.5
0;043;2;677;98;769.9;0.8;2.5;5;7.1;25.5
0;043;3;162;90;1042.6;1;4.2;7.8;14.9;38
0;043;4;18;17;593;2.2;9.4;17.5;56.4;165.7
0;044;1;387;56;316.4;0.3;1.3;3.9;7;20.9
0;044;2;1011;181;1592.1;0.3;3;6.7;11.4;24
0;044;3;1255;436;4092.5;0.4;3;7;12.3;24.9
0;044;4;526;422;7719.5;1;5.7;11.9;24.3;55.9
0;045;1;897;64;544.7;1;3;6;13.3;22
0;045;2;7905;1135;9599;0.6;2.9;6;10.3;25
0;045;3;3939;2026;23489.8;1;4.4;8;14.5;35.7
0;045;4;2083;1767;34849.7;1.4;7.1;13.7;25.2;55
0;046;1;178;13;25.1;0.4;0.5;1;2.5;6
0;046;2;810;85;530.4;0.4;1.6;4.5;8.3;19
0;046;3;278;117;1117.1;1;4;7;12.1;28.6
0;046;4;79;68;1497.8;1.1;6.3;12.5;30;75.7
0;047;1;1508;55;242.6;0.6;1.4;3.7;7;10
0;047;2;4451;400;2732.6;0.5;2.3;4.9;8.5;18.2
0;047;3;1135;475;4991.7;1;4.6;7.4;13;31
0;047;4;136;112;2204.3;1;8;14;22.8;55.6
0;048;1;1307;116;584.7;0.3;1.2;3.7;7.5;15.1
0;048;2;1445;200;1490.3;0.8;2.8;5.1;9.4;19.5
0;048;3;2000;323;3168.3;0.7;3.1;7;12.5;26.1
0;048;4;76;50;999.4;2.2;7;13.5;24.8;67.5
0;049;1;125;112;2385.8;3.7;8.7;16.8;27.5;63
0;049;2;320;128;3227.2;2;8;17.1;31.4;87.3
0;049;3;128;105;3483.6;2.1;9.1;16.9;33.5;98.5
0;049;4;120;114;6078.9;2;18.3;34;67.5;135.7
0;050;1;151;53;570.4;0.5;2.6;5;13.7;35
0;050;2;308;114;1535.7;1;5.5;8.8;18.2;35.8
0;050;3;147;94;1614.3;2;6.3;14;20.3;50.6
0;050;4;62;53;1723;1.7;9.6;22;51.3;83.8
0;051;1;724;387;2656.5;1;3;5;8;19.5
0;051;2;241;134;1492.4;1.7;3;7;12;35.8
0;051;3;25;18;293.7;2;5;13.1;22.8;49.4
0;051;4;7;6;179.4;13.5;23.2;24.5;28.6;65.2
0;052;1;731;33;164.7;0.3;0.9;1.7;5.4;22
0;052;2;730;131;1032.7;0.6;3.3;6;10;22.2
0;052;3;695;307;3157.8;1;3.4;7.5;12;32
0;052;4;252;193;3381.2;1;3.9;11.7;21.7;58.4
0;053;1;6852;490;2565.3;0.5;2.3;4.6;6.6;12
0;053;2;4720;701;4765.9;0.6;2.9;5;8.6;19.9
0;053;3;2500;706;6721;0.9;3.4;6.9;11.5;25.4
0;053;4;484;415;7888.8;1.5;7.7;13.3;24.3;53.5
0;054;1;3449;136;535.7;0.4;1;2.3;5.1;10
0;054;2;1782;143;698.3;0.5;1.4;3.3;6;14
0;054;3;178;36;219;0.3;1.7;4.2;10.1;16
0;054;4;5;2;111.1;2;2;55.6;109.1;109.1
0;055;1;690;93;548.7;0.3;1.7;4.3;8;15.9
0;055;2;800;237;1690.3;0.6;3;5.7;10.6;18.3
0;055;3;519;254;2499.1;0.6;2.9;6.6;13.3;33.4
0;055;4;297;236;4311.1;0.8;6.5;12.8;24.5;52.5
0;056;1;865;186;746.5;0.4;1.1;2.7;4.9;11.6
0;056;2;467;148;1078.7;0.6;3;5.1;9.7;25
0;056;3;154;91;938.2;0.6;3.5;7.1;14.3;24.1
0;056;4;45;40;840.9;1.3;6.3;13.9;23.8;64.1
0;057;1;7721;223;697.3;0.3;0.7;2;4.6;8.8
0;057;2;1111;112;657.6;0.3;1.2;3.7;8.6;21
0;057;3;151;49;317.5;1;2.3;4.4;9.4;16
0;057;4;21;18;432.4;0.3;8.1;18;25.6;75.6
0;058;1;8377;177;830;0.4;0.9;2.9;6;19
0;058;2;4983;429;3404.2;0.4;2;5;10;25.5
0;058;3;1056;402;4315.5;1;4.6;8.3;12.7;30.8
0;058;4;214;164;3146.2;0.9;5.7;12.9;23.3;61.3
0;070;1;294;193;404.5;0.3;0.5;1.1;2.6;6.9
0;070;2;195;156;825;0.3;0.8;2.9;5.8;22.3
0;070;3;24;21;337.2;0.3;3.3;6.9;15.8;46.1
0;070;4;2;2;23.9;10.7;10.7;11.9;13.1;13.1
0;071;1;2958;1806;981.3;0.3;0.3;0.3;0.7;0.7
0;071;2;2702;1900;2085.7;0.3;0.3;0.4;0.7;4.3
0;071;3;102;83;373.5;0.3;0.3;0.7;2.2;20.2
0;071;4;7;5;39;0.3;0.7;0.7;0.8;36.5
0;072;1;1326;560;697.8;0.3;0.4;0.7;0.9;4.7
0;072;2;418;258;418.1;0.3;0.4;0.7;1.2;6.6
0;072;3;34;16;65;0.3;0.7;1.6;3.8;29.2
0;072;4;5;5;129.5;5;9.5;16.1;41.1;57.8
0;073;1;3365;1470;1325.1;0.3;0.3;0.4;0.8;3.3
0;073;2;1365;704;814.8;0.3;0.3;0.6;0.8;5
0;073;3;156;87;250.6;0.3;0.4;0.8;2.3;11.9
0;073;4;13;5;36.6;0.4;2.3;4.3;14.3;15.2
0;080;1;278;259;1599.9;0.6;2.3;5.3;8;15.9
0;080;2;94;87;734.2;1.2;3;7;11.8;19.6
0;080;3;18;16;323;0.3;4.2;9;12.9;110.3
0;081;1;322;11;71.9;1;1.4;4.3;5.5;26
0;081;2;386;31;303;0.5;2;5;10;42.5
0;081;3;62;10;90.1;1;2.3;7.8;13.3;24.1
0;081;4;2;0;0;0;0;0;0;0
0;082;1;816;234;1016;0.3;1;2;4.6;15.2
0;082;2;1013;272;1803.3;0.6;2.4;5;7.7;16.7
0;082;3;364;149;1778.6;0.6;4.1;8;13.9;36.6
0;082;4;30;21;251.6;1.6;3.5;10.6;17.1;25.5
0;090;1;80;40;116;0.3;0.9;1.1;2.6;11.4
0;090;2;59;50;518.6;0.4;2;9.5;16;26.6
0;090;3;31;27;435.3;3.1;6.9;13.4;23.1;36.4
0;090;4;136;133;3233.1;3.4;9.7;15.8;30.6;75.9
0;091;1;263;229;840.1;0.3;0.8;2.5;5;9.9
0;091;2;162;141;818.2;0.4;1.2;4.6;7.8;15.8
0;091;3;38;37;414.7;1.6;4.1;8.3;16.3;20.7
0;091;4;109;108;2758.5;1.7;8;14.6;25.8;53.4
0;092;1;3387;3230;7038.8;0.3;1.1;1.6;2.6;6.2
0;092;2;364;344;1335.7;0.4;1.1;2.3;4.9;12.6
0;092;3;49;48;313.1;0.4;1.6;3.8;8.5;19.3
0;092;4;5;5;117.3;11.1;18.1;18.7;20.9;48.5
0;093;1;5666;3952;7046.1;0.3;0.8;1.2;2;5.2
