vrai_hop;rdrg;SI;cat;NAB;totalEUR;p5;p25;p50;p75;p95
0;001;1;2;2;70.4;14.6;14.6;35.2;55.8;55.8
0;001;2;34;34;4864.7;5.6;16.5;74;102.7;855.8
0;001;3;91;91;19074.1;21.7;76.6;121.5;270.8;644.1
0;001;4;116;116;328843.1;65.8;357.1;637;2569.1;12300.4
0;002;2;8;8;1700.3;32.5;64.7;105.1;325.3;677.4
0;002;3;66;65;30162.9;19.6;105.3;361.4;685.4;1326
0;002;4;91;91;321085.6;70.6;440.4;962;3577.1;16934.5
0;003;1;323;308;297205.7;6.8;169.1;419.5;837;3848
0;003;2;389;387;1059427.8;102.8;438;808.5;2564.3;14029.8
0;003;3;82;81;421781.2;367.9;906.4;1658.8;6318;20162
0;003;4;72;72;1131641.7;1303;3459;8462;22037.9;49868.2
0;004;1;1;1;809.5;809.5;809.5;809.5;809.5;809.5
0;004;2;19;16;6772.4;3.1;80.8;249.4;598;2215.4
0;004;3;118;113;87038.8;7.6;189.3;482.2;796.1;2116.7
0;004;4;950;939;2219285.5;87.7;533.2;1110.2;2253;9695.4
0;005;1;2;2;340.2;167.9;167.9;170.1;172.3;172.3
0;005;2;19;18;12431.8;87.3;240.2;399.3;677.2;3816
0;005;3;154;154;108399;75.2;224.8;461.9;790.7;1888.4
0;005;4;503;501;996301.2;125.8;607.6;1084.6;1941.4;8193.7
0;006;3;4;4;1361.4;126.8;184.8;344.6;495.9;545.4
0;006;4;5;5;7711;448.5;693.2;877.8;1638.8;4052.7
0;020;1;281;251;4079.3;2.3;3.8;6.8;13.6;67.5
0;020;2;107;97;6334.7;3.4;3.9;11.6;50.4;390.8
0;020;3;288;262;41647.4;3.6;5.4;23.1;130.1;933.8
0;020;4;167;164;84834.6;5.8;58.8;268.2;591.2;1915.3
0;021;1;1228;1105;16305.4;3.4;3.8;5.6;10.9;41.7
0;021;2;1418;1321;49172.5;3.4;3.8;7.2;13.4;159.5
0;021;3;849;817;165458.4;3.4;5.6;12.8;86.9;982.4
0;021;4;451;446;320124.4;3.8;28.7;214;695.4;2987.4
0;022;1;261;234;2978.8;1.7;3.6;3.9;7.8;19.6
0;022;2;320;299;13926.6;1.9;3.8;6;12.6;148.4
0;022;3;211;196;44025.5;3.4;6.7;32.8;245.8;1111.2
0;022;4;137;134;113154.9;7.8;101.8;387.7;884.9;2469.6
0;023;1;925;765;12146;3.4;3.8;5.4;11.6;30.7
0;023;2;520;427;23472.4;3.4;3.9;8.1;15.5;229.6
0;023;3;218;202;59913.8;3.6;9.4;24.7;108.2;966.5
0;023;4;47;47;42188.5;25.1;197.8;644.4;1151;2575.1
0;024;1;1759;1268;9407.4;3.4;3.8;3.9;10.9;15.9
0;024;2;1771;1422;20571.9;3.4;3.8;5.7;10.9;23.3
0;024;3;780;633;22419.5;3.4;3.9;7.3;15.4;152.3
0;024;4;128;111;50306.9;3.8;43.9;130.7;496;1867
0;026;1;2168;1068;8135.3;1.8;3.6;3.9;7.8;21.5
0;026;2;800;524;10469;2;3.6;3.9;10.9;61
0;026;3;294;246;27272.3;3;3.9;9.2;60.1;628.2
0;026;4;43;42;17075.6;3.9;57;296.9;557.8;1213
0;040;1;113;8;228.9;0.4;2.5;7.1;40.2;129
0;040;2;189;42;1041.3;1.1;2.5;4.4;12.2;82.4
0;040;3;106;51;4602.3;0.6;7;29.8;78.3;490.7
0;040;4;23;23;7398.5;2.9;25.1;269.6;482.3;634.6
0;041;1;322;109;2364;0.8;3.6;3.9;7.8;111.7
