vrai_hop;rdrg;N;NAB
0;001;259;259
0;002;192;192
0;003;921;914
0;004;1429;1399
0;005;334;330
0;006;10;10
0;020;825;772
0;021;4676;4420
0;022;581;531
0;023;1485;1197
0;024;5029;3592
0;026;3152;1884
0;040;420;126
0;041;2848;940
0;042;11461;3539
0;043;3369;310
0;044;3336;1098
0;045;14960;4125
0;046;594;102
0;047;7581;950
0;048;3980;614
0;049;687;422
0;050;907;446
0;051;1267;740
0;052;2454;596
0;053;16064;2194
0;054;6392;349
0;055;3318;1211
0;056;285;71
0;057;8602;705
0;058;18008;2347
0;070;516;375
0;073;10463;4418
0;080;650;412
0;082;2833;629
0;089;1982;1731
0;090;324;239
0;091;696;641
0;092;4832;4594
0;093;4835;3326
0;095;161;138
0;097;7636;1951
0;098;12985;8162
0;110;1560;727
0;111;5752;408
0;113;19900;10957
0;114;4175;2587
0;115;58532;1570
0;120;3495;3249
0;121;3650;2660
0;130;948;924
0;131;837;773
0;132;126;57
0;133;1065;612
0;134;5338;1904
0;135;3613;1181
0;136;7396;3048
0;137;8314;7942
0;138;11776;3995
0;139;30183;29041
0;140;29629;21852
0;141;5397;1973
0;142;1993;904
0;143;5918;2004
0;144;24377;9641
0;160;77;74
0;161;1577;1460
0;162;482;480
0;163;3435;3405
0;165;1030;1019
0;166;4531;4501
0;167;3184;2024
0;169;2198;2066
0;170;318;300
0;171;6629;6020
0;174;8809;1200
0;175;27021;2821
0;176;2299;2024
0;177;727;661
0;180;2874;828
0;181;19060;12178
0;182;4686;2583
0;190;7114;1602
0;191;13611;324
0;192;14186;1530
0;193;241;225
0;194;23375;9611
0;196;1077;342
0;197;5380;1709
0;198;4515;454
0;199;2675;298
0;200;1213;311
0;201;19522;3044
0;203;4935;268
0;204;10722;1512
0;205;395;100
0;206;1337;534
0;207;5300;1249
0;220;3515;2993
0;221;15754;15330
0;222;4771;2861
0;223;4320;3407
0;224;1661;1194
0;225;12617;11697
0;226;6505;2254
0;227;8009;6828
0;228;14650;12309
0;229;2915;1925
0;240;6415;2318
0;241;7936;1656
0;242;723;333
0;243;7134;1168
0;244;9831;6859
0;245;3431;1525
0;246;1493;820
0;247;8140;2046
0;248;4951;3610
0;249;31339;7034
0;251;6166;887
0;252;2567;961
0;253;2833;698
0;254;20976;4007
0;260;2578;2178
0;261;1402;1167
0;262;638;581
0;263;19792;14311
0;264;2706;1797
0;279;1281;678
0;280;3639;1544
0;281;4570;1754
0;282;6611;2096
0;283;2619;681
0;284;10111;7269
0;301;30082;29653
0;302;25701;25374
0;303;366;363
0;304;8225;8029
0;305;1163;1093
0;308;10726;10249
0;309;3859;2882
0;310;16737;15468
0;312;736;576
0;313;17323;14555
0;314;16316;14136
0;315;34697;26978
0;316;4944;3552
0;317;9475;7087
0;320;10434;8699
0;321;7077;6799
0;322;1261;1233
0;340;1688;552
0;341;3522;1288
0;342;8609;1933
0;343;2291;966
0;344;1557;1385
0;346;3309;949
0;347;19230;3615
0;349;2308;796
0;351;13058;4503
0;361;4862;2836
0;362;4899;3197
0;363;14279;8837
0;364;7022;5199
0;380;1936;1392
0;381;752;332
0;382;978;453
0;383;12595;11298
0;384;7016;2098
0;385;4902;2051
0;401;638;556
0;403;14543;13467
0;404;6709;1746
0;405;319;198
0;420;10709;2033
0;421;6235;1241
0;422;4543;1802
0;423;486;91
0;424;3103;578
0;425;3850;1180
0;440;474;472
0;441;1514;1433
0;442;2125;1970
0;443;8196;6868
0;444;994;413
0;445;1414;1119
0;446;13387;9912
0;447;533;386
0;461;1859;1179
0;462;853;264
0;463;22855;21748
0;465;11311;4607
0;466;2555;1684
0;468;9946;4981
0;469;2591;1501
0;470;2578;798
0;480;4038;3831
0;481;1201;866
0;482;8025;6803
0;483;2190;824
0;484;1909;1732
0;500;1245;719
0;501;5059;3716
0;510;961;900
0;511;673;542
0;512;1073;980
0;513;13750;9271
0;514;4285;3640
0;517;677;171
0;518;1969;1066
0;519;4509;3852
0;530;1098;533
0;531;895;698
0;532;1927;472
0;540;23908;20595
0;541;2670;2134
0;542;1559;733
0;544;1559;626
0;545;1226;425
0;546;543;279
0;560;85498;25599
0;561;1742;774
0;563;3712;818
0;564;791;155
0;565;1158;175
0;566;11459;2486
0;580;80;43
0;581;33;10
0;583;11;10
0;588;64;64
0;589;19;12
0;591;101;92
0;593;179;152
0;602;178;137
0;603;48;28
0;607;258;201
0;608;115;45
0;609;54;51
0;611;153;91
0;612;267;176
0;613;43;38
0;614;345;125
0;621;124;68
0;622;206;134
0;623;49;46
0;625;215;64
0;626;222;50
0;630;81;81
0;631;98;85
0;633;366;206
0;634;438;334
0;636;198;151
0;639;512;187
0;640;1526;156
0;650;180;158
0;651;854;436
0;660;3824;3128
0;661;1169;265
0;662;648;370
0;663;9971;2734
0;680;934;850
0;681;3660;1906
0;690;968;727
0;691;3398;1809
0;692;531;98
0;694;2526;993
0;695;1115;600
0;696;21622;4392
0;710;2792;2568
0;711;2077;1958
0;720;12077;11698
0;721;3835;3569
0;722;3571;2061
0;723;8992;2702
0;724;3177;2315
0;740;406;255
0;750;521;36
0;751;2151;261
0;752;364;22
0;753;1179;143
0;754;2595;313
0;755;2530;179
0;756;3589;364
0;757;4584;1507
0;758;572;44
0;759;284;23
0;760;4508;169
0;770;579;38
0;772;1463;143
0;773;517;99
0;774;441;27
0;775;8218;741
0;776;852;110
0;791;4219;2974
0;811;1337;166
0;812;10432;1497
0;813;4877;2130
0;815;2289;390
0;816;1740;216
0;841;14;14
0;842;244;151
0;843;12;6
0;844;677;164
0;850;10193;6465
0;860;2791;1009
0;861;35176;3448
0;862;14467;2308
0;863;935;59
0;890;135;125
0;892;228;172
0;893;54;46
0;894;303;164
0;910;171;154
0;911;185;166
0;912;1077;1028
0;930;1201;607
0;950;4781;3637
0;951;13040;9496
0;952;5256;3322
0;955;49;5
0;956;308;46
