vrai_hop;rdrg;SI;N;moy_gemid
0;001;1;4;213.52
0;001;2;26;264.46
0;001;3;45;450.33
0;001;4;79;724.66
0;002;1;2;1401.96
0;002;2;7;1330.5
0;002;3;35;1894.22
0;002;4;61;2047.71
0;003;1;74;13.86
0;003;2;100;35.39
0;003;3;187;15.29
0;003;4;184;49.37
0;004;1;31;264.9
0;004;2;88;279.31
0;004;3;328;430.15
0;004;4;1322;629.01
0;005;1;110;96.78
0;005;2;118;153.13
0;005;3;79;110.83
0;005;4;126;224.99
0;020;1;152;121.14
0;020;2;134;121.85
0;020;3;147;129.65
0;020;4;176;193.43
0;021;1;1492;452.94
0;021;2;1050;575.13
0;021;3;680;332.96
0;021;4;527;324.86
0;022;1;230;349.7
0;022;2;263;362.92
0;022;3;103;279.76
0;022;4;72;244.53
0;023;1;607;850.53
0;023;2;290;612.9
0;023;3;188;1007.25
0;023;4;42;1407.36
0;024;1;1410;153.2
0;024;2;1648;159.12
0;024;3;515;240.55
0;024;4;67;429.22
0;025;1;3509;7.81
0;025;2;172;10.44
0;025;3;44;23.36
0;025;4;4;0
0;026;1;671;421.3
0;026;2;391;1962.21
0;026;3;196;1525.8
0;026;4;65;1264.6
0;040;1;268;2.28
0;040;2;237;31.13
0;040;3;116;10.66
0;040;4;25;9.5
0;041;1;595;2.74
0;041;2;976;7.41
0;041;3;613;15.75
0;041;4;104;15.5
0;042;1;2384;0.63
0;042;2;3163;0.4
0;042;3;1393;1.03
0;042;4;197;5.81
0;043;1;1310;1.03
0;043;2;508;0.63
0;043;3;112;13.87
0;043;4;10;27.37
0;044;1;654;0.17
0;044;2;946;0.32
0;044;3;942;32.08
0;044;4;300;73.85
0;045;1;768;0.23
0;045;2;2577;0.68
0;045;3;1236;1.48
0;045;4;489;5.06
0;046;1;2399;2.12
0;046;2;5484;3.71
0;046;3;2304;8.21
0;046;4;786;7.32
0;047;1;2186;1.71
0;047;2;4638;2.11
0;047;3;1295;1.65
0;047;4;136;12.2
0;048;1;2118;3.79
0;048;2;2043;0.42
0;048;3;1366;0.85
0;048;4;50;15.31
0;049;1;313;0.11
0;049;2;390;0.53
0;049;3;127;3.65
0;049;4;92;5.44
0;050;1;418;0
0;050;2;380;0.02
0;050;3;118;0.38
0;050;4;31;12.4
0;051;1;2741;0.04
0;051;2;439;0
0;051;3;101;0
0;051;4;18;0
0;052;1;647;0.45
0;052;2;578;2.97
0;052;3;537;5.45
0;052;4;235;20.03
0;053;1;6741;0.09
0;053;2;3449;0.39
0;053;3;1825;0.85
0;053;4;231;7.44
0;054;1;3396;0.1
0;054;2;1151;0.05
0;054;3;127;0.61
0;054;4;7;5.09
0;055;1;661;0.11
0;055;2;408;0.23
0;055;3;214;1.14
0;055;4;102;21.46
0;056;1;1013;0
0;056;2;282;0.58
0;056;3;83;1.88
0;056;4;27;10.23
0;057;1;12122;0
0;057;2;1125;0.11
0;057;3;157;2.33
0;057;4;17;0
0;058;1;9804;2.52
0;058;2;4491;3.41
0;058;3;1438;7.88
0;058;4;231;6.06
0;070;1;372;19.8
0;070;2;145;122.92
0;070;3;18;49.42
0;070;4;5;2.48
0;071;1;3626;19.46
0;071;2;1696;11.27
0;071;3;61;9.85
0;071;4;6;14.54
0;072;1;3520;24.94
0;072;2;467;45.85
0;072;3;47;34.1
0;072;4;2;157.88
0;073;1;12227;96.24
0;073;2;2403;97.3
0;073;3;181;115.49
0;073;4;13;107.88
0;080;1;200;0
0;080;2;64;0
0;080;3;10;0
0;080;4;1;0
0;081;1;291;0.42
0;081;2;287;0
0;081;3;52;0
0;081;4;6;0
0;082;1;1060;0.58
0;082;2;1205;1.53
0;082;3;361;0
0;082;4;17;2.21
0;090;1;93;8.84
0;090;2;196;113.69
0;090;3;47;178.19
0;090;4;76;177.58
0;091;1;229;8122.31
0;091;2;147;2109.62
0;091;3;22;89.35
0;091;4;42;55.54
0;092;1;2193;167.82
0;092;2;278;161.28
0;092;3;41;372.72
0;092;4;8;402.57
0;093;1;7034;0.63
0;093;2;549;4.57
0;093;3;48;24.2
0;093;4;4;235.62
0;094;1;2000;1.53
0;094;2;326;4.93
0;094;3;46;15.36
0;094;4;7;46.67
0;095;1;330;0.11
0;095;2;65;0
0;095;3;8;22.08
0;096;1;736;0.33
0;096;2;165;0.02
0;096;3;12;324.52
0;097;1;10939;0.03
0;097;2;499;0
0;097;3;34;9.61
0;097;4;4;0
0;098;1;14114;1.8
0;098;2;1547;13
0;098;3;104;15.72
0;098;4;12;74.21
0;110;1;638;5.68
0;110;2;712;13.55
0;110;3;378;28.26
0;110;4;66;34.73
0;111;1;1943;0
0;111;2;1271;0.1
0;111;3;235;0.68
0;111;4;15;11.65
0;112;1;738;4.91
0;112;2;247;0.04
0;112;3;87;0.41
0;112;4;9;36.3
0;113;1;6670;0.08
0;113;2;4063;0.25
0;113;3;634;0.27
0;113;4;63;8.86
0;114;1;5564;0.19
0;114;2;753;0.65
0;114;3;168;2.53
0;114;4;32;0.06
0;115;1;2478;0.17
0;115;2;1277;0.09
0;115;3;145;5.48
0;115;4;27;4.21
0;120;1;341;268.83
0;120;2;643;299.63
0;120;3;320;332.48
0;120;4;213;408.75
0;121;1;1243;79.51
0;121;2;1580;88.45
0;121;3;765;102.97
0;121;4;292;241.61
0;122;1;142;51.05
0;122;2;191;160.65
0;122;3;116;262.98
0;122;4;65;180.09
0;130;1;20;11.36
0;130;2;110;15.78
0;130;3;327;26.73
0;130;4;841;60.62
0;131;1;78;22.05
0;131;2;177;22.68
0;131;3;235;18.05
0;131;4;81;11.34
0;132;1;15;0
0;132;2;28;0
0;132;3;9;0
0;132;4;3;0
0;133;1;898;11.35
0;133;2;652;3.64
0;133;3;1098;8.63
0;133;4;325;26.96
0;134;1;737;0.67
0;134;2;1774;8.95
0;134;3;1156;6.39
0;134;4;298;15.35
0;135;1;618;0.09
0;135;2;563;5.05
0;135;3;239;9.81
0;135;4;44;42.25
0;136;1;1440;9.76
0;136;2;4740;11.37
0;136;3;2795;23.67
0;136;4;344;28.5
0;137;1;790;0.86
0;137;2;1763;1.78
0;137;3;1814;8.34
0;137;4;1063;11.46
0;138;1;278;0
0;138;2;129;0
0;138;3;50;0
0;138;4;16;0
0;139;1;8054;0.16
0;139;2;8762;1.19
0;139;3;5744;4.76
0;139;4;1962;13.23
0;140;1;5571;0.79
0;140;2;9215;2.22
0;140;3;6439;2.33
0;140;4;1853;14.48
0;141;1;7038;0.16
0;141;2;3493;0.47
0;141;3;1243;0.7
0;141;4;207;9.57
0;142;1;262;0.61
0;142;2;585;2.12
0;142;3;356;6.3
0;142;4;87;10.51
0;143;1;825;40.58
0;143;2;1289;29.07
0;143;3;460;33.4
0;143;4;109;61.17
0;144;1;10266;0.49
0;144;2;8623;1.39
0;144;3;3702;4.62
0;144;4;713;15.93
0;160;1;9;1708.36
0;160;2;16;1436.2
0;160;3;22;1507.08
0;160;4;41;1699.92
0;161;1;92;3787.11
0;161;2;137;4855.73
0;161;3;136;6088.66
0;161;4;52;4204.82
0;162;1;24;3879.46
0;162;2;85;3939.64
0;162;3;292;4068.88
0;162;4;255;4649.89
0;163;1;237;3073.23
0;163;2;464;3908.43
0;163;3;880;4034.99
0;163;4;627;4236.96
0;164;3;1;1228.46
0;164;4;1;2645.54
0;165;1;67;1237.88
0;165;2;713;1334.11
0;165;3;1384;1515.3
0;165;4;488;1965.35
0;166;1;316;1207.26
0;166;2;2660;1251.62
0;166;3;1799;1366.68
0;166;4;620;1558.03
0;167;1;215;2146.44
0;167;2;93;2066.44
0;167;3;106;1968.52
0;167;4;45;3450.94
0;168;1;654;737.47
0;168;2;998;875.71
0;168;3;608;976.21
0;168;4;473;1461.89
0;169;1;214;1173.05
0;169;2;305;1396.87
0;169;3;230;1032.68
0;169;4;155;1118.84
0;170;1;22;4500.3
0;170;2;94;5069.53
