vrai_hop;rdrg;total;p5;p25;p50;p75;p95
0;001;1181286;1162.19;2127.89;3562.94;6858.84;21272.24
0;002;951304;2229.84;4236.85;6460.11;10228.74;18373.94
0;003;4890578;425.28;4687.13;7343.87;11004.86;23905.84
0;004;12429530;696.01;2660.89;4957.4;8428.18;16372.66
0;005;873417;131.16;565.3;984.78;1989.73;5911.72
0;020;807775;58.09;206.74;484.42;1333.58;5099.59
0;021;3561195;73.08;284.15;527.41;993.94;3459.15
0;022;358806;35.91;75.03;126.85;333.8;2226.96
0;023;563089;9.66;58.83;120.83;320.76;1734.21
0;024;1046873;67.7;119.71;175.23;265.66;701.76
0;025;200396;1.37;11.92;34.44;59.2;143.93
0;026;467861;2.5;49.22;106.04;234.26;1227.76
0;040;161527;0;7.86;48.56;238.44;1057.63
0;041;1143316;10.63;92.19;206.79;512.5;1659.31
0;042;1115176;0;11.38;50.04;138.24;620.57
0;043;529157;0;10.11;198.86;350.37;688.57
0;044;1033001;3.86;38.11;134.01;393.21;1485.61
0;045;2125973;11.1;65.49;144.95;336.22;1392.72
0;046;2864989;6.06;46.14;105.49;229.17;1148.76
0;047;1031848;2.05;19.28;55.31;115.57;375.31
0;048;671517;0;7.68;30.04;92.21;408.46
0;049;1169727;0;104.59;376.31;1202.12;6340.92
0;050;362499;0;16.18;142.86;572.14;2264.72
0;051;225564;0;14.54;63.33;150.22;612.02
0;052;650432;0;9.6;54.46;233.37;1421.51
0;053;1346758;0;4.11;21.22;77.98;401.12
0;054;198318;0;4.34;16.05;51.81;148.98
0;055;400332;0;15.72;72.85;224.19;1134.58
0;056;141426;0;1.64;17.1;78.34;356.84
0;057;211859;0;0;1.71;10.26;60.85
0;058;1254474;0;0;0;24.99;291.55
0;070;91494;27.71;56.53;88.11;173.86;456.81
0;071;650959;12.41;49.4;81.46;145.36;291.93
0;072;331781;4.29;35.09;58.62;116.44;265.34
0;073;2314374;76.09;115.14;163.81;204.62;296.57
0;080;39715;5.16;28.53;74.8;161.91;540.73
0;081;92761;0;13.38;73.97;199.31;453.69
0;082;354676;0;8.11;32.88;122.75;581.34
0;090;294372;30.25;114.51;364.93;889.43;2959.91
0;091;287720;66.99;167.98;255.42;445.95;2073.35
0;092;480882;43.87;82.47;130.55;213.85;418.12
0;093;884751;34.17;58.87;83.04;119.58;233.3
0;094;346405;24.08;46.56;67.67;107.41;359.89
0;095;42338;25.94;49.36;72.01;112.7;226.7
0;096;96899;34.08;53.98;76.57;111.17;224.64
0;097;735000;14.38;31.02;45.86;64.46;122.75
0;098;1548924;23.22;49.48;73.04;111.18;212.7
0;110;878830;3.59;53.39;131.11;439.6;1942.43
0;111;195616;0;7.21;24.05;69.69;167.09
0;112;89947;0;4.46;16.21;48.6;206.36
0;113;866276;0;6.89;31.13;85.87;261.92
0;114;623539;1.96;33.73;53.85;80.29;250.75
0;115;300436;0;0;14.01;60.37;234.25
0;120;1418121;135.11;275.37;447.16;878.3;3125.3
0;121;2726864;17.51;83.71;208.44;602.43;3000.85
0;122;562948;8.57;98.21;327.05;927.98;4191.57
0;130;3280608;296.97;996.49;1877.34;3249.35;6622.12
0;131;950812;9.22;265.2;1039.24;2086.62;4046.6
0;132;6494;0;20.96;72.03;131.84;343.74
0;133;1261843;4.01;62.55;173.92;443.26;1653.33
0;134;1691984;30.1;105.18;198.1;387.12;1397.19
0;135;265514;0.3;19.65;62.71;158.28;653.47
0;136;4642881;3.1;73.74;227.57;613.77;1849.79
0;137;4764722;22.63;166.44;422.62;1042.7;2892.31
0;138;36875;2.23;19.21;46.69;77.63;190.1
0;139;10464192;20.13;80.86;210.62;460.09;1485.06
0;140;9475861;8.17;99.5;232.69;467.54;1497.6
0;141;1181057;1.31;14.99;42.58;98.51;382.72
0;142;443104;0;28.66;115.99;349.17;1333.54
0;143;628344;0;23.14;73.54;216.07;966.78
0;144;3856128;0;4.26;42.75;152.09;711.3
0;160;65940;154.06;286.04;414.86;692.46;2692.75
0;161;200255;36.09;83.68;149.23;399.94;1464.55
0;162;1206294;534.18;788.94;1061.94;1689.87;4670.73
0;163;2620657;378.72;568.31;757.01;1075.39;3048.03
0;164;2868;597.96;597.96;1433.91;2269.86;2269.86
0;165;3099688;445.8;654.96;887.55;1207.91;2804.86
0;166;4072832;336.96;462.23;636.89;875.14;1678.3
0;167;267323;39.56;92.52;202.63;543.26;1517.65
0;168;2472261;97.52;249.78;439.22;847.44;3114.58
0;169;842467;161.51;355.27;531.87;920.14;3573.62
0;170;139225;29.3;109.12;215.41;551.37;1761.56
0;171;648027;7.77;22.98;53.04;120.53;468
0;172;1209635;115.52;421.48;965.02;2019.87;4507.55
0;173;5507973;46.51;105.34;183.21;376.13;1658.26
0;174;2575717;102.76;240.05;1019.12;1245.75;2213.19
0;175;5873116;7.08;87.97;152.93;315.55;1229.23
0;176;152865;3.56;13.7;29.07;61.86;270.77
0;177;95521;4.59;13.47;27.65;62.93;329.92
0;178;362581;16.71;72.16;275.8;741.65;2174.84
0;179;764345;9.44;21.42;40.93;63.87;115.32
0;180;595706;15.68;79.78;205.33;579.46;2454.93
0;190;5652514;14.4;106.13;233.74;1039;1483.63
0;191;1614389;9.46;99.09;131.86;208.55;645.02
0;192;3037751;5.82;87.65;112.24;162;293.84
0;193;325660;128.36;487.13;1043.69;2188.49;4764.11
0;194;4334699;9.93;48.39;119.37;278.49;1018.22
0;195;381131;15.04;56.51;114.61;212.57;922.67
0;196;417537;0;6.77;49.55;281.79;1575.48
0;197;2023590;1.64;47.05;99;167.34;773.12
0;198;732723;0;18.21;73.05;154.24;475.34
0;199;322142;0;8.54;33.21;92.32;234.52
0;200;320222;0;10.33;51.17;135.37;621.76
0;201;1787033;1.61;11.7;32.63;86;348.6
0;202;1003572;0.82;21.64;65.48;128.24;385.72
0;203;269792;0;5.83;21.25;62.07;173.29
0;204;404980;0;3.92;13.78;48.66;194.16
0;205;171246;0.79;19.78;71.39;161.63;620.01
0;206;720863;1.1;51.85;163.05;782.09;2994.18
0;207;1196827;0.1;14.03;53.62;159.42;1084.96
0;220;5488700;62.71;109.83;220.35;946.02;4502.74
0;221;13673679;169.44;342.26;595.19;1148.33;3746.68
0;222;245382;11.6;40.75;81.66;226.32;1599.79
0;223;714345;33.13;121.78;223.69;499.2;1679.35
0;224;729830;46.41;84.32;169.53;394.94;1585
0;225;2531315;38.06;68.57;109.48;201.95;559.49
0;226;966348;10.14;26.89;43.67;66.95;242
0;227;1078715;27.4;55.3;80.31;118.63;280.93
0;228;1538980;21;43.92;63.88;85.99;146.39
0;229;2053410;34.8;95.9;262.59;826.68;3351.51
0;240;3128136;2.3;40.9;125.84;431.38;1961.16
0;241;2046796;4.01;25.58;65.39;158.79;917.92
0;242;377008;4.53;23.11;81.87;420.82;2204.78
0;243;1008233;0;1.93;21.26;75.77;379.21
0;244;2014255;5.01;33.27;160.98;391.78;1134.24
0;245;1056276;2.93;35.5;131.32;441.89;1510.24
0;246;388304;8.82;50.66;156.71;437.81;1526.78
0;247;1467579;0;16.86;61.1;170.79;926.25
0;248;368225;12.65;131.68;419.16;999.4;2522.12
0;249;1755206;0;4.41;14.87;50.02;263.38
0;250;3531820;0;8.03;26.58;89.48;531.93
0;260;2997719;85.91;330.07;802.84;2120.84;8754.09
0;261;940303;56.46;207.91;580.25;1291.24;3796.12
0;262;948977;67.44;130.46;316.04;688.4;2524.1
0;263;3198638;52.05;75.32;100.78;171.88;648.9
0;264;1038903;9.44;98.37;281.29;947.85;3630.28
0;280;2115817;1.24;32.27;122.6;424.98;2476.03
0;281;1906603;2.23;59.61;182.49;499.48;1722.67
0;282;3334501;13.11;76.39;185.31;658.6;3093.22
0;283;1239381;0;3.56;43.71;196.93;1388.44
