vrai_hop;rdrg;SI;cat;N;total;p5;p25;p50;p75;p95
0;001;1;1;7;1103;10.41;35.14;72.41;322.14;360.06
0;001;1;4;6;160;4.9;12.6;23.1;37.8;58.8
0;001;1;5;7;165;3.15;4.69;7.98;54.95;62.23
0;001;1;6;4;99;23.1;23.97;25.2;25.72;25.9
0;001;1;7;7;118;1.68;3.36;10.01;29.54;40.25
0;001;1;8;6;114;1.26;2.31;17.85;29.19;45.85
0;001;1;9;5;633;34.3;66.13;142.97;191.95;197.76
0;001;2;1;7;1893;50.49;253.68;286.9;338.01;354.28
0;001;2;4;7;337;16.8;37.8;54.6;58.8;63
0;001;2;5;7;210;11.69;19.67;33.53;43.26;43.4
0;001;2;6;5;94;11.55;15.05;15.4;25.41;26.95
0;001;2;7;7;205;5.04;23.8;32.55;38.36;44.24
0;001;2;8;7;190;2.87;17.78;23.66;38.71;57.33
0;001;2;9;5;740;79.78;132.96;142.97;191.95;191.95
0;001;3;1;25;11006;231.73;296.81;325.12;463.95;1048.31
0;001;3;2;3;46;7;7;14;25.2;25.2
0;001;3;3;1;8;8.05;8.05;8.05;8.05;8.05
0;001;3;4;25;1970;46.2;50.4;63;88.2;143.5
0;001;3;5;25;3043;14.84;35.14;75.32;215.6;300.3
0;001;3;6;20;786;7;16.45;32.3;63;81.37
0;001;3;7;24;1082;24.85;30.94;37.31;52.88;100.24
0;001;3;8;25;967;18.2;22.54;29.92;47.81;111.21
0;001;3;9;25;3741;17.85;127.71;154.67;197.69;247.04
0;001;4;1;127;127919;244.44;450.04;731.59;1163.41;2785.38
0;001;4;2;54;995;1.75;4.2;6.82;14.7;103.83
0;001;4;3;6;97;1.38;2.8;10.32;22.4;49.7
0;001;4;4;127;20174;50.4;75.6;114.8;192.6;413.22
0;001;4;5;127;27077;19.53;54.88;137.83;279.37;675.64
0;001;4;6;103;4746;3.85;22.26;29.26;62.16;135.52
0;001;4;7;117;11122;24.64;45.36;68.32;111.72;241.67
0;001;4;8;127;10504;16.38;33.67;63.21;110.84;194.88
0;001;4;9;126;21225;22.4;69.65;174.25;218.16;326.09
0;002;2;1;5;1888;224.66;254.89;326.62;477.99;604.17
0;002;2;2;3;36;4.2;4.2;4.2;27.65;27.65
0;002;2;4;5;285;44.45;48.65;50.4;61.25;79.8
0;002;2;5;5;113;3.29;17.15;20.79;22.26;49.49
0;002;2;6;5;88;10.85;12.6;18.9;21.35;23.8
0;002;2;7;5;158;25.13;32.2;32.76;33.32;34.65
0;002;2;8;5;77;10.64;12.74;14.56;19.04;19.66
0;002;2;9;5;580;16.8;17.85;38.71;249.12;257.52
0;002;3;1;19;9295;176.15;321.19;353.75;459.82;2550.63
0;002;3;2;9;113;4.15;5.95;10.15;18.9;27.65
0;002;3;4;18;1730;16.8;54.6;77.87;126;299.95
0;002;3;5;19;1624;4.13;28.07;76.51;120.47;282.8
0;002;3;6;19;459;10.85;17.85;25.2;25.55;52.43
0;002;3;7;18;810;10.36;31.36;39.62;49.56;119.56
0;002;3;8;19;327;7.56;10.08;15.26;18.48;72.87
0;002;3;9;19;2855;2.1;141.71;160.95;176.35;271.87
0;002;4;1;97;89338;256.89;402.82;590.97;941.88;2967.07
0;002;4;2;56;832;2.8;4.2;6.65;14.7;61.6
0;002;4;3;2;19;8.75;8.75;9.27;9.8;9.8
0;002;4;4;95;17631;36.05;82.98;131.6;200.2;512.4
0;002;4;5;97;20198;13.65;76.09;156.38;272.37;540.33
0;002;4;6;96;3076;10.85;19.42;25.92;37.8;78.05
0;002;4;7;95;8449;21.84;42.56;63.14;93.24;253.12
0;002;4;8;97;4609;8.12;14.07;21.28;49.77;157.78
0;002;4;9;97;15037;15.05;126.6;165.85;190.47;293.32
0;003;1;0;3;0;0;0;0;0;0
0;003;1;1;29;3539;8.88;20.96;70.02;195.17;387.15
0;003;1;2;9;77;1.75;4.2;6.65;8.4;23.8
0;003;1;4;9;611;4.2;22.05;42;72.1;261.8
0;003;1;5;21;2256;4.13;6.65;41.86;149.73;343.35
0;003;1;6;22;766;7;10.5;17.67;59.5;91
0;003;1;7;27;681;1.96;5.88;12.11;44.17;64.68
0;003;1;8;27;345;1.26;3.78;8.82;16.73;38.71
0;003;1;9;22;543;1.4;2.8;8.01;38.5;81.55
0;003;2;1;116;16714;13.36;72.37;127.89;217.86;341.44
0;003;2;2;43;236;1.75;1.75;4.2;6.65;13.3
0;003;2;4;41;1607;2.45;9.8;19.6;58.8;121.1
0;003;2;5;90;8135;4.13;23.03;53.83;126.28;284.48
0;003;2;6;74;2408;2.24;10.5;23.8;44.45;102.2
0;003;2;7;107;3071;2.44;13.02;27.02;42.69;57.72
0;003;2;8;110;1354;1.82;5.11;9.52;16.1;34.72
0;003;2;9;92;2763;2.8;4.9;19.88;43.99;100.43
0;003;3;1;226;45671;63.58;133.49;191.83;250.6;374.18
0;003;3;2;95;547;1.75;4.2;4.2;8.4;16.8
0;003;3;3;1;1;1.4;1.4;1.4;1.4;1.4
0;003;3;4;131;6277;2.45;7.35;22.05;80.5;138.6
0;003;3;5;211;28713;12.6;51.38;107.66;190.75;340.97
0;003;3;6;210;7812;5.25;10.5;25.9;40.95;107.45
0;003;3;7;220;8340;9.29;27.76;35.63;46.02;71.33
0;003;3;8;225;4651;3.08;10.36;17.92;25.76;47.46
0;003;3;9;198;7586;2.8;9.8;34.93;51.59;108
0;003;4;1;303;110700;102.41;178.63;253.66;390.07;1065.26
0;003;4;2;122;1058;2.8;4.2;4.2;8.4;21
0;003;4;3;3;86;19.25;19.25;33.6;33.6;33.6
0;003;4;4;240;21539;3.32;14.7;49.17;139.12;278.77
0;003;4;5;303;67333;35.07;95.41;161.28;264.6;659.54
0;003;4;6;283;12594;6.65;12.25;25.9;38.15;157.5
0;003;4;7;298;18434;20.72;33.04;49.38;76.86;139.23
0;003;4;8;299;10858;7;16.38;25.9;39.76;97.93
0;003;4;9;294;15894;2.8;11.2;35.21;65.45;181.58
0;004;1;0;2;0;0;0;0;0;0
0;004;1;1;14;2459;7.55;49.94;83.71;309;618.88
0;004;1;2;7;44;1.75;1.75;4.2;10.15;13.3
0;004;1;3;2;112;16.45;16.45;55.8;95.16;95.16
0;004;1;4;6;61;2.45;2.45;11.02;17.15;17.15
0;004;1;5;10;542;5.6;11.2;34.93;94.36;137.97
0;004;1;6;4;31;5.25;5.53;7.45;10.15;11.2
0;004;1;7;14;207;1.4;5.04;12.14;25.76;33.04
0;004;1;8;12;116;1.82;1.82;5;12.88;29.96
0;004;1;9;8;75;2.62;4.37;9.45;10.5;23.8
0;004;2;1;65;12107;5.7;65.38;115.49;299.63;506.31
0;004;2;2;19;114;1.75;1.75;4.9;8.4;19.95
0;004;2;3;7;29;1.38;1.4;3.15;6.65;9.66
0;004;2;4;30;341;2.45;2.45;7.17;17.15;26.95
0;004;2;5;60;3211;2.76;10.04;30.31;69.79;163.8
0;004;2;6;6;50;5.25;5.95;7.88;11.06;11.9
0;004;2;7;61;1293;1.68;8.96;16.73;31.63;45.57
0;004;2;8;61;888;1.26;4.34;9.1;19.67;40.04
0;004;2;9;42;384;2.8;5.52;7.3;10.15;18.2
0;004;3;0;1;0;0;0;0;0;0
0;004;3;1;201;92948;58.18;185.99;332.23;573.68;1339.87
0;004;3;2;96;1159;1.75;4.2;6.65;13.47;35
0;004;3;3;25;689;1.4;1.4;3.5;11.2;120.71
0;004;3;4;136;3400;2.45;4.9;15.82;34.3;73.5
0;004;3;5;196;20046;9.59;47.21;81.02;134.29;248.15
0;004;3;6;61;491;1.75;3.5;5.74;9.1;17.5
0;004;3;7;197;8209;5.32;19.59;31.92;55.72;114.02
0;004;3;8;200;5452;2.66;8.54;18.55;37.27;85.33
0;004;3;9;135;1721;2.42;5.6;11.16;16.8;33.6
0;004;4;0;1;0;0;0;0;0;0
0;004;4;1;1832;1877955;193.72;447.73;757.81;1332.94;2771.29
0;004;4;2;1241;19384;1.75;4.2;8.4;19.6;50.75
0;004;4;3;285;11929;1.4;1.4;8.3;28.35;205.8
0;004;4;4;1527;71952;2.45;9.8;26.95;58.8;159.25
0;004;4;5;1825;384182;38.36;100.24;169.19;275.66;521.26
0;004;4;6;743;8654;1.75;3.5;8.05;14.35;30.49
0;004;4;7;1776;151204;18.48;41.72;67.69;106.99;221.76
0;004;4;8;1830;117804;7.28;24.12;47.46;81.52;183.25
0;004;4;9;1583;39297;3.85;9.31;16.63;30.87;70.84
0;005;1;0;3;0;0;0;0;0;0
0;005;1;1;43;2471;6.78;15.62;33.77;76.82;155.7
0;005;1;2;5;16;1.75;1.75;4.2;4.2;4.2
0;005;1;4;3;32;4.9;4.9;5.6;21;21
0;005;1;5;37;499;1.4;2.8;9.66;15.12;44.59
0;005;1;6;7;32;1.26;1.75;1.75;8.12;12.25
0;005;1;7;42;310;1.68;3.36;6.02;9.17;15.68
0;005;1;8;35;222;1.26;2.52;5.46;7.28;17.64
0;005;1;9;31;239;2.8;4.41;5.81;8.82;13.23
0;005;2;0;5;0;0;0;0;0;0
0;005;2;1;106;8217;6.78;28.04;57.11;97.79;200.58
0;005;2;2;22;144;1.75;1.75;4.2;4.9;23.45
0;005;2;3;2;3;1.4;1.4;1.4;1.4;1.4
0;005;2;4;7;29;2.45;2.45;2.45;7.35;9.8
0;005;2;5;85;1572;2.8;6.16;10.64;25.69;51.38
0;005;2;6;19;82;1.75;1.75;3.5;7;10.5
0;005;2;7;102;1142;1.96;5.04;8.36;14.28;26.32
0;005;2;8;93;657;1.26;2.52;4.97;8.47;21
0;005;2;9;73;642;2.8;4.9;7;8.92;21.98
0;005;3;0;3;0;0;0;0;0;0
0;005;3;1;142;15467;10.35;37.54;82.57;151.94;291.01
