vrai_hop;rdrg;SI;mean;p5;p25;p50;p75;p95
0;001;1;13;13;13;13;13;13
0;001;2;26;26;26;26;26;26
0;001;3;19.4;11;13.5;17;20.5;30
0;001;4;38.9;13;17;25;48;113
0;002;2;26;26;26;26;26;26
0;002;3;25.1;1;23;26;31;32
0;002;4;46.8;17;23;32;50;153
0;003;1;9.3;2;2;4;18;26
0;003;2;17.1;2;5;18;23;36
0;003;3;23.2;15;18;22;26;40
0;003;4;35;18;23;29;39;81
0;004;1;16;8;8;20;20;24
0;004;2;20;5;9;16;28;44
0;004;3;44.8;11;19;34;49;131
0;004;4;65.2;17;35;54;82;154
0;005;1;17.5;3;7;13;19;44
0;005;2;18.7;4;11;17;22;54
0;005;3;27.2;7;15;22;30;73
0;005;4;45.4;12;24.5;37;57;116
0;020;1;8.8;2;5;8;11;17
0;020;2;16.6;4;8;12;19;49
0;020;3;16.1;1;3.5;13;21;50
0;020;4;32;3;9;24;43;107
0;021;1;10.2;3;6;8;11.5;23
0;021;2;12.7;3;6;10;15;32
0;021;3;21.4;2;9;15;26;58
0;021;4;36.8;3;14;27;49;107
0;022;1;8.7;2;4;6;9;18
0;022;2;10.7;3;5;8;13;26
0;022;3;24.2;2;9;16;28.5;88
0;022;4;36.3;5;13;29;46;95
0;023;1;5.5;1;3;4;7;14
0;023;2;10.1;2;4;8;12;27
0;023;3;30.4;5;11;17;34;99
0;023;4;52.1;9;19;34;70.5;165
0;024;1;4.1;2;3;4;5;8
0;024;2;6;2;3;5;6;14
0;024;3;19;3;5;10;20;71
0;024;4;38.5;3;12;25;48;130.5
0;025;1;2.5;1;1;2;2;5
0;025;2;4.7;1;2;2;4;15
0;025;3;10.9;1;2;5.5;13;44
0;025;4;16.1;3;4;12;28;46
0;026;1;4.3;1;2;3;4;10
0;026;2;10.2;2;3;6;13;28
0;026;3;30.3;4;12;20;36;103
0;026;4;53.3;6;23;42.5;70;132
0;040;1;4.3;1;2;3;5;11
0;040;2;10;1;3;6;11.5;29
0;040;3;20.5;1;4;10;22;76
0;040;4;28.1;3;6;16;38;104
0;041;1;5;1;2;3;6;15
0;041;2;10.6;2;4;7;13;32
0;041;3;18.5;2;7;14;23;51
0;041;4;26;3;11;19;33;68
0;042;1;9.8;1;2;5;12;30
0;042;2;17.3;2;7;12;21;50
0;042;3;25.9;4;12;19;32;70
0;042;4;37.4;6;17;29;51;99
0;043;1;4.3;1;2;3;5;10
0;043;2;7.9;2;4;5;8;21
0;043;3;16.9;1;5;10;19;47
0;043;4;29;2;10;21;39;91
0;044;1;7.1;1;1;5;9;20
0;044;2;14.1;1;3;9;17;47
0;044;3;15.9;1;2;9;19;58
0;044;4;30.2;1;7;21;41;91
0;045;1;7.4;1;4;6;8.5;18
0;045;2;14.4;3;6;9;15;44
0;045;3;24.8;3;9;15;28;83
0;045;4;35.2;3;13;25;44;108
0;046;1;4.3;1;2;3;6;11
0;046;2;9.7;1;3;7;11;25
0;046;3;17.7;2;7;12;20;49
0;046;4;27.7;2;9;21;35;86
0;047;1;4.7;1;2;4;6;10
0;047;2;7.9;2;4;6;9;19
0;047;3;14.8;3;7;10;17;43
0;047;4;26.1;3;10;21;35.5;71
0;048;1;4.2;1;2;3;5;12
0;048;2;8;2;4;6;10;19
0;048;3;9.2;1;3;5;11;28
0;048;4;24.6;1;9;17;35;72
0;049;1;8.1;1;6;8;10;16
0;049;2;11.7;1;5;8;13;43
0;049;3;20.2;2;10;15;23;48
0;049;4;24;2;9;17;31;70
0;050;1;8.2;1;4;6;9;22
0;050;2;10.7;1;4;7;12;33
0;050;3;16.6;3;9;14;19.5;41
0;050;4;29;5;11;21.5;37;83
0;051;1;3.7;1;2;3;5;7
0;051;2;5.9;1;3;5;8;13
0;051;3;10;2;3;5;17;31
0;051;4;24.1;5;8;18.5;29;86
0;052;1;2.7;1;1;2;3;8
0;052;2;7.1;1;2;5;9;18
0;052;3;13.2;1;5;10;17;34
0;052;4;20.2;1;6;13;27;63
0;053;1;2.7;1;1;2;3;7
0;053;2;5.6;1;2;4;7;16
0;053;3;9.4;1;3;6;11;30
0;053;4;25.4;3;10;19;32;74
0;054;1;2.6;1;1;2;3;7
0;054;2;4.6;1;2;3.5;6;12
0;054;3;7;1;3;6;9;18
0;054;4;13.2;3;5;8;15;47
0;055;1;5.1;1;2;3;6;14
0;055;2;10.4;1;4;8;13;28
0;055;3;16.7;1;3;12;23;51
0;055;4;24.9;1;8;18;33;68
0;056;1;3;1;1;2;4;8
0;056;2;8.5;1;3;6;10;23
0;056;3;16;1;7;12;22;45
0;056;4;29.8;1;9;20;38.5;97
0;057;1;1.5;1;1;1;2;3
0;057;2;3.6;1;1;2;4;13
0;057;3;10.7;1;3;7;13;29
0;057;4;15.4;1;9;12.5;21;49
0;058;1;1.5;1;1;1;1;3
0;058;2;4.1;1;1;1;3;17
0;058;3;16.1;1;3;10;19;50
0;058;4;33.2;2;12;23;42.5;108
0;070;1;3.2;1;2;2;4;8
0;070;2;5;1;2;3;6;16
0;070;3;8.7;1;3;6.5;10;27
0;071;1;2.3;1;2;2;3;4
0;071;2;2.9;1;2;2;3;6
0;071;3;7.3;1;2;3;8;30
0;071;4;26.8;3;17.5;25;38.5;49
0;072;1;2;1;1;2;2;4
0;072;2;3.1;1;2;2;3;9
0;072;3;10;1;2;6;17;32
0;072;4;21.8;4;8;12;22;88
0;073;1;1.7;1;1;2;2;3
0;073;2;2;1;1;2;2;3
0;073;3;4.8;1;2;2;2;20
0;073;4;16.6;2;3;8;24;76
0;080;1;4.7;1;3;4;6;10
0;080;2;6;2;3;5;7;13
0;080;3;8.4;2;3;6;11;22
0;080;4;27;24;24;25;32;32
0;081;1;3.6;1;2;3;5;8
0;081;2;5.3;1;3;4;7;12
0;081;3;8.9;2;4;7;10;22
0;081;4;10.4;4;4;5;11;28
0;082;1;3.2;1;1;2;4;8
0;082;2;6.7;1;3;5;8;17
0;082;3;12.3;3;6;9;15;30
0;082;4;27.2;3;11;22;35;98
0;090;1;2.4;1;2;2;2;7
0;090;2;12.2;1;2;11.5;17;28
0;090;3;28.9;11;16;21;26;130
0;090;4;32.7;9;17;25;39;84
0;091;1;3.9;1;3;3;4;8
0;091;2;7.4;2;4;6;9;16
0;091;3;13.1;5;8;11.5;15;28
0;091;4;23.5;6;12;18;29;56
0;092;1;2.4;1;2;2;3;5
0;092;2;4;1;2;3;5;10
0;092;3;12;2;4;9;12;44
0;092;4;34.1;2;11;31;46;99
0;093;1;2.1;1;1;2;2;4
0;093;2;3.2;1;2;2;3;9
0;093;3;14.4;1;3;5;15;51
0;093;4;31;1;9;24;52;99
0;094;1;2.6;1;1;2;3;7
0;094;2;4.4;1;2;3;4.5;13
0;094;3;13.2;1;3;8;16;42
0;094;4;28.9;1;15;26;41;78
0;095;1;2.7;1;2;3;3;5
0;095;2;3.3;1;2;3;4;7
0;095;3;4.6;2;3;4;5;9
0;096;1;2.8;1;2;3;3;5
0;096;2;3.7;2;2;3;4;8
0;096;3;12;1;2.5;4;9.5;109
0;096;4;3;3;3;3;3;3
0;097;1;1.8;1;1;2;2;3
0;097;2;2.6;1;1;2;3;6
0;097;3;9.2;1;2;3;8;56
0;097;4;27.1;2;7;22;25;93
0;098;1;2.1;1;1;2;2;4
0;098;2;3.3;1;2;2;3;9
0;098;3;8.6;1;2;4.5;9;31
0;098;4;32.2;3;11;19;42;77
0;110;1;3.6;1;2;2;4;8
0;110;2;6.2;1;2;3;6;18
0;110;3;13.6;2;5;8;16;44
0;110;4;31.1;4;13;23;42;89
0;111;1;3.7;1;2;3;5;9
0;111;2;7;1;3;5;8;18
0;111;3;12.1;2;6;9;14;28
0;111;4;24.8;2;10;16;32;94
0;112;1;2.7;1;1;2;4;6
0;112;2;3.7;1;2;3;5;9
0;112;3;7;1;3;5;9;19.5
0;112;4;16.3;4;7;13;21;47
0;113;1;2.9;1;2;3;4;6
0;113;2;3.9;1;2;3;5;8
0;113;3;6.8;2;3;5;8;19
0;113;4;12.5;2;4;8;17;35
0;114;1;2.2;1;1;2;3;5
0;114;2;4.4;1;2;3;5;11
0;114;3;8.3;1;3;6;10;24
0;114;4;19;2;8;14;25;51
0;115;1;2.3;1;1;2;3;6
0;115;2;2.1;1;1;1;1;7
0;115;3;8;1;2;6;11;24
0;115;4;20.5;1;6;17.5;33;46
0;120;1;9.8;2;7;9;12;17
0;120;2;12;6;9;11;13;20
0;120;3;16.3;7;11;14;18;35
0;120;4;26;6;14;20;31;65
0;121;1;5.6;1;2;4;8;15
0;121;2;9.8;2;4;8;12;24
0;121;3;18;3;9;15;22;42
0;121;4;30;7;16;25;39;68.5
0;122;1;4.2;1;2;2;4;14
0;122;2;9.9;2;3;8;13;25
0;122;3;18.8;2;9;15;21;54
0;122;4;35.4;4;16;26;42;95
0;130;1;12.2;6;6;8.5;15;29
0;130;2;13.2;5;10;14;17;20
0;130;3;16.8;3;9;15;21;39
0;130;4;24.6;4;12;20;31;64
0;131;1;5.6;1;2;4;9;14
0;131;2;7.5;1;3;7;13;15
0;131;3;8;2;3;7.5;12;17
0;131;4;13;3;8;13;15;29
0;132;1;5.6;1;1;4;7;19
0;132;2;5;1;1;4;8;11
0;132;3;11.9;1;5;7.5;13;54
0;132;4;19.8;8;9;14;30.5;43
0;133;1;7.1;1;3;6;9;16
