vrai_hop;rdrg;SI;N;total;p5;p25;p50;p75;p95
0;001;1;2;1528;468.78;468.78;763.81;1058.84;1058.84
0;001;2;10;12489;0;671.99;1429.22;1592.11;2637.31
0;001;3;39;44961;0;192.14;769.57;1837.57;4389.95
0;001;4;173;540340;0;750.12;2007.92;3800.02;11175.19
0;002;2;3;753;132.88;132.88;224.72;395.86;395.86
0;002;3;23;8448;0;96.07;228.95;672.49;1141.27
0;002;4;126;342919;265.76;525.12;1547.31;3748.24;9571.97
0;003;1;40;40337;0;0;0;866.94;3166.03
0;003;2;99;83194;0;0;350.08;1277.2;2462.8
0;003;3;176;357819;0;590.06;1213.48;2326.62;7558.74
0;003;4;425;1925246;454.7;1233.44;2512.63;5285.9;15288.09
0;004;1;12;3681;0;0;0;66.44;2551.09
0;004;2;43;2390;0;0;0;0;384.28
0;004;3;168;49505;0;0;0;256.24;824.45
0;004;4;2112;2734121;0;96.07;571.74;1441.05;5085.32
0;005;1;35;3399;0;0;0;173.16;576.42
0;005;2;162;13510;0;0;0;173.16;384.28
0;005;3;128;19411;0;0;0;192.14;672.49
0;005;4;159;97184;0;0;192.14;613.23;2251.86
0;020;1;131;4277;0;0;0;0;192.14
0;020;2;173;9171;0;0;0;0;306.32
0;020;3;177;34555;0;0;0;192.14;978.14
0;020;4;312;92239;0;0;192.14;384.28;974.34
0;021;1;1128;14968;0;0;0;0;36.81
0;021;2;1575;55290;0;0;0;0;192.14
0;021;3;797;39051;0;0;0;0;361.83
0;021;4;802;152236;0;0;0;192.14;864.63
0;022;1;147;0;0;0;0;0;0
0;022;2;350;1007;0;0;0;0;0
0;022;3;124;2679;0;0;0;0;91.84
0;022;4;112;10776;0;0;0;96.07;493.99
0;023;1;656;3416;0;0;0;0;0
0;023;2;386;12968;0;0;0;0;192.14
0;023;3;216;32045;0;0;0;181.09;768.56
0;023;4;79;42375;0;0;96.07;672.49;2515.76
0;024;1;1052;3910;0;0;0;0;0
0;024;2;2302;24039;0;0;0;0;73.62
0;024;3;683;27008;0;0;0;0;192.14
0;024;4;83;20675;0;0;73.62;288.21;1093.58
0;025;1;2124;3013;0;0;0;0;0
0;025;2;266;1045;0;0;0;0;0
0;025;3;41;2419;0;0;0;0;421.42
0;025;4;5;2047;0;0;0;990.08;1056.77
0;026;1;747;21662;0;0;0;0;96.07
0;026;2;482;5808;0;0;0;0;73.62
0;026;3;279;17411;0;0;0;36.81;288.21
0;026;4;102;23693;0;0;0;265.76;1291.33
0;040;1;163;1044;0;0;0;0;36.81
0;040;2;232;3157;0;0;0;0;36.81
0;040;3;168;7037;0;0;0;36.81;192.14
0;040;4;44;11586;0;0;0;132.88;672.49
0;041;1;334;4967;0;0;0;0;96.07
0;041;2;1237;25585;0;0;0;0;173.16
