vrai_hop;rdrg;SI;N;total;p5;p25;p50;p75;p95
0;001;2;13;213940;3284.34;16238.51;16691.69;17116.55;28173.9
0;001;3;34;614170;15781.17;16591.59;17195.02;17897.16;26741.41
0;001;4;153;3617552;16056.85;18110.21;20035.52;25492.77;40801.05
0;002;2;4;59315;14047.76;14478.91;14944.92;15178.5;15377.23
0;002;3;24;386038;10055.69;14567.37;15356.76;17630.83;20786.19
0;002;4;109;2518663;14756.12;16600.69;20027.98;27600.36;38767.03
0;003;1;66;244830;154.26;814.89;1785.43;7901.3;9776.4
0;003;2;82;511007;254.59;1086.11;3678.71;9644.11;19896.03
0;003;3;140;741759;281.32;2922.59;3447.65;8036.48;12894.1
0;003;4;463;3537274;510.09;3184.05;5139.41;9805.45;22325.62
0;004;1;9;19117;323.84;496.78;1430.1;3395.45;5502.98
0;004;2;58;176340;456.63;1040.62;3027.01;4253.5;6235.84
0;004;3;189;1109000;597.96;3012.36;5315.16;7613.59;13091.23
0;004;4;2123;22913061;3682.75;6363.21;9301.57;13252.68;23003.16
0;005;1;39;114221;435.7;1042.43;3119.65;4734.93;5836.55
0;005;2;145;440541;447.16;1206.32;3185.32;4446.47;5855.08
0;005;3;104;446820;561.14;2107.63;4143.75;5295.57;9056.54
0;005;4;154;1006212;1770.92;3532.67;5681.82;7777.42;15725.26
0;020;1;118;259388;506.27;1363.61;2208.76;2610.21;4523.73
0;020;2;188;513501;769.42;1658.88;2613.09;3534.49;5400.39
0;020;3;188;630713;1088.53;2409.49;3184.59;4052.55;6323.4
0;020;4;301;1730773;2378.28;3823.25;5138.72;6831.12;11339.45
0;021;1;1170;3893895;566.29;1856.72;3445.67;4675.76;5967.81
0;021;2;1678;6336381;1105.94;2127.24;3884.85;5058.15;6513.82
0;021;3;716;3464996;1549.74;3347.48;4791.18;5887.39;8867.27
0;021;4;783;5092891;2159.04;4235.87;5901.57;8038.07;12888.32
0;022;1;160;262744;350.03;1423.68;1579.77;1883.88;3525.41
0;022;2;311;601361;532.78;1525.8;1725.2;2174.13;3698
0;022;3;111;333228;728.85;1796.72;2492.96;3685.89;6835.51
0;022;4;76;297612;1371.97;2061.7;3247.69;5234.13;9168.61
0;023;1;734;657968;116.88;256.85;463.49;1463.54;2133.33
0;023;2;401;698665;136.27;417.77;1539.61;2424.35;4474.58
0;023;3;207;649107;782.32;2080.31;2746;3966.54;6500.37
0;023;4;66;309762;1313.2;3317.08;4396.01;5803.48;8263.88
0;024;1;1154;1704566;1042.45;1343.82;1463.82;1576.75;2060.68
0;024;2;2319;3773527;1113.45;1402.16;1527.17;1728.79;2513.25
0;024;3;634;1600776;1340.22;1634.86;2202.26;2931.81;4632.44
0;024;4;112;578552;1461.75;2805.42;4003.46;6577.81;13322.7
0;025;1;2284;1070142;165.68;276.54;397.42;478.17;1052.35
0;025;2;297;253235;165.68;357.53;458.46;804.21;3486.16
0;025;3;43;49574;186.03;440.37;778.13;1695.56;3207.18
0;025;4;5;16314;1428.51;3023.84;3732.32;3881.55;4247.7
0;026;1;730;1820276;336.4;578.09;1385.95;5088.98;5556.4
0;026;2;474;785809;279.82;570.95;1097.33;2004.43;5400.99
0;026;3;269;528680;550.14;1101.26;1650.49;2344.16;4427.27
0;026;4;115;403717;563.71;1729.08;2741.76;4510.58;10262.33
0;040;1;153;51917;42.91;157.15;233.93;405.07;890.69
0;040;2;199;114253;62.2;222.46;393.55;733.63;1729.04
0;040;3;133;119423;97.39;366.46;720.13;1204.25;2257.5
0;040;4;45;78835;315.25;682.21;1359.04;2138.86;4926.92
0;041;1;345;410716;41.75;207.9;569.3;2324.6;3672.48
0;041;2;1297;1193757;69.18;223.16;481.8;1093.92;3390.32
0;041;3;1048;1349026;121.96;382.17;824.06;1859.24;3792.99
0;041;4;242;428611;168.58;556.62;1289.29;2367.79;5512.8
0;042;1;2417;1038988;43.31;183.19;340.33;572.61;1102.49
0;042;2;5988;4214062;138.31;379.04;615.68;911.53;1541.6
0;042;3;3086;3009906;243.6;564.22;856.64;1252.96;2060.49
0;042;4;485;710072;308.21;783.03;1261.75;1819.45;3470.15
0;043;1;1216;371894;33.76;105.02;235.04;423.15;806.84
0;043;2;750;377122;68.3;204.85;384.85;651.05;1426.21
0;043;3;182;147187;67.52;269.9;603.05;1048.21;2762.19
0;043;4;23;30281;130.13;269.29;834.3;1098.74;4141.51
0;044;1;362;196119;38.55;210.8;403.84;711.46;1509.39
0;044;2;987;810155;75.72;325.71;646.67;1045.1;2167.18
0;044;3;1216;1196358;113.78;401.17;752.74;1264.3;2425.56
0;044;4;514;1091155;396.09;951.94;1617.96;2548.37;6134.61
0;045;1;830;569422;188.7;461.57;651.1;857.87;1296.8
0;045;2;7798;7581999;314.05;602.73;820.28;1120.59;2032.64
0;045;3;3976;5113947;289.04;686.23;1025.79;1527.14;3157.13
0;045;4;2142;4079339;468.18;966.93;1499.27;2320.58;4980.68
0;046;1;238;135329;37.06;297.1;510.14;735.88;1306.89
0;046;2;948;687661;145.91;432.21;653.08;911.58;1530.76
0;046;3;358;369346;239.98;572.04;877.87;1268.84;2201.97
0;046;4;87;154146;304.22;795.5;1383.32;2174.13;4070.7
0;047;1;1526;835805;151.47;358.96;523.72;709.82;1030.47
0;047;2;4601;3157428;234.87;463.78;640.03;850.78;1255.5
0;047;3;1187;1127283;314.24;591.72;845.05;1178.21;1914.47
0;047;4;112;171109;491.04;860.74;1310.38;1918.54;3022.12
0;048;1;1463;494668;27.32;113.18;255.92;456.7;907.02
0;048;2;1541;883325;79.54;280.51;474.45;751.88;1302.63
0;048;3;1881;1021849;23.06;80.98;330.79;772.9;1709.03
0;048;4;80;203635;531.02;1026.63;1589.42;2934.77;8039.56
0;049;1;107;68672;180.63;392.11;554.19;844.57;1450.74
0;049;2;357;281358;74.16;324.42;611.6;963.92;2113.38
0;049;3;133;171853;323.8;635.89;958.77;1744.77;2989.89
0;049;4;114;300554;487.02;1203.83;1884.8;3358.88;6668.56
0;050;1;206;82322;59.03;163.38;334.35;539.66;1035.11
0;050;2;330;220861;96.74;271.21;546.89;879.06;1785.27
0;050;3;111;114404;176.49;451.8;854.87;1350.37;2245.54
0;050;4;72;160153;479.53;1000.39;1561.07;2878.63;5604.41
0;051;1;596;193184;95.25;201.42;298.63;413.5;653.11
0;051;2;251;116514;137.94;252.88;378.52;566.25;1007.95
0;051;3;27;21626;177.99;341.94;564.19;842.58;2712.87
0;051;4;6;7658;476.28;955.49;1067.93;1454.26;2636.06
0;052;1;750;277207;56.65;191.35;322.02;516.44;811.96
0;052;2;672;330700;77.94;253.89;446.91;645.5;1105.24
0;052;3;709;540595;133.88;353.06;622.86;1009.03;1891.47
0;052;4;244;498976;269.22;823.17;1595.83;2761.49;5531.03
0;053;1;6631;2026645;66.37;173.13;255.24;375.89;701.15
0;053;2;4738;2225952;90.06;226.8;370.37;600.34;1163.71
0;053;3;2661;1929702;114.81;303.01;536.4;964.33;1842
0;053;4;520;1084158;340.63;839.98;1530.48;2607.18;5824.73
0;054;1;3104;812046;25.05;120.21;222.45;347.36;632.99
0;054;2;1684;632622;54.3;171.02;318.26;516.87;897.85
0;054;3;185;90315;90.5;206.93;365.81;633.55;1084.6
0;054;4;7;9856;45;590.18;1398.58;2286.75;2567.22
0;055;1;707;396230;118.9;300.86;471.25;755.56;1247.46
0;055;2;802;676715;167.64;454.64;702.38;1023.54;1917.33
0;055;3;475;511179;183.17;586.89;976.42;1423.93;2432.23
0;055;4;240;539533;415.59;1116.06;1770.52;2954.83;5181.07
0;056;1;797;333210;64.87;200.1;350.8;556.18;976.26
0;056;2;491;320334;153.82;351.74;564.82;843.69;1482.37
0;056;3;145;173505;248.75;720.32;1029.85;1381.03;2671.13
0;056;4;31;91149;751.99;1308.67;1975.57;3099.43;10263.51
0;057;1;7889;1844812;53.86;114.27;190.01;313.58;554.78
