vrai_hop;rdrg;total;p5;p25;p50;p75;p95
0;001;14416003;26267.12;34061.32;43672.63;71529.87;142916.31
0;002;11702053;35379.35;41664.79;52993.57;73061;184146.06
0;003;32857483;3206.59;17055.11;26654.31;42291.6;96471.64
0;004;106962999;12570.67;27462.15;42180.53;62746.13;117363.02
0;005;10451177;4471.42;11530.42;17983.78;29329.5;55230.1
0;020;13203946;3406.07;6361.48;10635.03;19243.82;41489.99
0;021;73356626;4236.63;8364.94;11495.79;18397.63;41194.37
0;022;7690684;2876.21;5422.65;7077.15;11888.39;30983.55
0;023;11931137;1255.5;2886.99;5322.25;10450.8;30025.4
0;024;23811031;2467.25;3247.22;3888.29;5453;16140.19
0;025;5755253;847.09;1138.91;1432.53;2110.07;10772.88
0;026;14157009;1507.33;4907.67;7420.12;12352.71;34741.52
0;040;4115300;877.47;1769.74;3490.72;8123.46;27057.72
0;041;23185369;1194.66;2906.12;5564.72;10356.96;24074.74
0;042;108028936;1172.34;3542.13;6672.78;11378.01;24733.52
0;043;7263796;839;1609.82;2604.78;3980.21;10657.27
0;044;27350811;768.15;2049.35;4801.44;10506.93;30489.44
0;045;133999299;1589.28;3318.18;5484.51;10304.5;28826.34
0;046;4779278;910.66;2004.63;3433.72;5810.07;13969.99
0;047;29185759;976.97;1991.11;3084.35;4784.87;10295.49
0;048;24607757;842.43;1896.17;3569.43;6472.43;13819.3
0;049;7625813;1223.33;4377.39;7989.2;13720.52;31643.48
0;050;5396388;1056.62;2700.57;4883.31;8930.59;26480.07
0;051;2751732;949.82;1545.71;2230.96;3320.29;7415.68
0;052;11933539;731.69;1246.28;2560.53;5296.97;14609
0;053;45471310;711.8;1056.36;1647.27;3252.46;9712.95
0;054;11001433;658.17;944.47;1481.88;2432.34;4910.81
0;055;17532354;878.19;2091.36;4142.34;7914.74;21092.28
0;056;6890234;702.65;1212.04;2091.15;4352;13553.22
0;057;11021011;611.39;718.78;861.97;1231.82;3150.84
0;058;39640227;613.16;848.26;1096.58;1949.54;9556.69
0;070;2324671;1237.17;1755.57;2494.29;4998.34;9744.9
0;071;17504167;1488.83;2412.84;2880.74;3384.47;4549.98
0;072;4043149;938;1442.25;1883.96;2839.98;4396.05
0;073;9000502;1341.49;1490.92;1730.22;2016.39;3473.98
0;080;1281324;1042.85;1644.94;2517.42;3784.26;7971.42
0;081;2668317;816.26;1536.63;2350.84;3746.71;7867.35
0;082;8211945;673.28;1247.58;2323.83;4149.61;10671.52
0;090;4212687;1211.96;2099.11;10439.88;17692.63;40040.56
0;091;7801640;2420.63;4821.1;10883.32;23235.55;25603.38
0;092;12955014;1350.46;2183.99;2906.72;3992.76;5743.43
0;093;16380471;1459.11;1906.55;2181.04;2605.32;3985.31
0;094;4912238;904.29;1305.68;1788.37;2737.7;8025.85
0;095;1959199;1108.06;1504.84;1998.75;2832.55;5182.44
0;096;3577837;1319.02;2150.96;2812.05;3540.89;5427.08
0;097;11006622;817.66;955.91;1235.16;1491.65;2614.65
0;098;25173464;1001.72;1353.91;1747.03;2386.42;3821.11
0;110;9488478;921.7;1673.85;2746.43;5976.83;19167.78
0;111;14584643;708.34;1326.05;2225.14;3625.43;8058.76
0;112;2691450;618.59;953.09;1570.55;2555.11;6164.12
0;113;27764823;683.39;1149.56;1624.23;2276.93;4233.81
0;114;11341018;695.78;1165.09;1648.48;2567.44;8154.76
0;115;38210643;585.91;790.47;867.11;1052.67;1892.13
0;120;20702633;5505.36;7863.21;9780.83;12767.49;26145.14
0;121;41368676;1497.85;3845.42;6732.7;10811.88;25761.58
0;122;7366131;1326.1;2416.11;5327.38;10767.92;32981.24
0;130;29612551;5298.06;9868.67;15089.44;22414.14;43024.74
0;131;6413075;1362.3;2842.08;6714.43;10983.7;15433.18
0;132;453688;771.37;1519.66;3569.73;7674.26;19514.84
0;133;8731358;683.51;1605.22;3958.89;7391.1;19501.5
0;134;28821122;1479.83;3252.63;4693.2;6988.02;14259.44
0;135;10059955;742.66;1724.36;3646.24;7230.89;16181.95
0;136;50853626;1009.67;2127.58;4117.13;7657.19;18165.1
0;137;54563870;1704.74;4004.13;6489.7;10301.51;21443.77
0;138;1727210;1102.22;1736.02;2351.79;3027.84;5551.92
0;139;178637350;1220.09;2293.23;3597.79;6169.33;14020.12
0;140;148497441;1127.23;3020.32;4670.7;7207;15289.86
0;141;40528418;770.45;1514.77;2221.5;3226.62;6095
0;142;8709267;847.78;2213.43;4078.8;6964.92;14753.2
0;143;18115194;967.19;2037.95;3351.72;5868.57;13845.13
0;144;90169119;731.67;1121.49;2005.05;3905.54;10084.98
0;160;2123818;11994.71;14840.78;17705.79;22695.21;51008.22
0;161;30910135;2289.81;17691.49;20833.83;24640.54;36710.91
0;162;25328589;13382.57;18209.85;23624.34;32219.7;55337.59
0;163;79416596;13329.23;16004.7;18244.18;22698.17;38876.38
0;165;41704983;11708.98;14500.75;17111.11;21287.72;37937.35
0;166;54441668;10478.2;11987;13434.85;15844.82;25706.18
0;167;12496040;3574.98;5939.78;9640.16;14372.28;27447.86
0;168;48194993;2778.37;6060.01;9714.89;14491.53;34541.72
0;169;10536985;4681.35;8055.32;10538.84;15169.65;35189.78
0;170;5941888;5649.39;9060.45;11554.01;16078.58;28936.47
0;171;65104589;2686.68;6810.29;7740.52;9785.33;16839.36
0;172;18178443;4412.77;10139.46;18994.93;33426.16;67934.21
0;173;118411508;2278.5;3337.93;4382.64;6779.11;16994.78
0;174;51153118;3624.48;5199.23;6454.36;8128.58;14590.23
0;175;129040408;2026.14;4114.37;4995.96;6483.47;9899.29
0;176;17450609;1384.11;4801.64;5455.07;6163.69;17687.97
0;177;4113317;1177.01;2200.3;3720.85;5832.22;15501.07
0;178;3021126;1019.4;2014.3;3986.72;8966.62;25731.5
0;179;6771066;903.84;1149.21;1386.58;1702.29;2490.31
0;180;9548874;1351.82;2523.25;6007.52;13618;36942.57
0;190;40790410;782.95;1738.42;3061.63;5628.88;13330.07
0;191;40535861;1435.87;1942.96;2613.02;4478.75;11010.06
0;192;50296120;1317.17;1642.28;2000.53;2435.14;4633.05
0;193;2656665;1356.85;4712.13;11484;20972.98;34787.73
0;194;132693243;1410.07;3209.39;5076.69;8165.62;17459.84
0;195;5179282;994.1;2424.48;3809.5;6205.09;13483.03
0;196;2108929;560.98;712.91;1121.73;3708.07;12134.1
0;197;22092717;758.13;1498.37;2806.66;5473.22;13866.91
0;198;7736129;624.49;1028.21;1914.49;3418.88;8184.28
0;199;8943815;725.99;1470.33;2582.41;4142.43;9138.42
0;200;6102998;731.33;1523.84;2964.14;6041.31;15414.1
0;201;62600994;727.26;1155.08;1966.68;3805.21;9784.28
0;202;5663630;688.8;1010.64;1871.67;3301.43;7527.94
0;203;12917151;678.81;855.59;1295.28;2242.61;5063.44
0;204;28729825;706.53;1105.85;1946.38;3650.14;9491.1
0;205;1597936;757.01;1959.83;3062.44;5319.87;18564.4
0;206;9139125;952.05;1861.32;3787.17;7639.59;19206.15
0;207;22327963;720.19;1335.01;2525.19;4882.06;12430.53
0;220;43233193;2091.59;3005.24;5199.77;12053.6;30875.33
0;221;178575943;4271.27;6440.62;8551.32;13005.84;30070.46
0;222;3075201;1171.4;1699.52;2503.59;4257.1;13822.54
0;223;16253595;2081.56;3379.24;4957.2;7311.34;17417.14
0;224;13628279;1330.59;2220.76;3778.03;6871.37;17684.21
0;225;34364595;1228.06;1687.86;2125.05;2882.07;5466.71
0;226;18200641;802.42;1190.56;1548.61;2087.55;5064.4
0;227;26104677;1073.14;1530.25;2128.44;3112.96;6233.17
0;228;30719652;1067.45;1445.61;1724.89;2147.69;3260.89
0;229;16950739;1213.78;2306.31;4797.86;10018.66;27534.11
0;240;39867649;1094.06;2062.42;3504.91;6711.44;17334.42
0;241;35478120;863.99;1659.41;2810.82;4810.06;11500.31
0;242;3793599;792.19;1537.18;2988.12;5416.16;12987.46
0;243;26239734;730.37;1182.67;1836.55;3291.73;9375.07
0;244;31516133;991.84;1734.18;2589.87;3897.82;8254.27
0;245;12836044;1009.85;1924.47;3134.1;5193.19;11828.84
0;246;8370891;928.45;2231.45;3687.83;6111.61;15585.08
0;247;34438782;749.34;1608.43;2706.4;4815.73;12308.41
0;248;4843489;1190.71;2603.94;4420.35;7315.79;17763.89
0;249;62990670;671.13;1089.5;1606.73;2535.19;6386.53
0;250;100804966;716.79;1250.07;1986.82;3617.1;10078.68
0;260;29894028;3105.87;6339.53;9462.98;15935.23;37966.74
0;261;6108265;2458.95;4930.77;8551.04;13814.69;30821.02
0;262;5836034;2179.17;3524.82;4579.5;7876.09;21611.43
0;263;55996298;1627.96;2029.9;2408.46;3061.8;6390.42
0;264;8128869;1136.8;2370.72;5355.24;10436;30329.62
0;280;29989642;1163.76;2897.83;5314.96;9118.89;22551.72
0;281;29926559;1010.08;2321.64;4293.4;8101.27;18051.58
0;282;29677014;1198.76;2346.03;3576.08;5524.89;13080.34
0;283;21775926;845.37;1691.62;3285.9;6347.05;17122.08
0;284;45559279;938.41;2060.19;3343.13;5468.56;11985.13
0;300;10689658;5563.28;8858.88;12791.97;20906.08;54321.41
0;301;76676782;5446.17;7196.89;9778.41;15640.88;30565.97
0;302;358240411;5210.97;6500.7;7619.27;9306.27;17311.32
0;303;4802913;6647.56;10834.84;14293.47;17990.57;30020.94
0;304;81034782;4427.67;6218.92;7542.37;9456.85;16546.33
0;305;4602938;2259.88;6990.29;14277.19;28370.31;66489.26
0;306;23996449;3742.42;5330.7;6235.68;7835.04;19599.1
0;307;1977502;1363.35;3083.71;4986.67;7449.08;15915.16
0;308;115024000;3529.45;5552.64;7899.57;14241.27;30448.7
0;309;20681493;1375.4;2156.66;4662.95;10004.94;32010.18
0;310;106765701;1807.97;2772.52;3730.23;4891.85;9063.54
0;311;276508;890.24;1388.92;1647.51;3305.83;14560.23
0;312;11702323;1036.73;2688.26;8539.43;21940.53;50066.25
0;313;73087344;1063.51;1565.62;2056.33;3187.16;9330.69
0;314;31121305;1097.96;1571.83;1956.47;2434.22;3724.8
0;315;80134203;1084.42;1434.77;1733.64;2340.8;6101.37
0;316;10451994;870.31;1195.76;1492.55;1872.99;3280.57
0;317;17750456;922.24;1225.49;1515.26;2070.14;6244.13
0;318;10549307;833.5;1128.28;1430;2063.86;8550.01
0;319;8435781;920.61;1259.79;1580.97;2203.21;7628.81
0;320;26661283;1052.41;1583.94;2399.51;6349.8;16505.48
0;340;9498276;738.98;1977.97;4640.56;9480.05;22128.35
