vrai_hop;rdrg;SI;total;p5;p25;p50;p75;p95
0;001;1;16479;7787.76;7787.76;8239.33;8690.91;8690.91
0;001;2;141666;5443.56;6415.53;7258.08;9734.7;13920.06
0;001;3;698993;5276.5;7258.08;9401.6;11673.12;16913.67
0;001;4;3862333;4748.85;10804.34;19362.34;32162.87;67060.98
0;002;1;14243;14243.04;14243.04;14243.04;14243.04;14243.04
0;002;2;119751;10282.28;10887.12;11549.49;13056.12;14926.54
0;002;3;365950;8083.04;10686.06;13056.12;16616.88;20771.1
0;002;4;3930596;10756.41;14886.99;20304.13;35607.6;82742.81
0;003;1;408919;359.86;723.06;1533.69;6155.04;14825.67
0;003;2;1783201;1055.3;6474.88;10769.04;13961.76;19817.26
0;003;3;4756829;5679.7;8660.4;11912.16;15575.52;23738.4
0;003;4;6221856;8327.2;12844.54;17639.03;25556.18;48673.5
0;004;1;94522;1590.22;3256.47;6356.55;6869.07;17714.97
0;004;2;598797;2235.9;4752.52;9173.04;12990.63;36991.86
0;004;3;3443100;3050.8;8025.3;14268.1;20578.35;34157.48
0;004;4;53064386;6712.36;14903.81;23383.05;36680.06;69584.76
0;005;1;202660;719.72;3589.68;4695.99;8909.82;12247.83
0;005;2;1120362;1371.16;4891.92;7423.96;12140.4;19523.05
0;005;3;1571412;2324.56;6528.06;9734.7;17450.4;35218.56
0;005;4;3586287;3175.11;8862.96;16673;27830.88;54739.58
0;020;1;528368;593.46;1716.8;2886.8;4143.36;7429.38
0;020;2;1432021;1250.22;2756.85;4310.8;7078.12;16947.06
0;020;3;1502251;407.66;2656.95;6304.36;11210.99;20428.32
0;020;4;4015207;1264.17;5323.62;10041.62;18730.37;38259.82
0;021;1;4970553;1188.33;2422.84;3360.15;4746.17;9331.68
0;021;2;9339052;1186.92;2118.85;3565.52;5465.66;11911.76
0;021;3;7341029;1035.84;4089.84;7130.69;11578.77;27207.39
0;021;4;12163693;2090.58;6427.3;12619.04;22257.4;48517.26
0;022;1;391448;888.84;1742.95;2215.74;3321.92;5932.78
0;022;2;1497687;1002.3;1979.65;3128.57;5348.41;10690.89
0;022;3;906823;428.94;2189.76;5452.32;10764.12;20843.82
0;022;4;1571568;593.67;3188.26;7976.23;19754.4;42829.18
0;023;1;1291213;388.33;888.84;1395.16;2428.08;5141.84
0;023;2;1666908;671.48;1782.76;3273.37;4991.98;12133.44
0;023;3;2457856;1782.85;4422.73;7947.88;15698.11;45102.96
0;023;4;1298079;1342.96;5111.26;10691.31;22932.48;51510.73
0;024;1;1563373;610.2;1079.58;1293.73;1747.96;2966.39
0;024;2;4924930;738.58;1249.08;1695.83;2419.36;5061.42
0;024;3;4443500;1207.24;2393.12;4318.32;8422.5;26178.3
0;024;4;1777665;2038.3;5812.38;12033.63;21542.64;57693.87
0;025;1;1831952;334.51;414.34;690.6;1022.46;2456.93
0;025;2;502570;342.24;688.32;1163.48;1814.52;5539.35
0;025;3;167025;397.44;706.52;1285.46;3079.7;17822.07
0;025;4;46406;675;1186.92;5737.36;7197.2;25872.04
0;026;1;1248960;426.5;1102.74;1265.46;2309.44;5443.56
0;026;2;1754455;696.86;1186.92;2228.5;4661.28;16801.59
0;026;3;2692859;1654.11;4317.72;7393.74;14836.5;39117.09
0;026;4;1871379;1745.22;6427.3;13802.88;26351.93;52878.18
0;040;1;600088;421.39;581.74;891.38;2184.95;17492.42
0;040;2;801823;399.55;1186.92;2087.4;3996.4;13306.48
0;040;3;1095755;728.9;2306.9;4843.02;9384.26;28486.08
0;040;4;603628;1163.48;4109.4;8443.98;14585.9;30870.84
0;041;1;668127;345.04;833.84;1368.36;2556.27;5960.1
0;041;2;5385280;593.46;1468.9;2741.52;5206.43;14473.35
0;041;3;8665466;928.53;3105.52;5740.09;9646.56;23258.96
0;041;4;2004384;1154.72;3736.26;7677;13649.58;29788.5
0;042;1;8473196;372.65;1078.5;2243.67;4877.18;13905.87
0;042;2;39626160;776.66;2588.11;4805.78;8340.78;18915.51
0;042;3;32759803;1475.52;4239.01;7153.23;11636.98;24122.25
0;042;4;6910130;2280.9;6968.6;11110.5;17840.16;33289.81
0;043;1;1684130;369.29;745.3;1324.77;1946.94;3693.55
0;043;2;2159063;581.74;1264.17;2030.76;3530.52;9690.66
0;043;3;975534;642.73;1974.79;3749.09;7235.03;20062.9
0;043;4;259898;1276.77;4992.46;7458.53;12806.55;26447.85
0;044;1;884289;336.91;527.65;1794.33;3418.95;8621.6
0;044;2;4726552;349.07;1185.54;2991.39;6130.62;14722.95
0;044;3;7867233;350.36;811.57;3005.05;7153.23;22438.7
0;044;4;6422501;445.85;4076.6;9805.18;17140.62;38078.57
0;045;1;1925547;416.74;1157.97;1745.22;2826.08;6646.42
0;045;2;37808156;792.22;1820.9;3080.16;5276.5;14543.5
0;045;3;35881912;830.26;2991.51;5502.42;10170.76;26171.4
0;045;4;25576273;1166.46;5036.1;9424.89;16133.5;37064.54
0;046;1;246996;355.71;671.48;1196.56;1803.6;3966.3
0;046;2;1580336;364.18;1094.34;2027.88;3448.64;6645.44
0;046;3;1149646;861.62;2092.74;4221.2;7260.02;13584.7
0;046;4;402950;675;4385.96;8358.3;12411;22284.5
0;047;1;2224827;352.29;719;1188.33;1936.75;3830.31
0;047;2;11631576;433.53;1211.42;2043.54;3179.34;6495.9
0;047;3;5761471;923.91;2329.98;3912.82;6241.9;12675.52
0;047;4;1061706;1282.02;4698.39;8149.29;14283;27249.41
0;048;1;2071033;350.36;551.37;1067.13;2023.4;5130.77
