vrai_hop;rdrg;SI;cat;N;total;p5;p25;p50;p75;p95
0;001;1;1;2;4271;926.32;926.32;2135.69;3345.06;3345.06
0;001;2;0;12;0;0;0;0;0;0
0;001;2;1;25;17777;174.6;297.5;523.8;998.3;1805.36
0;001;3;0;11;0;0;0;0;0;0
0;001;3;1;86;158527;224.72;628.76;1214.31;2872.96;5046.47
0;001;3;3;2;74;36.81;36.81;36.81;36.81;36.81
0;001;4;0;2;0;0;0;0;0;0
0;001;4;1;105;633401;337.08;1814.6;4432.52;8163.8;17321.52
0;001;4;3;12;644;36.81;36.81;43.01;69.63;106.44
0;002;2;0;2;0;0;0;0;0;0
0;002;2;1;6;8696;368.7;945.82;1633.34;1958.76;2156.24
0;002;2;3;3;202;36.81;36.81;36.81;128.65;128.65
0;002;3;0;3;0;0;0;0;0;0
0;002;3;1;65;130974;245.8;572.34;1056.84;2068.08;6747.12
0;002;3;3;9;761;29.38;36.81;69.63;128.65;165.46
0;002;4;0;4;0;0;0;0;0;0
0;002;4;1;114;550646;245.8;786.52;2233.12;5284.14;19422.8
0;002;4;3;27;2501;36.81;36.81;124.66;128.65;147.24
0;003;1;0;69;0;0;0;0;0;0
0;003;1;1;245;602588;245.8;887.9;1608.06;2985.25;6942.35
0;003;1;3;9;663;24.42;36.81;36.81;55.03;199.63
0;003;1;4;27;71451;327.09;408.86;2992.18;3871.72;6088.02
0;003;2;0;20;0;0;0;0;0;0
0;003;2;1;366;1294468;413.12;1072.04;2056.81;4085.63;12250.98
0;003;2;3;16;1476;18.22;36.81;47.78;199.63;199.63
0;003;2;4;3;7942;476.44;476.44;1908.01;5557.7;5557.7
0;003;3;0;1;0;0;0;0;0;0
0;003;3;1;96;734592;607.28;2022.9;5109.22;10283.06;23555.9
0;003;3;3;7;483;29.38;36.81;36.81;73.62;199.63
0;003;3;4;4;3075;327.09;345.19;606.24;1192.18;1535.19
0;003;4;1;89;1296620;1278.6;5515.12;11842.04;23808.83;36090.54
0;003;4;3;15;1204;36.81;36.81;36.81;103;208.89
0;004;1;0;1;0;0;0;0;0;0
0;004;1;1;1;786;785.7;785.7;785.7;785.7;785.7
0;004;2;0;7;0;0;0;0;0;0
0;004;2;1;15;11943;112.36;224.72;449.44;961.12;2337.65
0;004;2;2;1;107;106.75;106.75;106.75;106.75;106.75
0;004;2;3;1;74;73.62;73.62;73.62;73.62;73.62
0;004;3;0;34;0;0;0;0;0;0
0;004;3;1;105;108398;112.36;224.72;511.68;1138.92;3244.68
0;004;3;3;7;457;36.81;36.81;36.81;73.62;199.63
0;004;3;4;5;5775;135.66;299.84;299.84;790.46;4249.26
0;004;4;0;110;0;0;0;0;0;0
0;004;4;1;867;2176861;224.72;576.19;1348.32;3162.17;8349.97
0;004;4;2;1;213;212.89;212.89;212.89;212.89;212.89
0;004;4;3;84;5480;36.81;36.81;36.81;73.62;179.69
0;004;4;4;23;60296;264.66;299.84;899.52;3738.53;11858
0;005;1;1;1;112;112.36;112.36;112.36;112.36;112.36
0;005;2;0;9;0;0;0;0;0;0
0;005;2;1;10;4608;112.36;261.9;436.64;548.76;1238.41
0;005;3;0;86;0;0;0;0;0;0
0;005;3;1;70;27997;112.36;224.72;224.72;449.44;998.2
0;005;3;3;17;1116;18.22;36.81;55.03;73.62;199.63
0;005;4;0;148;0;0;0;0;0;0
0;005;4;1;431;433258;112.36;286.96;573.92;1135.72;3146.08
0;005;4;3;46;2686;29.38;36.81;36.81;73.62;115.99
0;006;2;0;2;0;0;0;0;0;0
0;006;2;1;1;246;245.8;245.8;245.8;245.8;245.8
0;006;3;0;1;0;0;0;0;0;0
0;006;3;1;2;1531;716.32;716.32;765.58;814.85;814.85
0;006;3;3;1;37;36.81;36.81;36.81;36.81;36.81
0;006;4;0;1;0;0;0;0;0;0
0;006;4;1;3;2833;674.16;674.16;773.58;1385.5;1385.5
0;006;4;3;2;74;36.81;36.81;36.81;36.81;36.81
0;020;1;0;266;0;0;0;0;0;0
0;020;1;1;16;6092;112.36;224.72;224.72;458.32;1436.48
0;020;1;4;1;354;354.35;354.35;354.35;354.35;354.35
0;020;2;0;86;0;0;0;0;0;0
0;020;2;1;19;7667;109.1;112.36;224.72;464.76;2062.2
0;020;2;4;2;981;299.84;299.84;490.64;681.45;681.45
0;020;3;0;145;0;0;0;0;0;0
0;020;3;1;81;40247;112.36;224.72;349.2;576.19;1535.04
0;020;3;3;6;258;36.81;36.81;36.81;36.81;73.62
0;020;4;0;70;0;0;0;0;0;0
0;020;4;1;106;70252;112.36;224.72;399.32;840.98;2209.23
0;020;4;3;6;213;29.38;36.81;36.81;36.81;36.81
0;020;4;4;2;436;136.29;136.29;218.06;299.84;299.84
0;021;1;0;1100;0;0;0;0;0;0
0;021;1;1;49;16653;112.36;112.36;224.72;413.12;929.52
0;021;1;3;21;915;29.38;36.81;36.81;36.81;69.63
0;021;1;4;6;2671;136.29;272.58;395.23;681.43;790.46
0;021;2;0;1111;0;0;0;0;0;0
0;021;2;1;85;31601;112.36;112.36;224.72;511.68;1075.51
0;021;2;3;64;5463;29.38;36.81;36.81;139.26;236.44
0;021;2;4;5;2600;136.29;147.18;681.43;681.43;954.02
0;021;3;0;622;0;0;0;0;0;0
0;021;3;1;165;86097;112.36;112.36;224.72;513.68;1555.1
0;021;3;3;76;5808;29.38;36.81;36.81;69.63;236.44
0;021;3;4;8;3925;136.29;286.2;531.53;681.43;790.46
0;021;4;0;242;0;0;0;0;0;0
0;021;4;1;175;123542;112.36;224.72;337.08;750.2;2138.24
0;021;4;3;36;1949;18.22;36.81;36.81;69.63;106.44
0;021;4;4;6;2831;132.33;136.29;477;790.46;817.74
0;022;1;0;229;0;0;0;0;0;0
0;022;1;1;1;1035;1035.48;1035.48;1035.48;1035.48;1035.48
0;022;1;3;6;268;18.22;18.22;27.51;69.63;106.44
0;022;2;0;347;0;0;0;0;0;0
0;022;2;1;4;2308;112.36;224.72;633.3;929.52;929.52
0;022;2;3;18;2298;29.38;36.81;45.92;69.63;748.74
0;022;3;0;195;0;0;0;0;0;0
0;022;3;1;25;17386;112.36;224.72;451.89;786.55;1765.7
0;022;3;3;17;3320;18.22;36.81;69.63;199.63;818.37
0;022;4;0;71;0;0;0;0;0;0
0;022;4;1;40;21362;112.36;224.72;390.91;626.1;1734.09
0;022;4;3;6;356;36.81;36.81;69.63;69.63;73.62
0;023;1;0;879;0;0;0;0;0;0
0;023;1;1;4;1076;112.36;168.54;280.9;369.38;401.68
0;023;1;3;11;507;36.81;36.81;36.81;69.63;73.62
0;023;1;4;6;1690;163.55;272.58;299.83;327.09;327.09
0;023;2;0;517;0;0;0;0;0;0
0;023;2;1;15;5941;112.36;112.36;224.72;224.72;2961.72
0;023;2;3;16;1088;36.81;36.81;69.63;69.63;199.63
0;023;2;4;8;3380;109.03;218.06;327.09;558.78;1063.06
0;023;3;0;137;0;0;0;0;0;0
0;023;3;1;64;24438;112.36;218.2;224.72;449.44;898.88
0;023;3;3;19;1152;18.22;36.81;36.81;84.41;199.63
0;023;3;4;33;21102;190.81;299.84;354.35;817.72;2098.88
0;023;4;0;14;0;0;0;0;0;0
0;023;4;1;25;24320;112.36;224.72;449.44;776.74;5475.62
0;023;4;3;4;431;18.22;27.51;88.03;187.85;236.44
0;023;4;4;3;2962;317.59;317.59;354.35;2289.66;2289.66
0;024;1;0;1928;0;0;0;0;0;0
0;024;1;1;22;4268;112.36;112.36;199.66;224.72;361.48
0;024;1;3;22;1910;36.81;36.81;73.62;147.24;147.24
0;024;2;0;1743;0;0;0;0;0;0
0;024;2;1;72;23022;112.36;112.36;224.72;224.72;977.21
0;024;2;3;31;2418;36.81;36.81;73.62;73.62;147.24
0;024;3;0;589;0;0;0;0;0;0
0;024;3;1;84;28893;112.36;112.36;224.72;337.08;898.88
0;024;3;3;66;4982;36.81;36.81;73.62;73.62;147.24
0;024;3;4;1;2541;2540.76;2540.76;2540.76;2540.76;2540.76
0;024;4;0;68;0;0;0;0;0;0
0;024;4;1;33;17776;112.36;224.72;337.08;674.16;1123.6
0;024;4;3;13;2009;36.81;36.81;36.81;73.62;748.74
0;026;1;0;2239;0;0;0;0;0;0
0;026;1;1;26;6993;112.36;112.36;224.72;337.08;561.8
0;026;1;3;12;688;29.38;36.81;36.81;53.22;184.05
0;026;1;4;9;4560;163.55;163.55;299.84;661.66;1362.89
0;026;2;0;761;0;0;0;0;0;0
0;026;2;1;13;4483;112.36;112.36;224.72;224.72;2017.96
0;026;2;3;27;2129;24.42;36.81;36.81;103;199.63
0;026;2;4;3;893;272.58;272.58;272.58;347.82;347.82
0;026;3;0;221;0;0;0;0;0;0
0;026;3;1;26;10767;112.36;224.72;280.9;536.74;786.52
0;026;3;3;33;3908;29.38;36.81;49.21;110.43;748.74
0;026;3;4;2;1608;245.31;245.31;804.1;1362.89;1362.89
0;026;4;0;20;0;0;0;0;0;0
0;026;4;1;20;29964;110.73;224.72;480.56;1082.83;8719.36
0;026;4;3;14;1242;36.81;37.18;69.63;110.43;199.63
0;040;1;0;122;0;0;0;0;0;0
0;040;1;3;8;353;29.38;36.81;36.81;53.22;69.63
0;040;2;0;158;0;0;0;0;0;0
0;040;2;1;3;562;112.36;112.36;224.72;224.72;224.72
0;040;2;3;16;622;36.81;36.81;36.81;36.81;69.63
0;040;2;4;1;981;981.27;981.27;981.27;981.27;981.27
0;040;3;0;77;0;0;0;0;0;0
0;040;3;1;6;2048;224.72;224.72;224.72;261.9;886.96
0;040;3;3;17;1023;9.55;36.81;36.81;69.63;199.63
0;040;4;0;15;0;0;0;0;0;0
0;040;4;1;5;8823;218.2;224.72;224.72;698.56;7457.16
0;040;4;3;6;323;36.81;36.81;36.81;36.81;139.26
0;041;1;0;282;0;0;0;0;0;0
0;041;1;1;4;861;112.36;112.36;117.63;318.27;513.65
0;041;1;3;34;2892;29.38;36.81;36.81;69.63;199.63
0;041;2;0;950;0;0;0;0;0;0
0;041;2;1;25;7239;112.36;224.72;224.72;245.8;702.97
0;041;2;3;146;9516;29.38;36.81;36.81;66.19;199.63
0;041;3;0;985;0;0;0;0;0;0
0;041;3;1;91;48198;112.36;221.46;224.72;577.89;2054.72
0;041;3;3;192;14211;36.81;36.81;36.81;69.63;199.63
0;041;4;0;88;0;0;0;0;0;0
0;041;4;1;29;24316;122.9;224.72;449.44;759.48;3883.69
0;041;4;3;13;753;29.38;36.81;36.81;66.19;199.63
0;042;1;0;1665;0;0;0;0;0;0
0;042;1;1;5;1005;112.36;112.36;112.36;218.2;449.44
0;042;1;3;220;54788;29.38;36.81;36.81;748.74;785.55
0;042;2;0;5349;0;0;0;0;0;0
0;042;2;1;49;12150;112.36;112.36;224.72;224.72;674.16
0;042;2;3;844;125074;29.38;36.81;36.81;73.62;748.74
0;042;3;0;2471;0;0;0;0;0;0
0;042;3;1;151;47170;112.36;112.36;224.72;224.72;561.8
0;042;3;3;622;58297;36.81;36.81;36.81;73.62;748.74
0;042;4;0;212;0;0;0;0;0;0
0;042;4;1;39;11226;51.64;112.36;224.72;337.08;872.8
0;042;4;3;61;5152;36.81;36.81;49.21;73.62;161.47
0;043;1;0;1803;0;0;0;0;0;0
0;043;1;3;20;888;36.81;36.81;36.81;36.81;90.03
0;043;2;0;765;0;0;0;0;0;0
0;043;2;1;2;1938;337.08;337.08;968.96;1600.84;1600.84
0;043;2;3;38;2125;18.22;36.81;36.81;69.63;199.63
0;043;3;0;149;0;0;0;0;0;0
0;043;3;1;8;1794;87.3;168.54;224.72;235.26;449.44
0;043;3;3;17;1669;18.22;36.81;36.81;69.63;895.98
0;043;4;0;10;0;0;0;0;0;0
0;043;4;1;3;8981;224.72;224.72;674.16;8081.72;8081.72
0;043;4;3;4;308;58.76;64.19;69.63;89.84;110.06
0;044;1;0;421;0;0;0;0;0;0
0;044;1;1;7;2899;87.3;224.72;449.44;642.1;706.31
0;044;1;3;13;548;36.81;36.81;36.81;36.81;73.62
0;044;2;0;891;0;0;0;0;0;0
0;044;2;1;12;4435;87.3;112.36;224.72;425.57;1476.83
0;044;2;3;17;610;18.22;18.22;36.81;36.81;73.62
0;044;3;0;1346;0;0;0;0;0;0
0;044;3;1;61;29235;112.36;174.6;261.9;561.8;1348.32
0;044;3;3;61;3835;29.38;36.81;36.81;73.62;110.43
0;044;4;0;267;0;0;0;0;0;0
0;044;4;1;40;27852;112.36;224.72;373.37;537.74;3919.29
0;044;4;3;18;1082;18.22;36.81;45.92;73.62;229.01
0;045;1;0;1322;0;0;0;0;0;0
0;045;1;1;3;1111;224.72;224.72;224.72;661.12;661.12
0;045;1;3;43;2818;18.22;36.81;36.81;73.62;110.43
0;045;2;0;7366;0;0;0;0;0;0
0;045;2;1;75;20988;112.36;218.2;224.72;337.08;561.8
0;045;2;3;485;29728;18.22;36.81;36.81;69.63;147.24
0;045;3;0;4250;0;0;0;0;0;0
0;045;3;1;230;76950;112.36;224.72;224.72;337.08;898.88
0;045;3;3;456;27487;18.22;36.81;36.81;73.62;110.43
0;045;4;0;714;0;0;0;0;0;0
0;045;4;1;144;58168;112.36;218.2;224.72;337.08;1123.6
0;045;4;3;98;7855;36.81;36.81;36.81;73.62;199.63
0;046;1;0;180;0;0;0;0;0;0
0;046;1;1;1;225;224.72;224.72;224.72;224.72;224.72
0;046;1;3;8;368;36.81;36.81;36.81;55.21;73.62
0;046;2;0;561;0;0;0;0;0;0
0;046;2;1;6;2159;112.36;224.72;280.9;337.08;923.28
0;046;2;3;28;1724;29.38;36.81;69.63;73.62;110.43
0;046;3;0;240;0;0;0;0;0;0
0;046;3;1;9;2759;174.6;224.72;224.72;337.08;674.16
0;046;3;3;30;1552;18.22;36.81;36.81;55.03;147.24
0;046;4;0;24;0;0;0;0;0;0
0;046;4;1;4;1236;112.36;168.54;337.08;449.44;449.44
0;046;4;3;4;290;36.81;36.81;55.21;108.43;143.25
0;047;1;0;1988;0;0;0;0;0;0
0;047;1;1;1;225;224.72;224.72;224.72;224.72;224.72
0;047;1;3;42;2650;18.22;36.81;36.81;69.63;91.84
0;047;2;0;3624;0;0;0;0;0;0
0;047;2;1;18;3185;109.1;112.36;224.72;224.72;245.8
0;047;2;3;218;16234;18.22;36.81;36.81;73.62;147.24
0;047;3;0;872;0;0;0;0;0;0
0;047;3;1;55;24220;112.36;112.36;224.72;337.08;1123.6
0;047;3;3;108;7081;29.38;36.81;36.81;73.62;147.24
0;047;4;0;44;0;0;0;0;0;0
0;047;4;1;15;6991;112.36;224.72;224.72;807.6;977.96
0;047;4;3;16;1580;29.38;45.92;73.62;91.84;472.88
0;048;1;0;1529;0;0;0;0;0;0
0;048;1;1;1;225;224.72;224.72;224.72;224.72;224.72
0;048;1;3;71;3113;29.38;36.81;36.81;36.81;73.62
0;048;2;0;953;0;0;0;0;0;0
0;048;2;1;10;1840;112.36;112.36;224.72;224.72;245.8
0;048;2;3;149;8143;29.38;36.81;36.81;69.63;73.62
0;048;3;0;942;0;0;0;0;0;0
0;048;3;1;31;9937;112.36;112.36;224.72;245.8;995.24
0;048;3;3;168;11359;29.38;36.81;36.81;69.63;110.43
0;048;4;0;37;0;0;0;0;0;0
0;048;4;1;10;3545;112.36;224.72;280.9;561.8;674.16
0;048;4;3;12;1474;18.22;36.81;73.62;82.73;748.74
0;049;1;0;101;0;0;0;0;0;0
0;049;1;1;1;112;112.36;112.36;112.36;112.36;112.36
0;049;1;3;1;37;36.81;36.81;36.81;36.81;36.81
0;049;2;0;337;0;0;0;0;0;0
0;049;2;1;5;562;112.36;112.36;112.36;112.36;112.36
0;049;2;3;26;1189;29.38;36.81;36.81;36.81;73.62
0;049;3;0;117;0;0;0;0;0;0
0;049;3;1;15;5751;87.3;112.36;224.72;337.08;1626.74
0;049;3;3;13;880;36.81;36.81;36.81;73.62;236.44
0;049;4;0;47;0;0;0;0;0;0
0;049;4;1;29;29922;87.3;112.36;224.72;642.1;3467.76
0;049;4;3;10;542;18.22;36.81;36.81;36.81;199.63
0;050;1;0;188;0;0;0;0;0;0
0;050;1;3;7;1663;18.22;36.81;36.81;748.74;748.74
0;050;2;0;282;0;0;0;0;0;0
0;050;2;1;3;808;224.72;224.72;245.8;337.08;337.08
0;050;2;3;41;2458;29.38;36.81;36.81;69.63;199.63
0;050;3;0;120;0;0;0;0;0;0
0;050;3;1;6;1124;112.36;112.36;224.72;224.72;224.72
0;050;3;3;24;1972;29.38;36.81;69.63;97.14;236.44
0;050;4;0;18;0;0;0;0;0;0
0;050;4;1;17;14876;109.1;224.72;337.08;738.4;4277.49
0;050;4;3;15;932;29.38;36.81;36.81;55.03;310.06
0;051;1;0;881;0;0;0;0;0;0
0;051;1;3;3;273;36.81;36.81;36.81;199.63;199.63
0;051;2;0;374;0;0;0;0;0;0
0;051;2;3;2;139;69.63;69.63;69.63;69.63;69.63
0;051;3;0;29;0;0;0;0;0;0
0;051;3;3;3;143;36.81;36.81;36.81;69.63;69.63
0;051;4;0;2;0;0;0;0;0;0
0;051;4;3;1;37;36.81;36.81;36.81;36.81;36.81
0;052;1;0;920;0;0;0;0;0;0
0;052;1;1;1;225;224.72;224.72;224.72;224.72;224.72
0;052;1;3;19;975;36.81;36.81;36.81;73.62;110.43
0;052;2;0;721;0;0;0;0;0;0
0;052;2;1;9;1729;50.21;112.36;224.72;224.72;337.08
0;052;2;3;46;3286;18.22;36.81;36.81;36.81;73.62
0;052;3;0;689;0;0;0;0;0;0
0;052;3;1;51;20687;112.36;112.36;224.72;449.44;1541.01
0;052;3;3;76;6715;29.38;36.81;36.81;67.91;748.74
0;052;4;0;133;0;0;0;0;0;0
0;052;4;1;35;10700;112.36;112.36;224.72;413.12;853.57
0;052;4;3;12;794;29.38;36.81;71.62;90.03;110.43
0;053;1;0;6747;0;0;0;0;0;0
0;053;1;1;5;787;112.36;112.36;112.36;224.72;224.72
0;053;1;3;61;4002;29.38;36.81;36.81;73.62;199.63
0;053;2;0;4735;0;0;0;0;0;0
0;053;2;1;40;9894;112.36;112.36;224.72;323.46;487.46
0;053;2;3;169;10404;18.22;36.81;36.81;69.63;147.24
0;053;3;0;2304;0;0;0;0;0;0
0;053;3;1;73;18933;109.1;112.36;224.72;286.96;626.04
0;053;3;2;1;38;38.43;38.43;38.43;38.43;38.43
0;053;3;3;226;21257;29.38;36.81;36.81;121.22;199.63
0;053;4;0;253;0;0;0;0;0;0
