vrai_hop;rdrg;SI;cat;N;total;p5;p25;p50;p75;p95
0;001;1;1;2;186;88.87;88.87;92.91;96.96;96.96
0;001;1;2;2;102;50.76;50.76;50.76;50.76;50.76
0;001;1;3;2;781;365.1;365.1;390.54;415.98;415.98
0;001;2;1;34;3131;75.99;83.1;85.58;96.96;113.36
0;001;2;2;34;1772;49.76;50.76;50.76;50.76;50.76
0;001;2;3;34;18838;295.23;410.19;510.82;580.93;907.15
0;001;3;1;91;8651;80.21;85.46;87.7;95.54;109.37
0;001;3;2;91;4812;49.76;50.76;50.76;50.76;50.76
0;001;3;3;91;68741;410.19;505.48;628.22;894.03;1336.74
0;001;4;1;116;10739;75.99;84.21;87.07;95.54;133.85
0;001;4;2;116;6014;49.76;50.76;50.76;50.76;50.76
0;001;4;3;116;220460;448.91;1018.81;1487.9;2444.23;4549.17
0;002;2;1;8;746;80.03;84.28;89.8;101.23;115.39
0;002;2;2;8;404;49.76;50.26;50.76;50.76;50.76
0;002;2;3;8;6652;613.12;731.51;821.18;918.19;1097.33
0;002;3;1;66;6247;80.46;85.71;89.93;107.73;113.36
0;002;3;2;66;3342;49.76;50.76;50.76;50.76;50.76
0;002;3;3;66;60295;620.19;728.94;828.15;993.01;1480.35
0;002;4;1;91;8399;76.24;85.67;88.56;100.1;111.72
0;002;4;2;91;4595;49.76;49.76;50.76;50.76;50.76
0;002;4;3;91;177402;615.82;931.35;1418.17;2336.73;5338.35
0;003;1;0;1;0;0;0;0;0;0
0;003;1;1;322;26878;55.08;76.7;84.77;89.68;107.5
0;003;1;2;322;15864;25.38;50.76;50.76;50.76;50.76
0;003;1;3;322;210439;127.05;443.93;613.57;828.3;1159.2
0;003;2;0;1;0;0;0;0;0;0
0;003;2;1;387;33580;56.74;76.24;85.71;95.75;111.72
0;003;2;2;387;19345;49.76;50.76;50.76;50.76;50.76
0;003;2;3;388;336201;404.83;616.25;781.73;998.98;1501.73
0;003;3;1;82;7267;58.93;76.7;88.09;99.85;111.72
0;003;3;2;82;4068;49.76;49.76;50.76;50.76;50.76
0;003;3;3;82;91166;438.03;783.37;1035.87;1265.91;2089.23
0;003;4;1;71;6259;52.49;76.7;87.37;99.76;138.07
0;003;4;2;71;3510;25.38;49.76;50.76;50.76;50.76
0;003;4;3;72;117777;650.17;953.02;1468.71;1935.57;3176.95
0;004;1;1;1;77;76.87;76.87;76.87;76.87;76.87
0;004;1;2;1;51;50.76;50.76;50.76;50.76;50.76
0;004;1;3;1;982;981.83;981.83;981.83;981.83;981.83
0;004;2;1;19;1422;50.19;59.21;69.61;83.1;111.7
0;004;2;2;19;959;49.76;49.76;50.76;50.76;50.76
0;004;2;3;19;11164;96;111.94;496.19;870.04;1959.6
0;004;3;1;118;8800;50.8;62.3;74.38;85.46;102.32
0;004;3;2;118;5934;49.76;49.76;50.76;50.76;50.76
0;004;3;3;118;113990;113.33;527.73;833.04;1293.49;2206.91
0;004;4;0;3;0;0;0;0;0;0
0;004;4;1;942;72248;52.2;65.42;76.7;86.05;104.32
0;004;4;2;940;47357;49.76;49.76;50.76;50.76;50.76
0;004;4;3;947;1525490;222.23;766.97;1334.94;2079.81;3980.71
0;005;1;1;2;137;57.04;57.04;68.43;79.82;79.82
0;005;1;2;2;101;49.76;49.76;50.26;50.76;50.76
0;005;1;3;2;799;247.52;247.52;399.38;551.24;551.24
0;005;2;1;19;1244;51.41;54.06;62.05;70.07;109.14
0;005;2;2;19;963;49.76;50.76;50.76;50.76;50.76
0;005;2;3;19;13901;272.07;389.9;556.06;932.07;2497.75
0;005;3;1;154;10889;52.2;60.03;69.18;80.21;95.54
0;005;3;2;154;7731;49.76;50.76;50.76;50.76;50.76
0;005;3;3;154;162823;265.99;557.95;909.3;1378.89;2956.05
0;005;4;1;499;35763;52.63;61.08;69.82;81.19;99.72
0;005;4;2;499;25088;49.76;49.76;50.76;50.76;50.76
0;005;4;3;503;743009;407.14;780.25;1251.53;1867.67;3245.19
0;006;3;1;4;372;76.24;79.67;93.06;106.08;109.14
0;006;3;2;4;203;50.76;50.76;50.76;50.76;50.76
0;006;3;3;4;2723;527.55;539.22;679.56;822.15;836.07
0;006;4;1;5;520;76.24;87.37;107.23;111.45;138.07
0;006;4;2;5;251;49.76;49.76;49.76;50.76;50.76
0;006;4;3;5;7843;993.01;1005.68;1292.73;1594.56;2957.45
0;020;1;1;281;20820;52.49;63.4;74.56;83.1;100.1
0;020;1;2;281;14232;49.76;50.76;50.76;50.76;50.76
0;020;1;3;281;96685;132.33;204.09;257.04;416.03;861.39
0;020;2;1;105;7963;53.9;66.52;76.87;84.34;101.37
0;020;2;2;104;5272;49.76;50.76;50.76;50.76;50.76
0;020;2;3;107;43317;97.03;216.59;331.13;534.78;987.31
0;020;3;1;287;21514;52.85;64.91;75.27;84.84;98.44
0;020;3;2;287;14526;49.76;50.76;50.76;50.76;50.76
0;020;3;3;288;177140;88.33;214.71;438.86;799.6;1953.36
0;020;4;1;166;12467;52.63;63.4;74.59;84.34;105.74
0;020;4;2;165;8395;49.76;50.76;50.76;50.76;50.76
0;020;4;3;167;159531;153.28;312.99;659.43;1297.59;2826.67
0;021;1;1;1228;93455;52.5;65.27;76.9;85.72;105.74
0;021;1;2;1228;62255;49.76;50.76;50.76;50.76;50.76
0;021;1;3;1228;355187;135.77;197.24;243.39;324.6;573.23
0;021;2;1;1418;112938;53.06;68.86;81.01;88.58;107.48
0;021;2;2;1416;71697;49.76;50.76;50.76;50.76;50.76
0;021;2;3;1418;539657;156.87;234.27;300.2;427.29;850.91
0;021;3;0;1;0;0;0;0;0;0
0;021;3;1;848;67091;53.1;67.44;80.24;88.87;107.48
0;021;3;2;848;42894;49.76;50.76;50.76;50.76;50.76
0;021;3;3;848;567544;160.36;288.08;462.76;746.48;1916.42
0;021;4;1;449;35073;52.85;65.91;76.97;87.62;109.14
0;021;4;2;449;22703;49.76;50.76;50.76;50.76;50.76
0;021;4;3;451;488428;189.31;435.26;769.69;1441.97;2912.23
0;022;1;1;261;19550;51.41;62.63;76.94;85.46;105.59
0;022;1;2;261;13215;49.76;50.76;50.76;50.76;50.76
0;022;1;3;261;55021;108.87;145.41;180.95;234.23;348.97
0;022;2;1;320;24132;52.03;63.16;76.8;86.05;105.59
0;022;2;2;319;16157;49.76;50.76;50.76;50.76;50.76
0;022;2;3;320;106771;120.33;166.68;216.58;369.09;934.46
0;022;3;0;1;0;0;0;0;0;0
0;022;3;1;210;16708;54.89;70.07;80.33;88.97;105.59
0;022;3;2;210;10622;49.76;50.76;50.76;50.76;50.76
0;022;3;3;210;141931;129.75;247.29;512.45;860.65;1666.25
0;022;4;0;1;0;0;0;0;0;0
0;022;4;1;136;11261;54.74;70.21;80.91;92.89;109.14
0;022;4;2;136;6879;49.76;50.76;50.76;50.76;50.76
0;022;4;3;136;155292;118.17;474.96;852.23;1572.72;3069.33
0;023;1;1;923;67418;53;62.3;72.6;81.19;96.46
0;023;1;2;924;46462;49.76;50.76;50.76;50.76;50.76
0;023;1;3;925;150035;89.97;111.52;135.49;180.53;294.12
0;023;2;1;520;38771;52.88;62.61;75.27;85.42;101.2
0;023;2;2;518;25954;49.76;50.76;50.76;50.76;50.76
0;023;2;3;520;151566;94.84;130.53;192.74;306.6;725.03
0;023;3;1;217;16695;52.49;63.68;76.94;87.62;107.5
0;023;3;2;216;10805;49.76;50.76;50.76;50.76;50.76
0;023;3;3;218;189382;160.65;325.39;490;859.58;3386.3
0;023;4;1;45;3529;52.75;65.39;76.8;88.58;107.48
0;023;4;2;45;2247;49.76;49.76;50.76;50.76;50.76
0;023;4;3;47;77325;236.02;563.26;1355.77;2151.15;4932.47
0;024;1;1;1759;129621;52.95;62.3;71.04;84.59;102.85
0;024;1;2;1759;88842;49.76;50.76;50.76;50.76;50.76
0;024;1;3;1759;278916;103.09;128.2;146.39;171.14;238.23
0;024;2;1;1770;131666;52.88;62.3;72.56;85.67;104.32
0;024;2;2;1770;89196;49.76;50.76;50.76;50.76;50.76
0;024;2;3;1771;366132;109.19;136.99;164.03;211.08;434.17
0;024;3;0;2;0;0;0;0;0;0
0;024;3;1;778;57589;53.32;62.3;70.68;83.85;105.74
0;024;3;2;777;39125;49.76;50.76;50.76;50.76;50.76
0;024;3;3;778;403287;129.75;192.39;325;546.83;1719.15
0;024;4;0;1;0;0;0;0;0;0
0;024;4;1;127;9870;51.95;63;76.69;87.37;107.5
0;024;4;2;127;6395;49.76;50.76;50.76;50.76;50.76
0;024;4;3;127;124671;130.86;349.07;807.49;1155.45;2921.57
0;026;1;1;2163;157710;50.67;60.7;72.55;84.09;101.37
0;026;1;2;2165;109337;49.76;50.76;50.76;50.76;50.76
0;026;1;3;2168;293699;84.49;95.73;111.3;136.23;246.45
0;026;2;1;798;61356;54.38;63.15;76.84;88.31;107.48
0;026;2;2;798;40272;49.76;50.76;50.76;50.76;50.76
0;026;2;3;800;162984;86.35;109.04;136.11;197.39;505.77
0;026;3;1;293;22307;53.13;60.97;75.15;89.68;107.48
0;026;3;2;292;14779;49.76;50.76;50.76;50.76;50.76
0;026;3;3;294;159500;105.98;216.87;368.15;702.64;1477.11
0;026;4;1;42;2990;51.81;59.75;72.8;79.1;90.95
0;026;4;2;42;2123;49.76;50.76;50.76;50.76;50.76
0;026;4;3;43;54654;212.91;596.23;904.43;1677.61;3295.23
0;040;1;1;113;8316;52.95;60.04;71.01;83.31;105.59
0;040;1;2;112;5626;49.76;50.76;50.76;50.76;50.76
0;040;1;3;113;20641;86.29;109.35;158.84;220.44;401.92
0;040;2;0;1;0;0;0;0;0;0
0;040;2;1;188;13808;52.73;61.66;70.43;85;105.74
0;040;2;2;188;9517;49.76;50.76;50.76;50.76;50.76
0;040;2;3;188;56983;95.6;138.45;199.65;327.1;894.48
0;040;3;1;106;8360;58.48;69.13;73.94;85.46;107.48
0;040;3;2;106;5396;49.76;50.76;50.76;50.76;50.76
0;040;3;3;106;59961;123.75;229.79;381.09;658.71;1452.29
0;040;4;1;22;1726;53.32;62.59;73.05;93.33;107.5
0;040;4;2;22;1113;49.76;50.76;50.76;50.76;50.76
0;040;4;3;23;20329;129.33;237.84;713.11;1253.72;2075.31
0;041;1;1;322;23787;53.06;62.7;74.22;83.85;103.02
0;041;1;2;322;16182;49.76;50.76;50.76;50.76;50.76
0;041;1;3;322;70106;92.59;124.23;159.33;230.19;502.19
0;041;2;1;1031;74903;52.6;60.53;70.76;82.09;102.85
0;041;2;2;1031;51549;49.76;50.76;50.76;50.76;50.76
0;041;2;3;1031;283815;94.2;141.96;203.91;314.67;721.76
0;041;3;0;1;0;0;0;0;0;0
0;041;3;1;1244;92788;53.32;61.26;72.56;85.71;105.74
0;041;3;2;1244;61886;49.76;50.76;50.76;50.76;50.76
0;041;3;3;1247;552667;116.75;210.13;332.55;528.57;1152.53
0;041;4;1;136;10580;52.49;62.04;76.99;89.93;109.14
0;041;4;2;135;6807;49.76;50.76;50.76;50.76;50.76
0;041;4;3;136;83874;131.1;250.41;441.87;864.61;1720.99
0;042;1;0;1;0;0;0;0;0;0
0;042;1;1;1840;131340;52.73;59.6;69.85;80.46;99.78
0;042;1;2;1839;92872;49.76;50.76;50.76;50.76;50.76
0;042;1;3;1841;459879;88.67;118.45;175.63;283.23;622.09
0;042;2;1;6195;436688;52.73;59.6;68.59;78.75;95.54
0;042;2;2;6192;311857;49.76;50.76;50.76;50.76;50.76
0;042;2;3;6202;2479116;107.76;199.59;304.1;480.98;968.41
0;042;3;0;1;0;0;0;0;0;0
0;042;3;1;3283;233448;53.32;59.79;69.11;79.71;95.75
0;042;3;2;3280;165239;49.76;50.76;50.76;50.76;50.76
0;042;3;3;3287;1783856;152.23;295.68;444.39;658.75;1282.39
0;042;4;1;321;22332;52.61;59.3;68.09;79.1;91.84
0;042;4;2;320;16096;49.76;50.76;50.76;50.76;50.76
0;042;4;3;322;243968;151.61;357.75;580.01;938.11;1989.37
0;043;1;1;1876;138457;52.6;61.33;72.6;84.46;100.1
0;043;1;2;1876;94850;49.76;50.76;50.76;50.76;50.76
0;043;1;3;1876;283103;85.34;103.29;128.67;166.02;281.19
0;043;2;0;1;0;0;0;0;0;0
0;043;2;1;887;67483;53.34;63.35;75.47;85.71;107.07
0;043;2;2;887;44860;49.76;50.76;50.76;50.76;50.76
0;043;2;3;887;191612;94.59;121.17;158.19;228.23;473.57
0;043;3;1;148;11098;54.38;63.14;72.43;86.08;107.48
0;043;3;2;148;7493;49.76;50.76;50.76;50.76;50.76
0;043;3;3;148;70291;112.47;185.23;279.14;492.85;1492.07
0;043;4;1;13;1022;59.59;64.53;83.32;85.71;105.59
0;043;4;2;13;657;49.76;50.76;50.76;50.76;50.76
0;043;4;3;13;9598;140.11;312.99;482.89;740.79;3753.63
0;044;1;1;477;34032;52.73;61.63;69.82;80.55;95.75
0;044;1;2;477;24132;49.76;50.76;50.76;50.76;50.76
0;044;1;3;477;115096;86.31;101.83;170.01;268.11;609.49
