vrai_hop;rdrg;SI;total;p5;p25;p50;p75;p95
0;001;1;55227.91;27528.97;27528.97;27613.95;27698.94;27698.94
0;001;2;1116417.88;25087.9;28195.69;31857.28;36996.71;44238.9
0;001;3;3997915.98;29319.22;33253.19;40778.31;49761.48;70363.63
0;001;4;10731280.13;36167.11;53624.9;78047.67;117288.42;195413.66
0;002;2;358050.58;38084.03;38372.26;44182.15;50310.48;54236.76
0;002;3;3094047.77;35831.76;39384.78;44819.35;52459.56;62397.96
0;002;4;8281908.35;39460.98;54607.06;71200.36;110683.21;209046.66
0;003;1;8971672.4;4088.67;15554.64;21629.76;35239.15;62978.47
0;003;2;15070296.31;13411.72;20982.89;29472.47;50926.58;92322.04
0;003;3;4301450;17728.62;29672.55;40919.76;65841.08;123758.53
0;003;4;7407789.63;43005.28;59386.36;83799.06;122406.72;252205.92
0;004;1;35558.55;35558.55;35558.55;35558.55;35558.55;35558.55
0;004;2;456512.13;4884.51;11309.46;21283.87;33709.67;54658.68
0;004;3;4448866.02;6258.13;23487.73;33761.61;46299.53;85588.33
0;004;4;64110789.51;17317.52;39955.05;60117.23;86475.6;144204.46
0;005;1;30794.57;10927.42;10927.42;15397.28;19867.15;19867.15
0;005;2;470589.1;11176.61;13754.75;20076.91;31211.9;60986.63
0;005;3;5529041.83;10038.23;21843.65;33529.47;45894.57;78164.1
0;005;4;26449280.27;17705.19;30872.19;47605.16;66528.96;104804.59
0;006;3;193839.94;38714.08;40744.53;45949.62;56175.44;63226.62
0;006;4;382601.55;54621.5;56296.05;77795.4;78188.93;115699.67
0;020;1;2503549.07;3116.5;5451.3;7226.49;10943.24;20393.01
0;020;2;1235944.19;3466.02;6998.74;10047.34;14692.27;23993.95
0;020;3;5095330.9;3976.81;7646.83;13885.34;23600.5;46365.4
0;020;4;5008841.88;7453.73;14367.27;24396.66;39941.63;68046.1
0;021;1;12274625.29;3609.02;7135.71;8977.18;11211.52;20742.13
0;021;2;18407818.44;5845.83;8963.22;11090.11;14428.19;27073.41
0;021;3;17340721.75;7337.76;11083.47;16061.22;24165.7;48545.7
0;021;4;15882387.3;8556.23;17521.87;27925.72;46350.98;82296.31
0;022;1;1599550.28;2039.46;4425.78;5790.18;6969.5;10686.34
0;022;2;2949354.99;2966.71;5323.78;6589.96;10699.56;23991.78
0;022;3;4098222.03;4223.08;7784.36;15804.21;25056.7;49507.3
0;022;4;5109410.15;4074.24;18949.63;29828.05;50681.03;93641.68
0;023;1;5054744.62;1100.78;2330.95;3894.68;7036.38;13199.34
0;023;2;4335277.77;1264.94;3453.61;6681.63;10773.65;20987.44
0;023;3;4764946.08;4816.34;9380.2;16256.78;25269.78;67277.46
0;023;4;2155314.08;11115.65;21130.17;38402.44;59925.91;114151.55
0;024;1;10035994.19;2469.06;3287.95;3831.21;5054.87;18347.26
0;024;2;11331632.75;2921.97;3588.33;4358.39;5974.14;19328.03
0;024;3;10650037.16;3369.33;5359.4;9168.17;16343.87;38864.52
0;024;4;3696880.95;4401.58;12406.03;23919.27;38186.73;63830.28
0;026;1;7981708.07;886.01;1265.57;1774.2;3377.17;12630.88
0;026;2;5976758.07;1005.69;1795.21;4640.82;11830.11;18966.61
0;026;3;4524248.59;1521.81;8528.75;12707.5;19801.25;37775.05
0;026;4;1547176.75;6091.57;17345.47;27664.33;49750.01;94371.34
0;040;1;354362.54;742.36;1429.46;2484.78;4154.77;8185.71
0;040;2;1133844;872.37;2177.34;3644.31;6993.76;18436.36
0;040;3;1243902.83;1631.61;4811.87;8346.34;14176.17;32398.11
0;040;4;546369.76;4361.59;8080.92;19207.03;28850.56;71029.94
0;041;1;1588974.54;911.48;2066.53;3935.05;5924.43;13419.27
0;041;2;6189030.82;1032.24;2558.27;4312.69;7173.23;16784.83
0;041;3;12770947.87;1649.18;4310.42;7607.86;12977.16;27638.72
0;041;4;2127940.79;2590.71;5669.7;12482.69;21745.74;41097.34
0;042;1;8427377.03;731.43;1638.84;3081.6;5554.13;12813.23
0;042;2;49039892.53;1280.83;3519.14;5953.84;10083.2;19979.97
0;042;3;38219329.51;2489.57;6024.6;9660.51;14560.37;27477.13
0;042;4;5828172;2492.73;7905.67;13586.16;21521.4;51508.9
0;043;1;7266389.73;868.08;1936.55;2981.76;4748.91;9864.23
0;043;2;4968620.53;1075.12;2510.83;4183.78;7125.15;12898.78
0;043;3;1581745.45;1717.27;3546.83;6884.88;13307.88;31047
0;043;4;238121.12;2341.04;7107.72;16236.21;18592.82;87176.42
0;044;1;2185157.9;691.93;1287.7;3118.08;5599.74;11418.89
0;044;2;7318022.33;721.11;2406.74;5095.22;9137.73;22654.23
0;044;3;13194268;769.06;1846.03;5101.52;11556.87;31025.94
0;044;4;4830327.91;1058.65;4132.47;11149.8;24087.69;51683.53
0;045;1;5092511.77;1119.98;2284.49;3227.71;4498.16;8336.47
0;045;2;54566862.9;1556.99;3126.69;4662.81;7476.46;20095.02
0;045;3;59185880.91;1883.22;4668.59;8011.26;14279.49;36567.23
0;045;4;17755690;1809.66;6933.42;12980.17;24184.72;48312.83
0;046;1;507660.71;699.96;1587.06;2302.36;3368.67;5831.1
0;046;2;2575568.16;1088.66;2137.26;3606.36;5780.18;12666.04
0;046;3;2436567.91;1282.1;3403.12;5850.52;9415.72;18003.9
0;046;4;271493.33;2152.26;4519.7;8048.05;13266.11;29189.79
0;047;1;5092361.57;852.41;1520.28;2240.34;3140.38;5259.79
0;047;2;15746780.74;1050.63;2076.17;3111.55;4542.81;8855.14
0;047;3;7630008.89;1532.02;3470.55;5515.78;8846.11;17401.62
0;047;4;1200358.61;3936.2;7637.14;11155.42;17217.56;41049.26
0;048;1;4710093.22;724.57;1262.63;2083.8;3563.57;7461.45
0;048;2;5534089.97;1007.25;2231.28;3729.44;6006.56;11701.35
0;048;3;7506354.09;945.84;2673.71;4880.98;8517.38;18010.11
0;048;4;1058024.84;2341.18;7522.37;12772.08;30751.99;43388.16
