vrai_hop;rdrg;mean;p5;p25;p50;p75;p95
0;001;52;4;48;57;63;69
0;002;53;23;47;57;62;66
0;003;51;12;43;56;63;69
0;004;58;17;49;62;71;81
0;005;65;34;58;67;77;84
0;006;40;22;34;40;46;53
0;020;63;16;51;68;81;89
0;021;56;16;46;59;70;83
0;022;53;1;35;61;74;83
0;023;53;21;45;54;64;80
0;024;68;43;61;70;77;85
0;026;54;17;43;55;69;85
0;040;58;20;40;60;76;88
0;041;62;31;54;64;73;84
0;042;77;50;73;80;85;91
0;043;52;23;39;52;65;80
0;044;73;44;65;78;85;92
0;045;75;49;67;78;85;92
0;046;72;42;63;76;83;90
0;047;74;47;66;77;84;91
0;048;61;23;49;63;76;87
0;049;45;0;22;51;68;83
0;050;53;3;32;59;77;88
0;051;17;0;3;9;30;55
0;052;62;5;51;68;81;90
0;053;38;1;11;39;61;84
0;054;39;9;23;38;52;77
0;055;65;11;52;73;84;92
0;056;54;4;33;58;77;88
0;057;26;0;4;14;45;82
0;058;52;14;39;53;67;85
0;070;54;18;40;57;71;85
0;073;67;32;59;70;79;88
0;080;45;0;6;54;76;90
0;082;54;2;34;60;77;89
0;089;31;7;17;24;43;68
0;090;62;43;56;62;69;77
0;091;49;2;39;57;66;79
0;092;33;14;17;27;45;69
0;093;44;16;31;44;57;73
0;095;28;0;1;34;46;59
0;097;25;3;15;24;33;51
0;098;41;9;25;41;56;74
0;110;63;45;56;63;70;85
0;111;64;31;53;67;79;88
0;113;16;0;0;3;27;69
0;114;34;1;5;28;58;82
0;115;51;4;43;53;63;77
0;120;59;17;54;63;71;80
0;121;60;24;52;64;73;83
0;130;65;1;59;69;79;88
0;131;24;3;15;23;32;48
0;132;2;0;0;0;2;6
0;133;67;1;61;75;84;92
0;134;68;34;57;71;81;90
0;135;65;26;52;68;82;91
0;136;69;50;62;69;78;86
0;137;67;4;58;75;85;92
0;138;2;0;0;0;0;3
0;139;56;1;27;68;83;92
0;140;71;50;63;72;80;88
