vrai_hop;rdrg;N;moy_gemid
0;001;257;825.64
0;002;199;2273.75
0;003;905;43.09
0;004;1415;2419.22
0;005;346;248.4
0;006;11;221.3
0;020;763;455.52
0;021;4674;979.2
0;022;530;1271.18
0;023;1456;1376.29
0;024;4991;1253.4
0;026;3284;2104.78
0;040;491;27.72
0;041;2835;9.65
0;042;11918;7.03
0;043;3205;1.82
0;044;3392;12.84
0;045;15025;9.85
0;046;723;7.59
0;047;7880;2.77
0;048;3934;5.34
0;049;648;10.11
0;050;922;4.61
0;051;1596;0.16
0;052;2490;9.98
0;053;16206;2.95
0;054;6737;0.3
0;055;3125;16.72
0;056;319;2.26
0;057;8682;0.43
0;058;18605;8.39
0;070;536;208.48
0;073;10745;256.97
0;080;662;3.55
0;082;2883;5.35
0;089;1905;469.34
0;090;300;550.55
0;091;666;7644.1
0;092;4643;405.25
0;093;5311;84.79
0;095;178;0.91
0;097;7779;5.03
0;098;13706;70.28
0;110;1580;48.87
0;111;5805;2.33
0;113;19409;1.19
0;114;4362;7.99
0;115;56461;1.29
0;120;3083;926.59
0;121;3792;502.23
0;130;935;57.8
0;131;771;28.78
0;132;104;2.93
0;133;1345;8.89
0;134;5391;6.3
0;135;3502;14.3
0;136;7576;42.34
0;137;8126;15.63
0;138;10952;0.15
0;139;31497;4.78
0;140;28113;5.26
0;141;5932;1.13
0;142;1970;18.46
0;143;6002;30.35
0;144;23444;3.82
0;160;87;3266.12
0;161;1659;14467.72
0;162;488;5059.06
0;163;3447;4833.79
0;165;1009;1752.91
0;166;4445;1605.63
0;167;3684;3091.84
0;169;2330;1290.94
0;170;296;5084.86
0;171;6108;4596.63
0;174;8503;1818.75
0;175;24674;2148.18
0;176;2768;5678.19
0;177;791;2006.64
0;180;3079;82.82
0;181;19190;1312.17
0;182;4565;1634.19
0;190;6997;81.31
0;191;14876;92.13
0;192;14352;143.4
0;193;195;38.89
0;194;21929;20.5
0;196;1008;34.53
0;197;5422;59.04
0;198;4809;24.1
0;199;2622;10.17
0;200;1260;14.86
0;201;20345;213.07
0;203;5103;3.76
0;204;10652;10.04
0;205;398;63.05
0;206;1251;138.33
0;207;5584;59.54
0;220;3645;577.3
0;221;15671;972.3
0;222;4817;229.1
0;223;4288;254.98
0;224;1612;137.69
0;225;12833;188.29
0;226;6788;117.62
0;227;8133;611.4
0;228;15038;479.7
0;229;2946;329.49
0;240;6612;138.84
0;241;7755;13.74
0;242;674;29.69
0;243;6902;62.46
0;244;9655;8.3
0;245;3227;11.02
0;246;1539;10.69
0;247;7932;9.15
0;248;5131;8.41
0;249;30148;2.52
0;251;6484;4.92
0;252;2432;84.48
0;253;2600;28.78
0;254;20745;24
0;260;2503;735.62
0;261;1249;590
0;262;678;173.13
0;263;19892;239.6
0;264;2745;262.17
0;279;1305;55.08
0;280;3579;29.81
0;281;4359;247.48
0;282;6538;55.2
0;283;2423;47.94
0;284;10204;177.8
0;301;28810;1911.95
0;302;24796;2698.81
0;303;360;5666.8
0;304;8609;2450.05
0;305;1120;220.75
0;308;10530;773.5
0;309;3852;389.23
0;310;17761;94.66
0;312;657;115.1
0;313;17593;449.98
0;314;16454;284.89
0;315;34191;545
0;316;4938;226.84
0;317;9341;190.19
0;320;9072;432.51
0;321;6994;1039.22
0;322;1311;1639.76
0;340;1658;36.11
0;341;3452;2.66
0;342;8825;15.91
0;343;2187;25.47
