vrai_hop;rdrg;SI;N;total;p5;p25;p50;p75;p95
0;001;1;2;1082;311.09;311.09;540.83;770.58;770.58
0;001;2;46;31084;230.67;563.09;692.35;792.61;1055.83
0;001;3;106;93743;274.42;655.83;784.45;1000.64;1696.5
0;001;4;103;216555;683.82;1107.38;1464.64;2386.3;6349.23
0;002;2;8;6885;494.38;582.06;890.76;1077.96;1289.26
0;002;3;81;90316;561.67;788.39;990.26;1253.82;2065.22
0;002;4;110;296540;732.78;1127.4;1717.35;3358.76;7667.47
0;003;1;319;148207;85.89;264.19;427.07;627.93;952.6
0;003;2;367;226967;226.31;362.56;532.29;773.32;1218.87
0;003;3;126;123283;304.05;472.63;781.92;1118.89;2385.67
0;003;4;93;177653;640.95;919.24;1417.7;2633.29;5099.29
0;004;1;12;5131;5.24;58.41;188.73;546.62;1614.44
0;004;2;41;28773;95.68;228.8;445.2;789.5;2183.57
0;004;3;218;247236;140.29;549.08;960.08;1565.08;2597.42
0;004;4;1144;2359904;331.4;1047.97;1686.13;2635;5077.28
0;005;1;1;612;611.54;611.54;611.54;611.54;611.54
0;005;2;10;10058;279.32;708.85;964.62;1038.63;2607.51
0;005;3;65;80929;249.57;743.75;1026;1504.53;3069.4
0;005;4;270;469997;501.21;974.89;1453.04;2208.89;3626.2
0;006;2;3;3951;918.2;918.2;1347;1686.19;1686.19
0;006;3;5;6729;764.56;1086.58;1100.82;1752.76;2024.53
0;006;4;3;3928;883.05;883.05;1443.64;1601.81;1601.81
0;020;1;246;23439;0.36;32.36;72.26;125.51;264.96
0;020;2;86;14931;8.33;55.86;137.52;223.21;462.5
0;020;3;241;74234;36.72;132.13;240.28;421.64;809.07
0;020;4;190;151154;168.75;372.03;667.97;1039.51;1840.66
0;021;1;1226;81922;0;25.24;54.14;89.21;160.09
0;021;2;1806;174739;9.44;43.94;75.33;114.16;250.73
0;021;3;1074;247032;34.03;82.12;134.45;287.55;728.7
0;021;4;568;392407;95.39;265.01;506.9;955.36;1864.37
0;022;1;233;4722;0;2.9;11.25;26.1;76.06
0;022;2;213;10299;0;12.39;30.55;61.03;126.34
0;022;3;59;10104;5.55;28.43;85.31;190.65;877.56
0;022;4;25;15734;23.21;109.45;412;1096.57;1441.34
0;023;1;861;14896;0;0;4.59;15;90.47
0;023;2;402;24414;0;9.41;34.86;92.41;176.78
0;023;3;147;29728;11.12;53.94;121.16;279.44;576
0;023;4;46;34470;127.6;317.77;543.17;969;1940.47
0;024;1;2201;94083;0;17.65;35.58;61.14;102.1
0;024;2;1595;105949;7.33;29.52;54.65;83.46;164.98
0;024;3;994;120464;14.71;45.88;82.92;148.43;369.14
0;024;4;201;80268;22.23;124.3;259.57;504.96;1152.95
0;026;1;2242;12541;0;0;0;5.8;22.85
0;026;2;703;21911;0;0;7.66;29.93;140.96
0;026;3;276;34851;0;34.68;88.22;163.23;375.93
0;026;4;63;30755;69.9;225.62;385.3;715.01;1142.83
0;040;1;172;8420;0;3.58;28.63;79.49;141.5
0;040;2;205;11943;0;15.74;36.01;76.62;182.57
0;040;3;102;10159;0.41;31.04;62.73;136.73;275.61
0;040;4;12;4367;35.79;225.02;312.06;548.66;781.39
0;041;1;356;9775;0;5.56;17.08;34.95;91.71
0;041;2;1161;42570;0;11.23;23.78;47.5;113.73
0;041;3;1174;70899;0;19.03;41.37;76.92;176.88
0;041;4;144;20049;13.61;40.81;97.96;179.37;435.3
0;042;1;2412;75317;0;6.43;24.27;45.48;91.63
0;042;2;6459;307286;0;20.15;39.56;63.19;124.07
0;042;3;2754;239589;9.38;41.06;69.61;110.55;217.29
0;042;4;293;59798;21.74;74.2;119.42;239.95;647.85
0;043;1;2264;63786;0;0;11.94;42.19;107.1
0;043;2;803;27909;0;2.9;18.88;49.13;118.78
0;043;3;121;10744;7.07;32.82;74.15;124.45;218.32
0;043;4;17;6587;25.48;161.08;261.18;413.98;1509.19
0;044;1;504;20927;0;5.75;27.14;54.55;129.68
0;044;2;909;56028;0;17.67;42.38;82.7;183.12
0;044;3;1532;129530;0;18.41;52.35;111.95;284.06
0;044;4;447;84582;0;15.76;79.65;217.4;771.09
0;045;1;1961;64968;0;14.5;28.09;43.78;84.01
0;045;2;8455;417905;3.54;21.38;37.83;62.23;130.99
0;045;3;3776;347008;10.98;38.95;69.2;114.83;253.81
0;045;4;833;194688;16.09;70.17;153.87;279;792.74
0;046;1;175;4186;0;8.15;16.75;32.25;72.29
0;046;2;375;12941;0;10.79;27.53;47.07;93.8
0;046;3;158;10142;2.17;20;49.81;83.81;186.09
0;046;4;15;5191;35.34;90.1;249.91;503.61;1037.82
0;047;1;3089;81222;0;10.39;22.78;36.06;65.3
0;047;2;3908;145461;0.82;16.01;31.24;49.72;93.49
0;047;3;813;58259;7.02;32.94;53.27;87.23;184.41
0;047;4;70;15641;23.49;87.99;141.06;336.46;645.77
0;048;1;1699;48739;0;1.3;17.45;41.21;99.74
0;048;2;1337;51151;0;5.52;28.45;55.67;117.88
0;048;3;852;60061;0;24.88;50.69;93.94;197.71
0;048;4;46;13083;44.2;76.11;175.46;291.52;1174.7
0;049;1;90;6487;0;35.22;61.75;93.19;196.87
0;049;2;360;34250;1.62;41.56;79.98;125.99;252.61
0;049;3;132;23437;17.95;73.25;141.28;246.74;474.52
0;049;4;66;36847;78.96;246.17;382.8;571.98;1787.96
0;050;1;265;11872;0;15.67;34.22;62.75;125.79
0;050;2;443;37369;0;27.13;60.63;124.54;233.9
0;050;3;171;29682;24.16;76.92;139.82;218.76;471.97
0;050;4;43;16616;61.71;145.6;321.42;633.11;907.33
0;051;1;1229;43653;0;16.54;30.48;46.82;92.1
0;051;2;321;20293;2.46;24.54;43.2;79.67;188.79
0;051;3;40;4887;14.65;55.84;99.83;169.79;315.16
0;051;4;6;4176;203.94;251.15;424.01;1311.57;1561.28
0;052;1;1008;20692;0;0;13.17;29.25;70.21
0;052;2;716;31446;0;11.68;30.9;55.63;132.86
0;052;3;659;55360;0;25.94;61.24;112.14;256.86
0;052;4;107;44435;29.73;121.82;306.79;570.57;1144.5
0;053;1;7760;130788;0;0;7.38;23.88;63.41
0;053;2;5257;186147;0;4.4;22.67;47.56;117.92
0;053;3;2743;161446;0;5.06;31.71;75.6;212.97
0;053;4;446;119957;10.78;73.78;167.01;342.29;938.74
0;054;1;4857;84458;0;0;9.96;23.97;65.22
0;054;2;1708;47752;0;4.13;18.08;38.47;90.83
0;054;3;164;6660;0;12.69;30.74;54.81;101.03
0;054;4;8;921;0;2.98;81.99;202.92;345
0;055;1;964;26801;0;3.61;18.19;38.85;85.97
0;055;2;1364;79926;0;17.69;40.25;77.47;184.73
0;055;3;640;69347;0;37.31;76.04;137.3;326.46
0;055;4;157;55843;23.87;137.46;250.47;522.28;1182.03
0;056;1;147;2209;0;0;6.99;21.46;59.04
0;056;2;133;5434;0;12.52;25.93;52.84;127.18
0;056;3;26;1727;0;17.56;49.95;89.36;193.97
0;056;4;13;4067;52.84;157.72;270.66;493.61;670.74
0;057;1;6701;31014;0;0;0;3.26;23.41
0;057;2;1689;31562;0;0;9.85;24.96;72.16
0;057;3;253;18618;0;21.1;50.99;89.75;209.25
0;057;4;39;9494;0;107.29;201.73;328.13;872.83
0;058;1;11513;148708;0;0;0;13.93;69.5
0;058;2;5217;179804;0;0;16.79;51.53;123.4
0;058;3;1641;137056;0;31.74;60.67;104.92;237.07
0;058;4;234;58382;29.37;82.89;148.67;283.45;877.31
0;070;1;338;1082;0;0;0;2.16;19.31
0;070;2;168;2459;0;0;0;15.04;83.05
0;070;3;26;1942;0;8.95;25.82;91.22;349.96
0;070;4;4;1699;176.6;317.32;475.3;531.97;571.38
0;073;1;8361;14774;0;0;0;1.08;10.02
0;073;2;2235;9082;0;0;0;2.88;19.04
0;073;3;140;4313;0;0;2.83;24.9;177.75
0;073;4;9;755;0;17;49.07;143.32;282.35
0;080;1;256;3898;0;2.35;11.16;21.23;47.87
0;080;2;341;11223;0;10.45;24.49;41.63;99.12
0;080;3;62;5439;7.8;37.45;77.12;120.46;226.53
0;080;4;3;856;193.63;193.63;202.89;459.09;459.09
0;082;1;1276;30223;0;0;11.53;33.32;91.93
0;082;2;1290;44909;0;5.14;24.02;48.68;113.27
0;082;3;298;21263;0;25.22;53.16;94.27;204.37
0;082;4;19;6740;4.74;68.53;152.37;406.38;1724.81
0;089;1;1155;7722;0;0;0;3.26;33.89
0;089;2;508;11100;0;0;0;9.19;108.49
0;089;3;198;36705;0;50.35;127.76;229.83;614.25
0;089;4;44;23720;80.54;201.3;515.29;804.81;1268.37
0;090;1;43;208;0;0;0;2.9;35.52
0;090;2;156;15739;0;12.95;69.96;126.29;358.46
0;090;3;72;20225;64.35;148.78;233.27;374.47;636.81
0;090;4;29;17480;124.95;233.56;407.18;760.89;1513.98
0;091;1;7;168;0;0;0;43.49;99.71
0;091;2;577;14804;0;0;0;18.19;158.97
0;091;3;63;14770;21.13;92.75;183.65;335.36;491.37
0;091;4;19;14808;45.03;289.72;673.9;879.83;2460.56
0;092;1;2995;6049;0;0;0;0;11.32
0;092;2;1419;10270;0;0;0;7.52;24.22
0;092;3;219;7463;0;0;0;13.39;222.64
0;092;4;10;4189;14.83;191.71;230.74;859.05;1088.92
0;093;1;4749;9599;0;0;0;0;11.67
0;093;2;502;5673;0;0;2.9;12.08;44.73
0;093;3;56;2763;0;2.53;20.5;70.7;226.47
0;093;4;4;2180;75.58;246.99;585.68;843.04;933.13
0;095;1;147;244;0;0;0;2.16;7.2
0;095;2;28;282;0;0;0;4.36;67.11
0;095;3;3;79;0.82;0.82;29.28;48.99;48.99
0;097;1;6720;19678;0;0;0;0;17.9
0;097;2;986;10027;0;0;0;9.08;50.7
0;097;3;69;4142;0;1.44;17.18;58.51;194.82
0;097;4;4;1635;13.11;36.05;94.29;781.5;1433.42
0;098;1;11625;26642;0;0;0;0;11.24
0;098;2;1778;28960;0;0;0;10.98;87.03
0;098;3;228;25237;0;13.39;49.91;140.51;442.92
0;098;4;75;35635;77.68;160.47;296.06;725.72;1503.06
0;110;1;361;4541;0;0;6.69;19.38;42
0;110;2;635;13834;0;0.36;12.78;26.79;79.9
0;110;3;485;27032;0;15.8;35.53;70.95;168.61
0;110;4;99;20017;17.94;71.35;145.38;278.69;530.11
0;111;1;3414;58468;0;0;12.48;25.45;52.97
0;111;2;2114;61650;0;8.4;23.48;40.92;81.8
0;111;3;266;12858;0;21.22;35.86;68.4;132.63
0;111;4;11;1581;4.06;47.96;103.86;190.74;530.48
0;113;1;10829;194793;0;2.9;13.68;26.28;52.5
0;113;2;7593;187767;0;6.23;18.2;33.02;74.4
0;113;3;899;61502;2.17;20.61;45;82.96;213.29
0;113;4;88;17895;3.61;38.24;117.16;251.13;709.72
0;114;1;2411;21792;0;0;2.46;12.59;37.54
0;114;2;1481;35192;0;2.74;12.53;29.02;85.17
0;114;3;410;30704;0;18.04;47.5;97.04;241.48
0;114;4;60;14150;33.77;66.71;166;273.66;806.68
0;115;1;40929;74141;0;0;0;0;15.5
0;115;2;14821;52484;0;0;0;0;20.2
0;115;3;628;27603;0;0;13.83;60.2;165.39
0;115;4;83;20036;9.27;59.95;129.18;257.89;912.66
0;120;1;808;52475;3.26;29.55;55.46;91.84;143.93
0;120;2;1243;124013;10.53;47.61;85.01;128.31;249.56
0;120;3;696;146320;30.98;96.16;154.9;267.78;590.95
0;120;4;336;243752;89.91;297.17;492.41;962.52;2270.59
0;121;1;1045;42213;0;8.3;24.88;59.35;127.84
0;121;2;1422;107713;0;23.87;54.51;100.44;203.97
0;121;3;915;160576;15.89;59.52;117.41;213.85;501.46
0;121;4;410;278604;60.63;233.09;431.49;822.15;1964.57
0;130;1;13;4510;81.43;161.5;278.98;456.98;783.48
0;130;2;114;59389;138.14;307.08;486.48;646.56;1105.43
0;130;3;389;234022;214.71;362.3;526.48;753.64;1264.85
0;130;4;419;359095;248.19;444.1;718.78;1106.21;1966.92
0;131;1;81;3364;6.63;19.74;34.13;60;87.3
0;131;2;308;16376;7.17;26.84;49.41;73.9;104.92
0;131;3;313;23880;16.82;46.46;62.21;86.96;165.01
0;131;4;69;9850;30.73;50.6;84.35;170.51;413.22
0;132;1;8;100;0;0;14.9;18.61;33.07
0;132;2;33;622;0;0;12.57;31.09;64.78
0;132;3;53;1731;0;8.76;23.93;42.78;119.77
0;132;4;10;687;16.84;22.41;42.42;102.91;196.1
0;133;1;25;434;0;2.53;13.23;27.35;39.21
0;133;2;563;33217;0;9.23;34.49;72.91;186.45
0;133;3;557;67803;0;41.36;80.04;151.05;389.18
0;133;4;200;59750;6.68;101.53;218.49;400.85;801.3
0;134;1;1210;43434;0;13.83;30.09;50.93;86.62
0;134;2;2477;137830;2.9;23.22;44.33;73.73;146.87
0;134;3;1450;141516;8.26;39.86;72.18;122.72;256.1
0;134;4;254;59415;9.98;74.68;167.91;310.21;714.11
0;135;1;1734;48162;0;2.9;17.37;39.91;89.27
0;135;2;804;29267;0;8.3;23.02;48.99;113.37
0;135;3;831;75993;10.89;40.17;72.27;111.72;235.1
0;135;4;133;30769;31.23;80.7;161.67;300.16;798.92
0;136;1;515;10350;0;2.9;13.43;28.78;69.36
0;136;2;3188;110047;0;10.77;24.55;45.99;106.01
0;136;3;3344;236577;1.81;25.26;50.84;92.52;202.27
0;136;4;529;97014;12.28;68.81;131.56;233.17;541.06
0;137;1;784;53911;0;20.37;49.23;88.38;196.48
0;137;2;2489;201148;11.49;38.95;66.14;104.69;203.93
0;137;3;3779;495633;21.7;60.44;97.14;160.13;358.34
0;137;4;1074;302727;33.83;96.62;186.03;343.2;801.4
0;138;1;5899;69928;0;1.81;8.3;17.6;35.88
0;138;2;3790;70017;0;4.86;13.91;24.46;51.76
0;138;3;1196;35371;0;7.63;18.44;33.4;105.2
0;138;4;67;9594;3.98;26.64;63.19;223.01;544.05
0;139;1;7141;250375;0;12.83;27.22;49.04;93.53
