vrai_hop;rdrg;SI;total;p5;p25;p50;p75;p95
0;001;1;4129;994.11;994.11;2064.67;3135.24;3135.24
0;001;2;250151;818.16;2235.6;3183.41;5547;21254.97
0;001;3;624776;1151.35;2236.81;3277.53;5834.25;11971.12
0;001;4;1025820;1830.11;3833.6;7104.87;12676.45;26421.44
0;002;2;53620;3041.97;4295.99;5515.37;9300.15;12354.65
0;002;3;548784;1982.25;4223.25;5555.14;7894.67;13328.55
0;002;4;1616681;3820.23;6045.23;10648.33;16703.14;38799.3
0;003;1;1991568;216.15;2724.09;4021.83;8605.49;17424.39
0;003;2;3064754;2093.38;3441.83;6301.69;10340.61;22856.14
0;003;3;1592124;2619.87;4341.45;9077.44;16300.84;37538.39
0;003;4;2198696;4288.42;10691.68;18174.08;31786.91;56394.48
0;004;1;23377;30.43;153.66;369.47;2517.51;11782.01
0;004;2;92691;134;430.07;918.08;2075.24;6003.56
0;004;3;719860;368.38;1283.72;2340.47;4232.91;9882.04
0;004;4;8208425;832.2;2501.97;4551.59;8750.68;22635.25
0;005;1;559;558.72;558.72;558.72;558.72;558.72
0;005;2;34360;624.52;1275.08;1931.42;3628.04;13900.67
0;005;3;297390;526.24;1681.83;2877.92;4770.89;10546.11
0;005;4;1470247;1089.16;2159.72;3603.8;6145.85;16149.47
0;006;2;25108;8130.39;8130.39;8429.2;8548.66;8548.66
0;006;3;75301;5489.79;12455.88;13770.25;16564.63;27020.43
0;006;4;36032;6291.31;6291.31;12162.86;17578.18;17578.18
0;020;1;58406;32.64;81.56;124.62;272.96;753.3
0;020;2;40738;62.08;121.84;239.34;556.8;1863.87
0;020;3;271815;76.84;268.89;533.36;1269.84;2711.6
0;020;4;429924;348.28;831.4;1668.23;3050.72;5587.91
0;021;1;424632;40.08;111.36;240.59;414.68;980.52
0;021;2;1040931;72.2;220.66;379.62;595.14;1861.43
0;021;3;1044725;132.58;348.84;571.83;1122.27;2887.83
0;021;4;1290277;246.69;754.6;1501.28;2615.61;6000.65
0;022;1;18611;23.2;42.27;55.92;90.36;197.51
0;022;2;37080;33.84;50.6;81.52;163.88;401.4
0;022;3;40243;35.48;93.76;180.12;609.88;1865.16
0;022;4;53086;114.56;263.2;1089.08;3491.04;6773.68
0;023;1;120059;0.2;28.2;45.84;75.12;278.73
0;023;2;100390;1.92;52.56;124.94;280.49;788.08
0;023;3;206083;42.56;176.64;385.08;1167.04;7705.66
0;023;4;117315;500.88;1073.17;2077.48;3187.78;6574.61
0;024;1;265362;34.24;56.72;85.76;144.88;311.28
0;024;2;266720;38.68;69.52;106.88;183;499.47
0;024;3;426052;58.52;142.16;254.32;555.68;1258.44
0;024;4;227639;102;343.08;802.92;1487.76;3157.46
0;026;1;125491;3.16;19.68;34.74;55.48;177.91
0;026;2;121652;7.72;27;48.56;119.74;520.84
0;026;3;130945;20.48;90.98;212.24;542.07;1654.98
0;026;4;110904;128.36;640.68;1100.44;2129;4189.3
0;040;1;25734;0;3.04;42.58;143.28;475
0;040;2;46803;1.12;20.68;67.03;158.92;850.56
0;040;3;66618;8;73.36;190.72;628.08;3196.32
0;040;4;1369733;142.36;504.12;1456.73;2298.32;1351395.84
0;041;1;47019;0.72;38.52;76.88;140.14;303.48
0;041;2;285858;10.6;54.52;105.36;198.48;705.29
0;041;3;524762;21.88;87.6;181.82;388.4;1528.47
0;041;4;127878;28.32;174.38;371.29;814.58;3279
0;042;1;216311;0;2.16;13.72;43.44;193.88
0;042;2;588277;0.52;12.32;35.54;78.04;256.1
0;042;3;543622;4.6;33.12;82.82;186.64;714.08
0;042;4;194217;25.2;106.6;286.8;747.32;2380.97
0;043;1;9411926;0;111.58;354.09;4286.02;26099.06
0;043;2;2385288;3.28;114.56;470.44;3945.1;8569.56
0;043;3;241723;14.64;93.48;231.36;799.22;6335.53
0;043;4;52856;17.05;634.36;1190.12;4314.09;14468.65
0;044;1;59810;0;9;40.2;98.2;429.68
0;044;2;171075;1.36;21.24;76.92;179.12;740
0;044;3;439684;1.56;36.52;118.68;305.76;1097.04
0;044;4;251998;0;22.64;148.52;660.44;2398.58
0;045;1;147664;0.88;9.92;32.56;67.92;253.64
0;045;2;1328522;4.64;27;62.28;133.41;801.96
0;045;3;1345675;17.28;69.98;152.06;398.08;1111.65
0;045;4;602860;22.32;160.2;448.08;989.4;2398.2
0;046;1;7992;0.76;8.84;37;64.04;114.28
0;046;2;26520;2.64;22.24;49.24;83.76;206.88
0;046;3;29783;7.44;45.84;97.86;166.4;646.28
0;046;4;12007;5.28;207.8;750.16;1235.6;2564.32
0;047;1;107723;0.2;3.8;14.32;40.92;98.8
0;047;2;252575;1.56;12.24;32.76;65.44;169.84
0;047;3;140541;7.16;35.2;77.8;150.28;545.53
0;047;4;37456;22.36;164.4;305.03;718.36;1845.46
0;048;1;197120;0;4.8;24.11;56.04;177.96
0;048;2;1260858;0.6;19.12;56.4;237.36;5263.82
0;048;3;407875;0.32;19.6;56.45;153.74;3008.52
0;048;4;61664;20.64;94.96;485.58;1445.08;9604.29
0;049;1;27750;15.64;104.04;235.76;432.22;836.68
0;049;2;1205902;0.22;119.48;1127.77;6438.95;9774.95
0;049;3;362633;73.07;253.5;792.12;5693.22;10021.91
0;049;4;248681;101.84;686.56;1253.1;6354.48;14096.73
0;050;1;56769;4.4;31.04;88.16;257.05;748.72
0;050;2;196634;0.28;47.48;168.4;363.07;1371.24
0;050;3;163074;43.52;239.71;446.69;1041.92;3385.88
0;050;4;86117;89.24;529.96;994.19;1922.16;5337.4
0;051;1;67289;1.48;13.76;32.2;59.2;193.79
0;051;2;54906;4.24;27.28;60.3;201.69;708.92
0;051;3;9677;26.46;59.29;166.5;371;749.02
0;051;4;34236;363.09;398.51;1219.36;3668.37;27367.03
0;052;1;21623;0;0;2.68;17.68;63.92
0;052;2;78843;0;6.92;30;74.89;289.8
0;052;3;142488;3.72;31.4;87.44;190.6;782.12
0;052;4;115947;50.08;228.46;528.8;1344.84;3544.2
0;053;1;141631;0;0;3.08;17;77.22
0;053;2;363870;0;3.72;20.28;61.64;224.56
0;053;3;430452;0;7.56;40.96;140.32;625.88
0;053;4;329742;18.56;141.2;339.76;898.52;2766.42
0;054;1;152136;0;2.96;13.2;41.96;112.24
0;054;2;119759;0;5.72;22.8;57;156
0;054;3;19060;0;8.06;51.4;98.56;486.44
0;054;4;4753;1.68;38.06;272.2;1066.31;1998.59
0;055;1;50489;0;5.92;22.16;61.8;180.96
0;055;2;186842;3.32;19.6;57.62;130.96;478.4
0;055;3;214807;3.98;45.56;118.01;309.95;1116.49
0;055;4;160731;29.4;220.48;626.08;1361.68;3149.68
0;056;1;3226;0;3;11.36;33.44;65.56
0;056;2;12075;3.28;15.56;39.96;94.96;381.81
0;056;3;2825;9.64;32.08;76.06;131.12;384.64
0;056;4;8502;42.2;346.84;592.16;776.56;2105.39
0;057;1;38085;0;0;0;4.72;29.6
0;057;2;56584;0;1.44;9.16;31.88;121.88
0;057;3;57067;1.68;22.72;59.52;143;645.36
0;057;4;41652;1.68;198.6;330.4;903.04;6368.31
0;058;1;224256;0;0;0;5.68;89.68
0;058;2;395279;0;0;15.59;68.92;261.64
0;058;3;342188;0.12;33.6;83.2;198.2;731.48
0;058;4;196552;27.48;153.28;381.2;990.92;3185.76
0;070;1;18604;15.52;31.68;41.66;56.76;121.56
0;070;2;17244;14.52;36.92;65.14;113.34;313.24
0;070;3;30488;27.84;83.12;122.18;237.84;948.56
0;070;4;5102;814;993.14;1288.29;1557.71;1711.12
0;073;1;277512;6.2;15.92;25.52;36.2;68.72
0;073;2;100801;7.76;16.2;27.48;39.13;105.4
0;073;3;18786;3.86;15.13;31.5;101.9;773.62
0;073;4;3358;84.24;126.96;195.44;435.87;1427.4
0;080;1;16324;1.04;12.92;27.4;60.67;264.64
0;080;2;70970;10.8;47.44;146.56;271;539.18
0;080;3;21498;41.06;131.94;242.86;462.32;962.36
0;080;4;1871;510.11;510.11;667.37;693.6;693.6
0;082;1;56185;0;1.48;12.36;44.77;204.24
0;082;2;101169;0;6.8;29.06;80.36;280.04
0;082;3;45840;0.36;19.4;62.62;136.56;522.36
0;082;4;12490;24.68;121.64;356.08;1148.56;2452.09
0;089;1;122463;21.28;45.12;74.47;158.27;247.45
0;089;2;83848;25.12;58.42;83.22;154.17;425.53
0;089;3;131943;59.44;160.49;396.97;776.32;2612.14
0;089;4;76306;229.27;761.3;1350.9;2363.98;4771.88
0;090;1;2676;17.28;27.56;36.88;58.72;214.05
