vrai_hop;rdrg;SI;N;total;p5;p25;p50;p75;p95
0;001;1;2;1285;452.58;452.58;642.66;832.74;832.74
0;001;2;46;33533;496.67;582.38;688.01;765.55;1043.6
0;001;3;106;96813;526.87;666.64;797.36;1060.14;1920.42
0;001;4;103;191255;625.05;1112.03;1481.27;2302.99;4703.2
0;002;2;8;8427;803.9;975.93;1058.46;1124.86;1304.55
0;002;3;81;93787;673.06;874.91;1025.63;1292.43;2016.02
0;002;4;110;237231;823.41;1090.28;1442.38;2602.92;6083.87
0;003;1;319;270929;320.8;611.02;829.61;1053.82;1418.49
0;003;2;367;382269;567.51;758.33;974.62;1222.67;1723.03
0;003;3;126;166880;605.62;843.58;1089.26;1476.2;3319.4
0;003;4;93;182455;829.4;1296.26;1582.07;2307.13;4362.69
0;004;1;12;6227;154.12;245.55;353.47;747.17;1284.83
0;004;2;41;36205;243.24;390.77;636.17;916.3;2238.67
0;004;3;218;253566;258.32;609.76;1013.14;1375.04;2647.69
0;004;4;1144;2069041;316.33;868.13;1468.9;2412.21;4339.9
0;005;1;1;549;548.83;548.83;548.83;548.83;548.83
0;005;2;10;10458;308.45;438.17;783.42;1636.38;2036.29
0;005;3;65;80071;477.86;771.1;1073.68;1475.75;2743.91
0;005;4;270;428884;496.72;821.47;1297.91;2032.48;3418.76
0;006;2;3;2723;856.48;856.48;911.28;955.65;955.65
0;006;3;5;6893;868.13;1131.66;1156.23;1489.71;2246.99
0;006;4;3;4109;1213.34;1213.34;1215.58;1680.37;1680.37
0;020;1;246;125058;268.88;345.64;425.49;587.5;1039.15
0;020;2;86;53239;256.87;331.91;479.07;712.61;1326.9
0;020;3;241;208745;237.04;424.99;646.53;1035.66;2054.99
0;020;4;190;240232;295.94;539.98;877.55;1470.21;4067.68
0;021;1;1226;533429;251.96;320.41;366.04;454.24;787.34
0;021;2;1806;927998;271.01;345.35;415.54;527.29;1045.09
0;021;3;1074;839401;281.61;407.92;551.69;859.18;2092.3
0;021;4;568;779772;277.54;524.45;938.1;1709.38;4302.49
0;022;1;233;84692;235.27;276.44;325.88;385.37;619.85
0;022;2;213;109574;259.39;327.07;384.03;559.48;1179.55
0;022;3;59;54271;253.55;414.24;627.58;1043.36;2848.11
0;022;4;25;35857;349.16;591.32;984.77;1620.94;4110.77
0;023;1;861;250166;209.06;237.33;259.7;311.65;448.37
0;023;2;402;205159;228.91;295.05;376.88;520.16;1172.38
0;023;3;147;173585;279.46;431.4;709.02;1466;3800.4
0;023;4;46;78807;547.17;778.19;1231.89;1829.1;4862.44
0;024;1;2201;642566;217.5;247.39;277.54;314.05;397.92
0;024;2;1595;545424;224.05;264.32;299.68;352.68;609.36
0;024;3;994;654628;243.25;324.04;458.92;720.13;1855.93
0;024;4;201;234462;247.4;381.87;819.74;1412.47;3345.73
0;026;1;2242;597346;198.65;224.91;249.29;280.02;372.23
0;026;2;703;280130;204.75;251.62;291.25;399.25;862.34
0;026;3;276;222110;246.66;380.88;595.61;998.18;2080.18
0;026;4;63;92308;438.9;699.11;1256.63;1839.47;3448.82
0;040;1;172;71619;205.8;248.31;289;368.21;959.79
0;040;2;205;117715;221.66;273.14;344.35;529.27;1781.68
0;040;3;102;87550;266.48;366.05;504.58;880.89;2829.65
0;040;4;12;11186;259.02;326.05;626;1524.77;2410.97
0;041;1;356;118672;197;243.77;286.74;349.94;632.56
0;041;2;1161;481495;221.53;275.42;339.66;449.2;863.02
0;041;3;1174;630287;243.59;333.13;450.18;639.51;1093.55
0;041;4;144;116580;219;421.71;666.59;928.04;1867.32
0;042;1;2412;914087;212.16;254.81;309.8;428.9;747.69
0;042;2;6459;3392562;242.81;333.61;438.55;598.3;1067.99
0;042;3;2754;1828544;273.8;419.9;573.54;782.31;1317.35
0;042;4;293;256049;292.91;514.08;752.1;1023.23;1932.41
0;043;1;2264;675815;209.14;237.88;270.13;317.7;448.37
0;043;2;803;272269;209.61;244.94;285.1;359.77;634.12
0;043;3;121;75078;231.83;297.09;404.69;648.25;1901.91
0;043;4;17;22140;274.46;839.92;1178.89;1776.11;2655.99
0;044;1;504;206483;209.87;249.6;323.13;430.32;812.54
0;044;2;909;509838;217.33;283.89;397.55;617.4;1590.98
0;044;3;1532;909120;210.47;264.54;400.04;650.13;1713.8
0;044;4;447;279080;209.81;239.69;312.19;649.69;2115.33
0;045;1;1961;658353;218.53;261.82;303.04;357.3;540.19
0;045;2;8455;4036634;234.84;294.97;360.16;488.47;1173.49
0;045;3;3776;2571520;252.19;364.74;501.26;765.44;1791.5
0;045;4;833;675434;243.49;354.85;610.83;1020.92;2108.69
0;046;1;175;48237;204.38;234.42;267.12;299.12;390.97
0;046;2;375;126532;213.22;250.82;293.83;359.55;591.67
0;046;3;158;72755;225.21;281.05;388.22;517.25;1054.84
0;046;4;15;11864;182.81;416.94;650.77;817.24;2130.56
0;047;1;3089;877047;208.83;236.67;266.22;310.92;409.2
0;047;2;3908;1326646;218.63;259.72;305.07;372.78;560.88
0;047;3;813;368248;230.95;309.75;399.93;532.51;845.35
0;047;4;70;56809;273.05;436.75;591.58;1036.73;2063.05
0;048;1;1699;487183;203.05;232.12;261.39;304.94;446.63
0;048;2;1337;472482;216.01;249.81;299.45;384.42;673.77
0;048;3;852;411477;225.79;285.43;378.91;554.01;1083
0;048;4;46;50091;279.81;522.69;758.28;1387.21;3234.03
0;049;1;90;36501;230.87;319.58;382.02;478.41;621.59
0;049;2;360;183699;220.47;291.9;376.62;516.24;1313.91
0;049;3;132;98301;231.72;410.46;558.48;859.61;1900.44
0;049;4;66;65068;254.93;394.83;635.67;1243.97;2406.36
0;050;1;265;92969;216.15;263.29;317.11;389.56;610.56
0;050;2;443;179400;209.64;262.09;328.81;474.88;787.07
0;050;3;171;107183;258.16;411;523.93;758.43;1183.71
