vrai_hop;rdrg;SI;cat;N;total;p5;p25;p50;p75;p95
0;001;1;1;3;55018;15605.63;15605.63;15605.63;23806.77;23806.77
0;001;1;2;3;5229;1453.02;1453.02;1887.89;1887.89;1887.89
0;001;1;3;3;1993;148.73;148.73;300.12;1543.77;1543.77
0;001;1;4;1;200;200.15;200.15;200.15;200.15;200.15
0;001;1;6;3;1096;179.95;179.95;279.76;636.4;636.4
0;001;1;7;3;407;92.24;92.24;93.9;221.05;221.05
0;001;1;9;3;1205;285.79;285.79;286.12;633.18;633.18
0;001;1;12;3;1929;88.76;88.76;896.55;943.76;943.76
0;001;2;1;51;820164;15375.02;15605.63;15605.63;15640.63;24151.38
0;001;2;2;50;86972;1431.54;1453.02;1505.95;1887.89;2721.99
0;001;2;3;52;31452;148.73;407.17;506.57;740.52;1127.43
0;001;2;4;4;768;71.18;74.52;191.02;309.64;315.11
0;001;2;6;52;20183;148.13;233.13;349.89;456.52;667.18
0;001;2;7;51;7932;56.58;93.9;136.96;182.43;347.06
0;001;2;9;51;19482;259.16;312.42;366.01;451.37;531.59
0;001;2;12;52;33889;124;385.34;629.87;976.87;1106.66
0;001;2;13;2;231;99.06;99.06;115.57;132.08;132.08
0;001;3;1;93;1474783;9863.84;15605.63;15605.63;16001.96;20540.62
0;001;3;2;93;161398;1428.14;1453.02;1453.02;1887.89;2913.33
0;001;3;3;93;80121;289.41;579.97;809.75;1126.28;1660.38
0;001;3;4;25;8393;58.4;85.17;141.31;481.82;960.94
0;001;3;6;93;53552;145.37;333.15;537.34;743.53;1062.31
0;001;3;7;92;19073;37.72;99.33;167.18;254.98;527.48
0;001;3;9;91;40175;259.16;286.12;366.01;504.96;850.09
0;001;3;10;4;1383;79.26;222.13;417.14;469.29;469.29
0;001;3;12;93;67990;214.88;421.82;779.24;943.39;1246.55
0;001;3;13;6;1066;97.84;99.06;163.05;198.12;344.93
0;001;4;1;129;2336574;13071.2;15605.63;16035.68;17419.59;31800.73
0;001;4;2;128;285694;1449.57;1579.74;1964.81;2750.8;3815.17
0;001;4;3;129;674807;586.08;1317.81;2273.95;5788.95;18696.13
0;001;4;4;88;133878;125.32;257.87;863.16;2334.32;5056.75
0;001;4;6;129;228639;355.09;755.26;1378.55;2448.09;4312.13
0;001;4;7;128;105960;56.58;224.17;476.05;961.18;3491.45
0;001;4;9;129;85263;259.49;348.01;478;743.62;1221.6
0;001;4;10;7;5794;365;469.29;469.29;1407.87;2010.65
0;001;4;12;129;265557;432.06;1033.61;1549.59;2749.36;5597.49
0;001;4;13;28;5237;66.04;66.04;130.71;196.07;603.64
0;002;1;1;1;13307;13307.15;13307.15;13307.15;13307.15;13307.15
0;002;1;2;1;1603;1603.33;1603.33;1603.33;1603.33;1603.33
0;002;1;3;1;1360;1359.89;1359.89;1359.89;1359.89;1359.89
0;002;1;4;1;202;202.26;202.26;202.26;202.26;202.26
0;002;1;6;1;1341;1340.77;1340.77;1340.77;1340.77;1340.77
0;002;1;7;1;846;845.94;845.94;845.94;845.94;845.94
0;002;1;9;1;487;486.96;486.96;486.96;486.96;486.96
0;002;1;12;1;213;213.37;213.37;213.37;213.37;213.37
0;002;2;1;3;38968;12932;12932;13018.01;13018.01;13018.01
0;002;2;2;3;4356;1449.57;1449.57;1453.02;1453.02;1453.02
0;002;2;3;3;5591;1375.92;1375.92;1741.42;2473.93;2473.93
0;002;2;4;3;800;177.92;177.92;306.89;314.78;314.78
0;002;2;6;3;1790;442.2;442.2;633.29;714.42;714.42
0;002;2;7;3;889;188.13;188.13;200.22;500.43;500.43
0;002;2;9;3;1420;416.78;416.78;478.07;525.06;525.06
0;002;2;12;3;2141;330.69;330.69;657.3;1153.24;1153.24
0;002;3;1;68;842742;9978.81;11097.17;11349.26;13016.5;19775.7
0;002;3;2;68;115933;1449.57;1453.02;1453.02;1910.49;2906.04
0;002;3;3;69;139153;977.96;1211.93;1593.51;2332.42;4467.24
0;002;3;4;68;45744;177.92;314.78;448.16;976.7;1640.56
0;002;3;6;69;57221;225.31;499.01;691.82;887.05;1621.73
0;002;3;7;48;13701;18.86;117.76;205.42;400.12;634.82
0;002;3;9;67;31540;165.58;329.14;468.09;615.26;811.45
0;002;3;10;1;1408;1407.87;1407.87;1407.87;1407.87;1407.87
0;002;3;12;69;88992;451.07;765.98;1133.15;1739.85;2676.82
0;002;3;13;3;672;66.04;66.04;132.08;474.28;474.28
0;002;4;1;105;1441173;7423.1;12932;13225.34;14098.92;22654.93
0;002;4;2;106;185953;1350.28;1453.02;1621.76;1950.05;2802.82
0;002;4;3;106;719030;1136.22;1971.56;3587.07;7272.21;23941.75
0;002;4;4;106;118083;177.92;306.89;592.66;1191.13;3908.16
0;002;4;6;106;179768;591.04;965.08;1426.06;1986.54;3740.33
0;002;4;7;101;75818;54.36;266.07;508.57;958.13;2286.53
0;002;4;9;106;63003;218.91;481.7;601.57;683;978.36
0;002;4;10;4;1906;365;417.14;469.29;536.03;602.78
0;002;4;12;106;234294;494.78;1062.21;1773.41;2842.24;4630.73
0;002;4;13;17;2964;66.04;66.04;99.06;297.18;407.81
0;003;1;1;23;4205;7.48;7.48;9.69;29.92;235.83
0;003;1;2;12;838;3.45;48.02;52.82;96.04;147.86
0;003;1;3;65;2515;30.58;30.58;30.58;30.58;76.85
0;003;1;4;258;2001027;2852.41;2895.19;2895.19;8384.43;31019.41
0;003;1;5;1;14;13.78;13.78;13.78;13.78;13.78
0;003;1;6;233;28541;12.72;24.17;53.43;185.19;424.39
0;003;1;7;178;24974;18.86;65.1;125.64;199.12;293.53
0;003;1;8;24;77108;2549.86;2677.34;2996.07;3671.49;4185.33
0;003;1;9;23;3158;62.22;65.33;124.44;193.88;310.47
0;003;1;10;10;3592;187.72;301.39;301.39;469.29;489.11
0;003;1;12;270;76131;166.68;209.38;243.61;308.36;569.51
0;003;1;13;66;22692;66.04;172.46;344.92;410.96;609.08
0;003;2;1;70;63894;7.48;14.96;28.7;166.89;3622.01
0;003;2;2;18;1499;48.02;48.02;52.82;57.62;299.16
0;003;2;3;165;7946;30.58;30.58;30.58;30.58;141.84
0;003;2;4;366;2821397;2418.59;2895.19;3041.74;8384.43;30234.94
0;003;2;5;1;389;389.11;389.11;389.11;389.11;389.11
0;003;2;6;345;61548;12.72;29.89;122.2;243.19;498.1
0;003;2;7;268;50136;20.27;83.76;163.89;230.88;391.64
0;003;2;8;35;108087;446.21;2677.34;2996.07;4305.11;4381.54
0;003;2;9;40;6006;62.22;63.61;134.5;202.94;272.11
0;003;2;10;13;4970;118.89;301.39;301.39;469.29;904.17
0;003;2;12;392;129364;172.78;223.51;281.11;376.81;661.19
0;003;2;13;99;29640;66.04;172.46;238.5;388.04;609.08
0;003;3;1;44;54190;7.48;18.48;116.07;3622.01;3708.02
0;003;3;2;23;6057;48.02;57.62;109.32;206.39;1094.08
0;003;3;3;73;94409;30.58;30.58;53.52;885.83;8328.07
0;003;3;4;144;1228797;2418.59;2895.19;3141.24;8589.25;29682.95
0;003;3;6;144;63692;24.17;96.13;279.23;586.67;1757.29
0;003;3;7;116;41609;31.4;131.78;222.56;330.38;1215.79
0;003;3;8;18;58572;1548.49;2677.34;2996.07;3866.59;4381.54
0;003;3;9;47;8794;61.89;62.22;123.78;216.07;558.95
0;003;3;10;13;6210;187.72;301.39;375.44;602.78;1259.79
0;003;3;12;149;82491;196.19;275.72;414.38;641.97;1390.31
0;003;3;13;55;23386;66.04;172.46;344.92;520.12;1164.12
