vrai_hop;rdrg;mean;p5;p25;p50;p75;p95
0;001;35;10;14;21;43;100
0;002;41;17;23;28;48;114
0;003;29;15;18;24;31;62
0;004;58;1;22;45;79;157
0;005;56;13;30;46;73;140
0;006;28;13;19;22;37;59
0;020;24;2;6;13;29;82
0;021;17;3;5;8;16;65
0;022;12;2;3;5;9;52
0;023;12;1;2;4;9;49
0;024;9;1;2;4;7;33
0;026;7;1;1;2;4;30
0;040;17;1;2;6;14;86
0;041;11;1;3;7;14;34
0;042;14;1;5;10;18;40
0;043;5;1;1;2;4;15
0;044;15;1;2;7;16;58
0;045;15;1;4;7;15;59
0;046;7;1;2;4;9;22
0;047;6;1;2;4;6;16
0;048;7;1;1;3;8;26
0;049;17;2;6;10;17;55
0;050;12;1;3;7;14;40
0;051;4;1;2;3;4;12
0;052;7;1;1;3;8;23
0;053;4;1;1;2;4;15
0;054;3;1;1;2;4;8
0;055;11;1;2;6;13;37
0;056;7;1;2;3;7;23
0;057;2;1;1;1;1;8
0;058;6;1;1;1;6;24
0;070;4;1;1;1;3;13
0;073;1;1;1;1;1;2
0;080;7;1;3;5;9;20
0;082;5;1;1;2;5;17
0;089;5;1;1;1;4;22
0;090;22;1;2;17;30;69
0;091;7;1;1;3;8;23
0;092;2;1;1;1;2;3
0;093;1;1;1;1;1;3
0;095;3;1;2;2;3;6
0;097;2;1;1;1;1;3
0;098;2;1;1;1;2;5
0;110;7;1;1;3;8;26
0;111;5;1;1;3;6;15
0;113;4;1;2;2;4;11
0;114;4;1;1;2;4;12
0;115;1;1;1;1;1;1
0;120;13;3;6;9;15;39
0;121;13;1;4;8;15;43
0;130;24;6;11;18;29;60
0;131;9;1;4;9;14;18
0;132;7;1;2;4;7;18
0;133;9;1;2;6;11;29
0;134;8;1;3;6;10;24
0;135;9;1;3;6;12;27
0;136;10;1;2;6;13;31
0;137;14;2;6;11;17;36
0;138;4;1;2;3;5;8
0;139;9;2;4;7;12;25
0;140;10;1;4;7;12;27
0;141;5;1;2;3;5;13
0;142;8;1;2;5;11;25
0;143;6;1;1;3;7;18
0;144;5;1;1;2;6;17
0;160;17;2;8;13;23;52
0;161;7;1;1;2;7;26
0;162;24;6;10;17;33;59
0;163;13;6;8;10;14;32
0;165;17;6;9;13;18;43
0;166;12;6;8;9;13;26
0;167;8;1;1;4;9;26
0;169;13;2;5;8;13;43
0;170;12;1;3;7;14;39
0;171;5;1;2;3;6;17
0;174;5;1;2;4;6;16
0;175;3;1;1;1;2;8
0;176;3;1;1;1;2;10
0;177;5;1;1;2;5;17
0;180;7;1;1;1;5;32
0;181;6;1;1;2;5;23
0;182;5;1;1;2;4;21
0;190;6;1;2;3;7;19
0;191;2;1;1;1;2;5
0;192;4;1;1;2;5;14
0;193;20;2;7;16;28;51
0;194;11;2;5;9;15;30
0;196;5;1;1;1;3;21
0;197;7;1;1;4;9;25
0;198;4;1;1;2;4;12
0;199;5;1;1;3;7;16
0;200;8;1;1;4;10;25
0;201;4;1;1;2;5;16
0;203;2;1;1;1;2;7
0;204;5;1;1;3;6;18
0;205;9;1;3;6;11;27
0;206;7;1;1;3;7;27
0;207;6;1;1;3;7;19
0;220;11;1;2;6;13;38
0;221;12;2;5;8;14;38
0;222;6;1;2;3;6;24
0;223;8;1;3;5;9;25
0;224;8;1;2;5;8;24
0;225;3;1;1;2;3;7
