vrai_hop;rdrg;SI;mean;p5;p25;p50;p75;p95
0;001;1;62;58;58;58;70;70
0;001;2;60;39;54;62;67;71
0;001;3;56;26;54;61;66;71
0;001;4;52;0;46;58;63;72
0;002;1;66;66;66;66;66;66
0;002;2;55;45;45;60;61;61
0;002;3;53;30;49;57;62;65
0;002;4;51;22;40;57;62;66
0;003;1;54;11;50;58;64;70
0;003;2;54;19;49;57;64;70
0;003;3;53;21;47;56;64;70
0;003;4;47;4;31;56;64;71
0;004;1;35;0;20;32;59;62
0;004;2;59;12;50;64;72;79
0;004;3;58;18;51;62;72;82
0;004;4;60;24;53;63;71;82
0;005;1;71;60;60;71;82;82
0;005;2;48;3;30;56;67;72
0;005;3;66;34;60;67;77;86
0;005;4;65;34;59;68;76;83
0;006;2;34;28;28;30;45;45
0;006;3;44;29;38;43;53;61
0;006;4;56;56;56;56;56;56
0;020;1;57;8;38;65;79;88
0;020;2;57;13;37;63;79;86
0;020;3;69;22;58;75;83;91
0;020;4;61;19;50;66;76;86
0;021;1;56;19;47;58;70;83
0;021;2;56;19;45;58;69;82
0;021;3;58;14;49;61;71;84
0;021;4;61;27;51;64;74;85
0;022;1;60;7;48;69;78;85
0;022;2;50;2;22;60;75;84
0;022;3;47;1;16;54;70;82
0;022;4;58;8;40;68;74;82
0;023;1;51;24;42;52;61;75
0;023;2;54;12;42;56;69;81
0;023;3;60;15;51;64;74;85
0;023;4;60;15;57;65;71;83
0;024;1;67;43;60;68;76;84
0;024;2;70;45;64;72;78;86
0;024;3;71;47;63;73;82;89
0;024;4;72;49;63;74;83;90
0;026;1;53;20;42;54;66;83
0;026;2;55;13;43;58;72;86
0;026;3;66;12;58;74;84;90
0;026;4;68;39;59;70;78;91
0;040;1;45;12;30;45;62;80
0;040;2;55;19;40;57;71;88
0;040;3;55;5;35;62;73;89
0;040;4;66;42;60;66;75;83
0;041;1;54;6;47;59;69;80
0;041;2;63;32;55;66;74;86
0;041;3;64;37;57;66;74;85
0;041;4;63;39;56;64;73;84
0;042;1;67;12;61;73;81;88
0;042;2;77;54;74;81;86;92
0;042;3;80;59;76;82;87;93
0;042;4;75;46;70;79;86;91
0;043;1;51;24;38;52;64;79
0;043;2;58;27;48;60;71;84
0;043;3;63;27;53;66;78;88
0;043;4;67;41;61;71;76;86
0;044;1;73;44;66;78;85;93
0;044;2;74;45;66;77;84;91
0;044;3;73;42;64;77;85;92
0;044;4;75;48;68;79;86;91
0;045;1;69;46;60;70;80;89
