vrai_hop;rdrg;total;p5;p25;p50;p75;p95
0;001;5569487;5162.85;9094.54;14311.08;27535.2;85002.48
0;002;5986694;11018.84;15674.04;19591.52;39600.21;89810.35
0;003;19441421;8060.64;11747.48;16967.32;22586;48461.16
0;004;43098316;729.4;11179.2;24007.76;42152.7;87171.68
0;005;8871057;7950.22;14093.54;22780.62;36825.22;58600.32
0;006;164583;4334.7;7278.6;11892.86;20890.73;37606.1
0;020;9512678;720.37;3627.47;7786.95;16854.48;42780.45
0;021;44727555;1556.97;3032.75;4698.33;9860.81;35208.86
0;022;3341202;1007.58;2013.28;2881.48;5369.52;24122.1
0;023;8105507;473.93;905.8;2098.27;5038.13;27200.54
0;024;24633200;569.08;1265.19;2013.57;3803.04;17451
0;026;10905110;446.5;538.84;787.06;2171.25;18356.8
0;040;3019680;517.89;1299.66;2868.25;6303.02;30975.91
0;041;17517607;586.24;1953.72;3960.8;7767.62;20359.62
0;042;77996156;557.68;2332.8;5369.52;9506.52;19418.88
0;043;7216188;448.75;536.78;1061.9;2118.52;7695.38
0;044;21771828;465.15;1213.1;3647;8621.44;27139.94
0;045;101633662;816.92;2076.52;3779.6;7935.46;24064.35
0;046;1978481;488.43;1062.94;2332.8;4036.02;11204.13
0;047;20764517;488.43;1008.7;1838;3200.7;8328.6
0;048;14679760;467.99;699.58;1690.24;4076.4;13147.06
0;049;5729998;765.41;2787.26;5045.94;9809.38;29493.24
0;050;6347277;573.65;1806.96;4036.02;7461.75;18102.38
0;051;2688097;516.65;1132.42;1686.92;2678.18;6956.56
0;052;8888111;441.89;594.68;1456.77;3908.16;12181.49
0;053;37078195;443.55;573.65;978.44;2232.5;8349.89
0;054;9982655;434.9;533.81;987.76;1852.9;4163.67
0;055;18386786;495.1;1352.97;2958.3;6339.63;17257.96
0;056;1382840;452.9;844.84;1975.52;5372.73;14557.2
0;057;9536157;421.73;484.18;536.78;787.06;3884.72
0;058;55667429;426.9;537.01;724.79;2760.15;11931.03
0;070;1044655;465.15;606.55;765.41;2433.94;5565.12
0;073;8586582;462.7;573.65;610.42;722.45;1507.04
0;080;2714251;672.67;1605.36;2988.3;5198.64;12120.84
0;082;7187624;447.55;602.72;1220.84;3030.24;9327.78
0;089;5382404;441.89;518.21;745.82;2013.57;13380.02
0;090;3808714;491.14;1311.1;8523.9;15999.72;41850.33
0;091;2948083;557.68;787.06;2026.97;5274.64;15142.16
0;092;5407878;441.54;473.48;575.31;1036.42;2098.74
0;093;3872701;426.9;481.71;536.78;695.59;1949.49
0;095;302478;530.95;844.84;1507.04;3373.84;4173.84
0;097;5607228;414.31;484.4;536.78;724.79;1964.88
0;098;15301665;422.42;503.32;575.92;982.54;2983.28
0;110;6070302;478.02;681.48;1627.8;4612.42;17128.32
0;111;13516336;449.18;679.6;1420.44;2657.35;7232.64
0;113;42207604;459.5;722.45;1147.3;1953.72;5686.2
0;114;8504399;441.54;557.68;1050.62;2044.44;7087.23
0;115;43370966;408.46;478.02;531.24;655.55;765.41
0;120;28323953;1440.74;3052.1;4996.62;8809.57;22572.9
0;121;28052402;606.55;2148.04;4197.48;8288.72;23302.84
0;130;10193236;2987.52;5653.7;9178.4;13958.92;29192.4
0;131;5265100;722.45;2798.32;6040.71;9540.72;12948.12
0;132;427045;489.94;753.52;2220.12;4966.65;11933.12
0;133;6102048;424.08;1018.27;3351.35;6829.03;16426.14
0;134;23097420;573.65;1704.78;2987.52;5218.8;11703.84
0;135;17153837;495.1;1457.43;2983.28;6123.28;13956.28
0;136;38875025;480.3;1070.24;3233.04;6786.54;16528.12
0;137;59861683;990.2;3151.68;5403.97;8859.24;17956.76
0;138;24605911;500.79;1048.9;1600.35;2521.75;4999.32
0;139;154143499;787.06;1844.32;3424.54;6052.2;12948.12
0;140;158683538;606.55;2217.75;3745.84;6161.09;13563.36
0;141;11671323;469.56;976.86;1655.55;2966.1;6910.68
0;142;8357708;495.66;1189.36;2685.7;5381.36;13424.76
0;143;17530105;452.9;695.59;1720.95;3801.78;11271.18
0;144;53136182;445.41;550.8;1151.84;3099.9;8564.43
0;160;854072;734.68;3407.4;8644.44;14167.08;25340.48
0;161;6962419;519.13;672.67;1359.2;3601.85;15848.14
0;162;7614146;3639.3;6133.32;9994.37;18160.68;37481.4
0;163;26867625;3216.5;4674;6028.16;8657.66;19666.5
0;165;9844962;3662.52;5565.12;7786.95;11211.79;21286.3
0;166;27976180;3210.72;4302.18;5458.95;7203.7;14167.08
0;167;15605757;519.13;734.68;2307.18;5937;16162.96
0;169;15455006;934.8;2591.05;4408.77;7533.54;23282.22
0;170;2363528;519.13;1362.96;4252.7;7398.02;16155
0;171;17480338;451.74;614.07;1399.16;2968.5;8816.16
0;174;25128220;518.99;1073.56;1912.08;3032.75;7885.15
0;175;43434026;459.5;529.63;672.67;1220.84;4671.04
0;176;3129935;441.89;519.13;662.61;1311.1;4461.44
0;177;2187772;462.63;594.68;1343.99;2622.2;9514.4
0;180;9411155;422.56;503.32;594.68;2880.54;17194.45
0;181;57279998;422.56;518.99;1050.62;2675.6;12776.04
0;182;12671894;449.93;577.67;1122.28;2396.8;11037
0;190;20938405;449.93;893;1739.56;3521.79;10008.44
0;191;11648860;426.9;493.05;575.92;944.9;2667.25
