vrai_hop;rmdc;rdrg;SI;ATC1;Nfarm;Sum;p5;p25;p50;p75;p95
0;-p;001;1;A;2;51.16;5.48;5.48;25.58;45.68;45.68
0;-p;001;1;B;2;580.91;243.6;243.6;290.45;337.31;337.31
0;-p;001;1;C;2;126.48;4.16;4.16;63.24;122.32;122.32
0;-p;001;1;H;2;286.96;60.8;60.8;143.48;226.16;226.16
0;-p;001;1;J;2;923.55;265.12;265.12;461.77;658.43;658.43
0;-p;001;1;L;2;837.35;409.6;409.6;418.67;427.75;427.75
0;-p;001;1;M;2;84.28;28.24;28.24;42.14;56.04;56.04
0;-p;001;1;N;2;208.48;92.68;92.68;104.24;115.8;115.8
0;-p;001;1;R;1;0.76;0.76;0.76;0.76;0.76;0.76
0;-p;001;1;V;1;102.24;102.24;102.24;102.24;102.24;102.24
0;-p;001;2;A;10;309.2;8.44;10.96;34.8;40.92;65.52
0;-p;001;2;B;10;4117.51;102.92;178.66;357.53;498.38;1178.27
0;-p;001;2;C;10;378.12;0.44;3.72;8.88;58.16;168.36
0;-p;001;2;D;1;27.1;27.1;27.1;27.1;27.1;27.1
0;-p;001;2;H;10;1244.64;12;58.64;94.76;128.4;497.8
0;-p;001;2;J;10;20281.81;100.39;527.43;933.2;3812.52;6085.64
0;-p;001;2;L;10;20980.08;130.65;464.4;552.53;5158.07;7513.58
0;-p;001;2;M;8;228.8;9.36;21.02;28;37.34;46.72
0;-p;001;2;N;10;999.96;21;77.16;95.4;151.64;169.44
0;-p;001;2;R;4;14.92;0.16;0.28;1.7;7.18;11.36
0;-p;001;2;V;2;111.92;29.64;29.64;55.96;82.28;82.28
0;-p;001;3;A;39;1756.08;12.04;20.96;37.36;60.08;98.04
0;-p;001;3;B;39;46649.8;172.2;637.62;951.01;1492.87;3627.54
0;-p;001;3;C;37;2043.84;0.6;3.76;14.24;87.4;247.84
0;-p;001;3;D;9;55.19;1.91;4.96;4.96;9.03;9.96
0;-p;001;3;G;1;5.92;5.92;5.92;5.92;5.92;5.92
0;-p;001;3;H;37;5189.34;4.28;31.8;78;151.76;377.8
0;-p;001;3;J;39;67386.47;68.61;229.41;817.53;2326.84;8375.98
0;-p;001;3;L;39;42960.48;126.56;317.22;443.84;658.8;6317.48
0;-p;001;3;M;37;1367.24;3.28;18.68;37.36;51.36;83.6
0;-p;001;3;N;39;6457.56;21.48;79.12;121.68;231.84;411.6
0;-p;001;3;R;15;96.02;0.2;1.84;3.68;11.16;22.4
0;-p;001;3;S;3;6.08;1.6;1.6;1.84;2.64;2.64
0;-p;001;3;V;25;2523.94;1.84;12.86;60.96;138.6;334.36
0;-p;001;4;A;173;18997.2;18.56;45.08;75.32;136.24;337.84
0;-p;001;4;B;173;479997.17;479.8;1099.62;1743.37;3013.83;10520.18
0;-p;001;4;C;172;20791.17;3.48;11.74;35.42;116.96;455.72
0;-p;001;4;D;82;1604.25;1.92;4.96;9.03;15.34;84.17
0;-p;001;4;G;9;30.32;0.16;1.52;2.28;5.92;7.84
0;-p;001;4;H;167;30668.66;14.92;25.6;67.2;159.2;582.21
0;-p;001;4;J;173;518620.8;97.73;401.88;1168.64;3790.32;12330.9
