vrai_hop;rmdc;rdrg;SI;ATC1;ATC4;Nfarm;Sum
0;08;300;1;A;A01AB;1;6
0;08;300;1;A;A02BA;27;86.08
0;08;300;1;A;A02BC;5;52.48
0;08;300;1;A;A03FA;18;30.88
0;08;300;1;A;A04AA;3;43.52
0;08;300;1;A;A06AD;2;5.52
0;08;300;1;A;A10AB;1;5.48
0;08;300;1;A;A10BB;1;3.44
0;08;300;1;B;B01AB;47;2663.4
0;08;300;1;B;B02AA;26;194.24
0;08;300;1;B;B02BD;1;361.03
0;08;300;1;B;B03AC;1;14.32
0;08;300;1;B;B03XA;1;132.5
0;08;300;1;B;B05AA;35;702.2
0;08;300;1;B;B05BA;21;588.92
0;08;300;1;B;B05BB;47;1616.24
0;08;300;1;B;B05CB;23;223.05
0;08;300;1;B;B05XA;1;3.36
0;08;300;1;C;C01AA;2;1.28
0;08;300;1;C;C01CA;1;9.4
0;08;300;1;C;C01DA;1;0.64
0;08;300;1;C;C01DX;1;4.16
0;08;300;1;C;C02AC;13;16
0;08;300;1;C;C02CA;3;25.32
0;08;300;1;C;C03BA;1;0.64
0;08;300;1;C;C03CA;9;31.6
0;08;300;1;C;C03DA;3;4.48
0;08;300;1;C;C07AA;3;3.8
0;08;300;1;C;C07AB;4;8.64
0;08;300;1;C;C07AG;2;5.92
0;08;300;1;C;C07BB;1;1.4
0;08;300;1;C;C08CA;9;34.84
0;08;300;1;C;C08DA;1;17.48
0;08;300;1;C;C09AA;2;6.24
0;08;300;1;C;C09CA;3;66.56
0;08;300;1;C;C10AA;3;137.88
0;08;300;1;C;C10AB;1;4.04
0;08;300;1;D;D03AX;6;40.02
0;08;300;1;G;G04BD;1;0.04
0;08;300;1;H;H02AB;14;67.08
0;08;300;1;H;H03AA;3;1.44
0;08;300;1;H;H05BA;1;100.32
0;08;300;1;J;J01CF;1;99.44
0;08;300;1;J;J01CR;4;523.88
0;08;300;1;J;J01DB;44;734.8
0;08;300;1;J;J01DC;3;36.8
0;08;300;1;J;J01DD;1;430.88
0;08;300;1;J;J01FA;1;18.72
0;08;300;1;J;J01FF;1;40.04
0;08;300;1;J;J01MA;2;10.2
0;08;300;1;J;J04AB;5;33.84
0;08;300;1;M;M01AB;17;51.68
0;08;300;1;M;M01AC;8;15.56
0;08;300;1;M;M01AE;6;7.44
0;08;300;1;M;M01AH;1;8.08
0;08;300;1;M;M01AX;2;5.4
0;08;300;1;M;M03AC;27;318.36
0;08;300;1;M;M04AA;2;4.36
0;08;300;1;M;M05BA;3;275.88
0;08;300;1;M;M05BB;2;74.8
0;08;300;1;N;N01AB;25;783.64
0;08;300;1;N;N01AH;39;883.8
0;08;300;1;N;N01AX;35;740.92
0;08;300;1;N;N02AA;2;86.96
0;08;300;1;N;N02AB;2;47.56
0;08;300;1;N;N02AC;25;26.32
0;08;300;1;N;N02AX;22;124.4
0;08;300;1;N;N02BE;44;917.76
0;08;300;1;N;N03AA;1;0.56
0;08;300;1;N;N03AB;1;1.84
0;08;300;1;N;N03AG;1;14.68
0;08;300;1;N;N03AX;1;0.72
0;08;300;1;N;N05AD;2;2.2
0;08;300;1;N;N05AL;4;64.28
0;08;300;1;N;N05AX;1;2.24
0;08;300;1;N;N05CD;10;19.12
0;08;300;1;N;N06AB;6;66.04
0;08;300;1;N;N06AX;2;4.88
0;08;300;1;N;N06DA;1;42.8
0;08;300;1;N;N06DX;1;28.96
0;08;300;1;N;N07CA;1;22.84
0;08;300;1;R;R03AC;1;3
0;08;300;1;R;R03AK;8;55.32
0;08;300;1;R;R03BA;1;29.76
0;08;300;1;R;R05CB;2;6.2
0;08;300;1;R;R06AE;4;4.24
0;08;300;1;S;S01EE;1;48.72
0;08;300;1;V;V08AB;1;61.16
0;08;300;2;A;A01AB;2;6
0;08;300;2;A;A02BA;48;251.96
0;08;300;2;A;A02BC;18;430
0;08;300;2;A;A03FA;53;159.12
0;08;300;2;A;A04AA;2;23.52
0;08;300;2;A;A07DA;1;0.2
0;08;300;2;A;A10AB;7;151.96
0;08;300;2;A;A10AD;2;82.36
0;08;300;2;A;A10BA;2;2.92
0;08;300;2;A;A10BB;3;29.96
0;08;300;2;A;A10BX;1;5.08
0;08;300;2;B;B01AB;81;6881
0;08;300;2;B;B01AC;2;37.6
0;08;300;2;B;B02AA;38;146.44
0;08;300;2;B;B02BD;1;372.67
0;08;300;2;B;B03AC;1;57.32
0;08;300;2;B;B05AA;60;1950.5
0;08;300;2;B;B05BA;32;725.2
0;08;300;2;B;B05BB;81;4912.39
