vrai_hop;rmdc;rdrg;SI;ATC1;ATC4;Nfarm;Sum
0;17;680;1;A;A02BA;46;132.32
0;17;680;1;A;A02BC;94;614.04
0;17;680;1;A;A03AB;1;2.36
0;17;680;1;A;A03FA;97;206.16
0;17;680;1;A;A04AA;18;295.32
0;17;680;1;A;A04AD;2;117.44
0;17;680;1;A;A07AA;1;2.16
0;17;680;1;A;A10AB;6;28.32
0;17;680;1;A;A10BA;5;1.32
0;17;680;1;A;A10BB;1;0.48
0;17;680;1;A;A10BH;1;9.68
0;17;680;1;B;B01AA;2;0.36
0;17;680;1;B;B01AB;145;2773.28
0;17;680;1;B;B01AC;16;2.36
0;17;680;1;B;B02AA;6;35.36
0;17;680;1;B;B02BC;12;5652.75
0;17;680;1;B;B03XA;1;314.48
0;17;680;1;B;B05AA;76;1480.76
0;17;680;1;B;B05BA;61;2207.36
0;17;680;1;B;B05BB;173;5298.64
0;17;680;1;B;B05BC;4;42.04
0;17;680;1;B;B05CB;11;140.98
0;17;680;1;B;B05XA;3;52.56
0;17;680;1;C;C01DA;1;0.12
0;17;680;1;C;C01DX;3;23.04
0;17;680;1;C;C02AC;42;37.52
0;17;680;1;C;C02CA;2;20.04
0;17;680;1;C;C03BA;1;0.4
0;17;680;1;C;C03CA;19;8.28
0;17;680;1;C;C03DA;2;1.4
0;17;680;1;C;C07AA;5;3.04
0;17;680;1;C;C07AB;23;17.36
0;17;680;1;C;C07AG;5;5.88
0;17;680;1;C;C07BB;4;1.64
0;17;680;1;C;C08CA;28;97.32
0;17;680;1;C;C09AA;13;15.88
0;17;680;1;C;C09BA;1;8.36
0;17;680;1;C;C09BB;1;2.04
0;17;680;1;C;C09CA;9;10.88
0;17;680;1;C;C09DA;1;1.68
0;17;680;1;C;C09DB;1;5.16
0;17;680;1;C;C10AA;34;89.12
0;17;680;1;C;C10AB;1;0.92
0;17;680;1;C;C10BA;2;33.4
0;17;680;1;G;G03AA;1;6.36
0;17;680;1;G;G04BD;1;3.44
0;17;680;1;H;H01CB;9;7392.44
0;17;680;1;H;H02AB;66;400.48
0;17;680;1;H;H03AA;17;3.88
0;17;680;1;J;J01CA;3;17.72
0;17;680;1;J;J01CR;18;503.08
0;17;680;1;J;J01DB;131;885.6
0;17;680;1;J;J01DC;9;124.2
0;17;680;1;J;J01DD;1;50.6
0;17;680;1;J;J01EE;1;0.2
0;17;680;1;J;J01FA;3;72.48
0;17;680;1;J;J01FF;4;30
0;17;680;1;J;J01GB;3;153.92
0;17;680;1;J;J01MA;6;210.56
0;17;680;1;J;J01XA;1;12.84
0;17;680;1;J;J01XD;21;187
0;17;680;1;J;J01XE;2;1.44
0;17;680;1;J;J01XX;2;8.24
0;17;680;1;J;J02AC;2;30.08
0;17;680;1;J;J04AB;1;1.96
0;17;680;1;J;J05AB;1;3.35
0;17;680;1;L;L01AA;1;11.02
0;17;680;1;L;L01CA;2;64.84
