vrai_hop;rdrg;SI;ntot;nfarm;Sum;p5;p25;p50;p75;p95
0;001;1;2;2;4129.35;994.11;994.11;2064.67;3135.24;3135.24
0;001;2;46;46;250151.07;818.16;2235.6;3183.41;5547;21254.97
0;001;3;106;106;624775.76;1151.35;2236.81;3277.53;5834.25;11971.12
0;001;4;103;103;1025819.8;1830.11;3833.6;7104.87;12676.45;26421.44
0;002;2;8;8;53619.64;3041.97;4295.99;5515.37;9300.15;12354.65
0;002;3;81;81;548783.72;1982.25;4223.25;5555.14;7894.67;13328.55
0;002;4;110;110;1616681.41;3820.23;6045.23;10648.33;16703.14;38799.3
0;003;1;319;318;1991567.67;225.12;2747.92;4077.17;8605.49;17424.39
0;003;2;367;367;3064753.64;2093.38;3441.83;6301.69;10340.61;22856.14
0;003;3;126;126;1592123.87;2619.87;4341.45;9077.44;16300.84;37538.39
0;003;4;93;93;2198696.06;4288.42;10691.68;18174.08;31786.91;56394.48
0;004;1;12;12;23376.64;30.43;153.66;369.47;2517.51;11782.01
0;004;2;41;41;92690.92;134;430.07;918.08;2075.24;6003.56
0;004;3;218;218;719860.06;368.38;1283.72;2340.47;4232.91;9882.04
0;004;4;1144;1138;8208425.34;855.2;2540.26;4589.09;8774.4;22967.19
0;005;1;1;1;558.72;558.72;558.72;558.72;558.72;558.72
0;005;2;10;10;34360.32;624.52;1275.08;1931.42;3628.04;13900.67
0;005;3;65;65;297390.27;526.24;1681.83;2877.92;4770.89;10546.11
0;005;4;270;269;1470246.71;1101.2;2166.28;3611.76;6145.85;16149.47
0;006;2;3;3;25108.25;8130.39;8130.39;8429.2;8548.66;8548.66
0;006;3;5;5;75300.98;5489.79;12455.88;13770.25;16564.63;27020.43
0;006;4;3;3;36032.35;6291.31;6291.31;12162.86;17578.18;17578.18
0;020;1;246;244;58405.65;36.96;81.78;124.82;279.6;753.3
0;020;2;86;86;40737.56;62.08;121.84;239.34;556.8;1863.87
0;020;3;241;240;271814.59;79.22;272.3;534.46;1277.92;2713.29
0;020;4;190;190;429924.43;348.28;831.4;1668.23;3050.72;5587.91
0;021;1;1226;1224;424631.65;40.4;111.52;241.17;414.8;980.52
0;021;2;1806;1802;1040930.65;73.56;222.08;380.48;596.13;1861.43
0;021;3;1074;1072;1044725.03;137.08;349.59;573.09;1123.29;2887.83
0;021;4;568;565;1290277.46;262.06;757.52;1514.77;2615.84;6000.65
0;022;1;233;232;18611.19;24.08;42.35;56.38;90.4;197.51
0;022;2;213;213;37079.79;33.84;50.6;81.52;163.88;401.4
0;022;3;59;59;40242.89;35.48;93.76;180.12;609.88;1865.16
0;022;4;25;25;53086.38;114.56;263.2;1089.08;3491.04;6773.68
0;023;1;861;827;120059.04;5;30.96;47.56;76.92;286.92
0;023;2;402;388;100389.63;12.52;55.08;130.16;291.17;793.52
0;023;3;147;147;206083.05;42.56;176.64;385.08;1167.04;7705.66
0;023;4;46;46;117315.41;500.88;1073.17;2077.48;3187.78;6574.61
0;024;1;2201;2200;265361.94;34.24;56.74;85.78;144.94;311.59
0;024;2;1595;1594;266719.51;39.36;69.64;106.9;183;499.47
0;024;3;994;993;426052.22;59.68;142.24;254.32;555.68;1258.44
0;024;4;201;200;227639.17;104.94;348.18;807.46;1505.42;3164.43
0;026;1;2242;2208;125491.33;4.2;20.8;35.1;55.92;179.04
0;026;2;703;697;121651.62;8.32;27.36;49.48;120.12;540.88
0;026;3;276;276;130945.27;20.48;90.98;212.24;542.07;1654.98
0;026;4;63;63;110904.49;128.36;640.68;1100.44;2129;4189.3
0;040;1;172;148;25733.91;0.36;11.68;56.84;190.94;481.44
0;040;2;205;199;46803.17;2.76;21.61;74.19;164.68;897.72
0;040;3;102;102;66617.61;8;73.36;190.72;628.08;3196.32
0;040;4;12;12;1369732.88;142.36;504.12;1456.73;2298.32;1351395.84
0;041;1;356;343;47019.23;3.52;42.6;79.68;141.76;303.48
0;041;2;1161;1154;285857.52;11.72;55;107.24;199.08;723.61
0;041;3;1174;1171;524762.05;22.28;89.76;183.2;388.64;1528.47
0;041;4;144;142;127877.51;41.44;177.4;374.72;815.4;3279
0;042;1;2412;2060;216310.55;0.84;5.66;19.18;51;221.33
0;042;2;6459;6217;588276.9;2.4;14.64;37.88;80.92;263.55
0;042;3;2754;2714;543622.08;6.4;34.96;85.11;189.6;716.62
0;042;4;293;293;194217.05;25.2;106.6;286.8;747.32;2380.97
0;043;1;2264;2118;9411925.8;10.52;148.96;640.34;4557;26122.14
0;043;2;803;782;2385287.8;9.44;144.6;696.86;4009.92;8574.44
0;043;3;121;120;241722.68;15.28;94.2;236.28;800.99;6384.85
0;043;4;17;17;52855.8;17.05;634.36;1190.12;4314.09;14468.65
0;044;1;504;467;59809.57;1.68;13.68;44.8;105.08;465.8
0;044;2;909;878;171075.06;3.16;27.64;81.66;182.72;781.32
0;044;3;1532;1473;439684;5.28;45.96;130.8;318.68;1101.44
0;044;4;447;416;251997.78;4.32;36.84;184.89;701.9;2574.76
0;045;1;1961;1937;147663.84;1.2;10.4;33.64;68.64;264.16
0;045;2;8455;8420;1328521.5;5.08;27.44;62.62;133.94;802.18
0;045;3;3776;3766;1345675.04;18.44;70.64;152.7;398.89;1111.65
