vrai_hop;rmdc;rdrg;SI;ATC1;ATC4;Nfarm;Sum
0;-p;001;1;A;A02BC;2;20.04
0;-p;001;1;A;A03FA;1;1.04
0;-p;001;1;A;A05AA;1;5.28
0;-p;001;1;A;A07AA;2;35.28
0;-p;001;1;A;A10AB;2;15.92
0;-p;001;1;A;A10AE;1;10.84
0;-p;001;1;A;A10BA;1;0.48
0;-p;001;1;A;A10BX;1;9.36
0;-p;001;1;B;B01AB;2;76.68
0;-p;001;1;B;B02AA;1;4.04
0;-p;001;1;B;B02BC;2;1440.8
0;-p;001;1;B;B05AA;1;25.2
0;-p;001;1;B;B05BA;2;66.2
0;-p;001;1;B;B05BB;2;172.12
0;-p;001;1;B;B05BC;2;9.2
0;-p;001;1;B;B05XA;1;3.36
0;-p;001;1;C;C01CA;1;7.08
0;-p;001;1;C;C03CA;1;0.24
0;-p;001;1;C;C08CA;2;81.64
0;-p;001;1;C;C10AB;1;1
0;-p;001;1;D;D01AC;2;4.68
0;-p;001;1;H;H02AB;2;16.44
0;-p;001;1;J;J01CA;2;15.76
0;-p;001;1;J;J01DD;2;45.44
0;-p;001;1;J;J01EE;2;1.84
0;-p;001;1;J;J01GB;2;7.88
0;-p;001;1;J;J01MA;1;34.04
0;-p;001;1;J;J01XA;1;49.88
0;-p;001;1;J;J01XB;1;17.28
0;-p;001;1;J;J05AB;1;493.49
0;-p;001;1;J;J05AF;1;94.47
0;-p;001;1;J;J06BB;1;12331.2
0;-p;001;1;L;L01XD;1;19.49
0;-p;001;1;L;L04AA;2;148.54
0;-p;001;1;L;L04AC;2;2486.04
0;-p;001;1;L;L04AD;2;235.8
0;-p;001;1;M;M03AC;2;34.16
0;-p;001;1;N;N01AB;2;127.52
0;-p;001;1;N;N01AH;2;25.28
0;-p;001;1;N;N01AX;2;53.36
0;-p;001;1;N;N02AX;2;12.28
0;-p;001;1;V;V03AF;1;1.89
0;-p;001;1;V;V08AA;2;8.64
0;-p;001;1;V;V08AB;2;58.36
0;-p;001;2;A;A02BC;36;195.28
0;-p;001;2;A;A03FA;20;28.64
0;-p;001;2;A;A04AA;6;19.68
0;-p;001;2;A;A05AA;8;18.52
