vrai_hop;rmdc;N;pdj_ldp;farma;prest;bioclin;reste
0;-p;3935;69983291;27678760;37449720;5085021;13734691
0;01;128179;387260527;27795375;105086989;6435104;55719284
0;02;17465;19892949;1503625;15323146;208573;7254165
0;03;67930;72681802;7233704;39876471;1019414;20176723
0;04;131636;418863485;48176714;93550083;9987751;49807774
0;05;200542;469920251;56368735;265273712;14478750;226762889
0;06;176106;368314345;49894382;124293974;8080847;71022681
0;07;47091;125574349;19826254;42860326;3474142;23436037
0;08;229504;628326469;40097729;224600703;6443569;198359992
0;09;53115;119113513;9461818;34782499;1452617;16996261
0;10;49903;114446427;9090642;33937873;2465992;22786408
0;11;68980;147465910;16735881;49077692;3331919;25783566
0;12;24599;46140821;4971112;21903421;583828;13676951
0;13;43620;64663451;5928103;30803315;683049;16582685
0;14;136971;224660234;9456419;82206968;2819087;33899753
0;15;8530;42456178;1669667;13351748;1020459;4158882
0;16;15809;39422382;10171944;8147031;1130940;9390361
0;17;39534;83795093;46374053;17009099;2362067;20301886
0;18;21327;66879209;12154914;14114983;2093459;9248803
0;19;29531;97962890;2389656;14406837;1000361;10453081
0;20;13576;32274834;971415;5358713;576993;3972324
0;21;26613;52587042;5335353;12561587;1231077;9005700
0;22;1126;8760457;607296;936202;153615;691057
0;23;41140;102393394;5425027;21144516;1243767;15621706
0;24;967;5336801;1279218;819539;163090;625150
0;25;1921;14546337;2176966;5548853;495783;2781228
0;FF;13468;84071929;8905783;20902724;1615691;13131842
